codec.type,codec.name,clustering.type,workflow.overall_rate,p_min_errors
DNAAeon,high,BasicSet,0.0,0.0
DNAAeon,high,BasicSet,0.01,0.0
DNAAeon,high,BasicSet,0.02,0.0012106772044010539
DNAAeon,high,BasicSet,0.030000000000000002,0.005751935747607367
DNAAeon,high,BasicSet,0.04,0.011349973548790459
DNAAeon,high,BasicSet,0.05,0.016620176662017663
DNAAeon,high,BasicSet,0.060000000000000005,0.023190496801808298
DNAAeon,high,BasicSet,0.07000000000000002,0.029721540903188574
DNAAeon,high,BasicSet,0.08,0.036020068185340155
DNAAeon,high,BasicSet,0.09,0.04307218775549464
DNAAeon,high,BasicSet,0.1,0.04979273206260654
DNAAeon,high,BasicSet,0.11,0.05735704323570433
DNAAeon,high,BasicSet,0.12000000000000001,0.06436781609195402
DNAAeon,high,BasicSet,0.13,0.07154330784398596
DNAAeon,high,BasicSet,0.14000000000000004,0.07826672437839657
DNAAeon,high,BasicSet,0.15000000000000002,0.08645217140383783
DNAAeon,high,CDHit,0.0,0.0
DNAAeon,high,CDHit,0.01,0.0
DNAAeon,high,CDHit,0.02,0.0
DNAAeon,high,CDHit,0.030000000000000002,0.0
DNAAeon,high,CDHit,0.04,0.0
DNAAeon,high,CDHit,0.05,0.0
DNAAeon,high,CDHit,0.060000000000000005,0.0
DNAAeon,high,CDHit,0.07000000000000002,0.0
DNAAeon,high,CDHit,0.08,2.905625290562529e-05
DNAAeon,high,CDHit,0.09,0.00012591042925770958
DNAAeon,high,CDHit,0.1,0.0005908104757477142
DNAAeon,high,CDHit,0.11,0.002004881450488145
DNAAeon,high,CDHit,0.12000000000000001,0.00487176507050984
DNAAeon,high,CDHit,0.13,0.011282643197229839
DNAAeon,high,CDHit,0.14000000000000004,0.021334102823065457
DNAAeon,high,CDHit,0.15000000000000002,0.038551435579281486
DNAAeon,high,Clover,0.0,0.002599544109801639
DNAAeon,high,Clover,0.01,0.0
DNAAeon,high,Clover,0.02,0.0
DNAAeon,high,Clover,0.030000000000000002,0.0
DNAAeon,high,Clover,0.04,0.0
DNAAeon,high,Clover,0.05,0.0
DNAAeon,high,Clover,0.060000000000000005,0.0
DNAAeon,high,Clover,0.07000000000000002,4.8427088176042154e-05
DNAAeon,high,Clover,0.08,0.0003558890011061415
DNAAeon,high,Clover,0.09,0.001142879280954595
DNAAeon,high,Clover,0.1,0.002597027845909681
DNAAeon,high,Clover,0.11,0.005434521233107296
DNAAeon,high,Clover,0.12000000000000001,0.0085990477564565
DNAAeon,high,Clover,0.13,0.01387920347125368
DNAAeon,high,Clover,0.14000000000000004,0.020333766171307652
DNAAeon,high,Clover,0.15000000000000002,0.028116767395010074
DNAAeon,high,LSH,0.0,0.0
DNAAeon,high,LSH,0.01,0.0
DNAAeon,high,LSH,0.02,0.0
DNAAeon,high,LSH,0.030000000000000002,0.0
DNAAeon,high,LSH,0.04,0.0
DNAAeon,high,LSH,0.05,0.0
DNAAeon,high,LSH,0.060000000000000005,0.0
DNAAeon,high,LSH,0.07000000000000002,1.937083527041686e-05
DNAAeon,high,LSH,0.08,0.00013466070312124272
DNAAeon,high,LSH,0.09,0.0006682938168293817
DNAAeon,high,LSH,0.1,0.0022603760881065747
DNAAeon,high,LSH,0.11,0.006408005617977528
DNAAeon,high,LSH,0.12000000000000001,0.011956607030759573
DNAAeon,high,LSH,0.13,0.018206256109481914
DNAAeon,high,LSH,0.14000000000000004,0.028905917411664542
DNAAeon,high,LSH,0.15000000000000002,0.04174816967529201
DNAAeon,high,Starcode,0.0,0.0
DNAAeon,high,Starcode,0.01,0.0
DNAAeon,high,Starcode,0.02,0.0
DNAAeon,high,Starcode,0.030000000000000002,0.0
DNAAeon,high,Starcode,0.04,0.0006155917856971096
DNAAeon,high,Starcode,0.05,0.007685278699562353
DNAAeon,high,Starcode,0.060000000000000005,0.01968076863474353
DNAAeon,high,Starcode,0.07000000000000002,0.02887222997055633
DNAAeon,high,Starcode,0.08,0.03571982023864869
DNAAeon,high,Starcode,0.09,0.04269332093599876
DNAAeon,high,Starcode,0.1,0.049967069580040296
DNAAeon,high,Starcode,0.11,0.05691338431202809
DNAAeon,high,Starcode,0.12000000000000001,0.06430148768014878
DNAAeon,high,Starcode,0.13,0.07156555090655509
DNAAeon,high,Starcode,0.14000000000000004,0.07851680854133603
DNAAeon,high,Starcode,0.15000000000000002,0.0852209878324436
DNAAeon,low,BasicSet,0.0,0.0
DNAAeon,low,BasicSet,0.01,3.2142765306384838e-06
DNAAeon,low,BasicSet,0.02,0.0014399958857260408
DNAAeon,low,BasicSet,0.030000000000000002,0.00570212656535267
DNAAeon,low,BasicSet,0.04,0.011227467921520224
DNAAeon,low,BasicSet,0.05,0.017077451207282265
DNAAeon,low,BasicSet,0.060000000000000005,0.02323921931651624
DNAAeon,low,BasicSet,0.07000000000000002,0.029500629998200006
DNAAeon,low,BasicSet,0.08,0.0364659672400936
DNAAeon,low,BasicSet,0.09,0.04355987554321273
DNAAeon,low,BasicSet,0.1,0.05045449870143228
DNAAeon,low,BasicSet,0.11,0.05800161999537144
DNAAeon,low,BasicSet,0.12000000000000001,0.06479981485767183
DNAAeon,low,BasicSet,0.13,0.07154136895516205
DNAAeon,low,BasicSet,0.14000000000000004,0.07940870168942375
DNAAeon,low,BasicSet,0.15000000000000002,0.0865958240119314
DNAAeon,low,CDHit,0.0,0.0
DNAAeon,low,CDHit,0.01,0.0
DNAAeon,low,CDHit,0.02,0.0
DNAAeon,low,CDHit,0.030000000000000002,0.0
DNAAeon,low,CDHit,0.04,0.0
DNAAeon,low,CDHit,0.05,0.0
DNAAeon,low,CDHit,0.060000000000000005,0.0
DNAAeon,low,CDHit,0.07000000000000002,0.0
DNAAeon,low,CDHit,0.08,1.9285659183830902e-05
DNAAeon,low,CDHit,0.09,0.00014785672040937026
DNAAeon,low,CDHit,0.1,0.000604283987760035
DNAAeon,low,CDHit,0.11,0.0018514232816477668
DNAAeon,low,CDHit,0.12000000000000001,0.004876057496978579
DNAAeon,low,CDHit,0.13,0.010925325927640206
DNAAeon,low,CDHit,0.14000000000000004,0.021895651726709355
DNAAeon,low,CDHit,0.15000000000000002,0.03719560801254854
DNAAeon,low,Clover,0.0,0.0038841750136616943
DNAAeon,low,Clover,0.01,3.2158166727231215e-06
DNAAeon,low,Clover,0.02,6.4285530612769675e-06
DNAAeon,low,Clover,0.030000000000000002,0.0
DNAAeon,low,Clover,0.04,0.0
DNAAeon,low,Clover,0.05,3.2142765306384838e-06
DNAAeon,low,Clover,0.060000000000000005,1.9285659183830902e-05
DNAAeon,low,Clover,0.07000000000000002,9.9642572449793e-05
DNAAeon,low,Clover,0.08,0.0004885700326570496
DNAAeon,low,Clover,0.09,0.0012310679112345392
DNAAeon,low,Clover,0.1,0.0028832060479827204
DNAAeon,low,Clover,0.11,0.005522127079636915
DNAAeon,low,Clover,0.12000000000000001,0.009681400910283113
DNAAeon,low,Clover,0.13,0.014743886446038726
DNAAeon,low,Clover,0.14000000000000004,0.02158386690323742
DNAAeon,low,Clover,0.15000000000000002,0.029992414307387694
DNAAeon,low,LSH,0.0,0.0
DNAAeon,low,LSH,0.01,0.0
DNAAeon,low,LSH,0.02,0.0
DNAAeon,low,LSH,0.030000000000000002,0.0
DNAAeon,low,LSH,0.04,0.0
DNAAeon,low,LSH,0.05,0.0
DNAAeon,low,LSH,0.060000000000000005,3.23599461530496e-06
DNAAeon,low,LSH,0.07000000000000002,1.2857106122553935e-05
DNAAeon,low,LSH,0.08,0.00017357093265447812
DNAAeon,low,LSH,0.09,0.0009486659184533208
DNAAeon,low,LSH,0.1,0.0029057059836971894
DNAAeon,low,LSH,0.11,0.006249333544444911
DNAAeon,low,LSH,0.12000000000000001,0.013079308702147586
DNAAeon,low,LSH,0.13,0.02110475062508225
DNAAeon,low,LSH,0.14000000000000004,0.03223025555888563
DNAAeon,low,LSH,0.15000000000000002,0.04816236894802969
DNAAeon,low,Starcode,0.0,0.0
DNAAeon,low,Starcode,0.01,0.0
DNAAeon,low,Starcode,0.02,0.0
DNAAeon,low,Starcode,0.030000000000000002,0.0
DNAAeon,low,Starcode,0.04,0.0007135693898017433
DNAAeon,low,Starcode,0.05,0.009652472421507368
DNAAeon,low,Starcode,0.060000000000000005,0.02130743912160251
DNAAeon,low,Starcode,0.07000000000000002,0.029783486332896195
DNAAeon,low,Starcode,0.08,0.03706060839826172
DNAAeon,low,Starcode,0.09,0.043682018051376996
DNAAeon,low,Starcode,0.1,0.05035485612898249
DNAAeon,low,Starcode,0.11,0.057316979094345445
DNAAeon,low,Starcode,0.12000000000000001,0.06424695929440202
DNAAeon,low,Starcode,0.13,0.07176515209956544
DNAAeon,low,Starcode,0.14000000000000004,0.07928977345779012
DNAAeon,low,Starcode,0.15000000000000002,0.08611046825580498
DNAAeon,medium,BasicSet,0.0,0.0
DNAAeon,medium,BasicSet,0.01,0.0
DNAAeon,medium,BasicSet,0.02,0.0012985677183779474
DNAAeon,medium,BasicSet,0.030000000000000002,0.005902454178316248
DNAAeon,medium,BasicSet,0.04,0.011211396538867033
DNAAeon,medium,BasicSet,0.05,0.01702280850626141
DNAAeon,medium,BasicSet,0.060000000000000005,0.02300136285324899
DNAAeon,medium,BasicSet,0.07000000000000002,0.029899200287999174
DNAAeon,medium,BasicSet,0.08,0.03663793103448276
DNAAeon,medium,BasicSet,0.09,0.043289876314639104
DNAAeon,medium,BasicSet,0.1,0.0501555709840829
DNAAeon,medium,BasicSet,0.11,0.057709120831083344
DNAAeon,medium,BasicSet,0.12000000000000001,0.06530767054951271
DNAAeon,medium,BasicSet,0.13,0.07228907917405951
DNAAeon,medium,BasicSet,0.14000000000000004,0.07949548715575099
DNAAeon,medium,BasicSet,0.15000000000000002,0.08683689475172927
DNAAeon,medium,CDHit,0.0,0.0
DNAAeon,medium,CDHit,0.01,0.0
DNAAeon,medium,CDHit,0.02,0.0
DNAAeon,medium,CDHit,0.030000000000000002,0.0
DNAAeon,medium,CDHit,0.04,0.0
DNAAeon,medium,CDHit,0.05,0.0
DNAAeon,medium,CDHit,0.060000000000000005,0.0
DNAAeon,medium,CDHit,0.07000000000000002,0.0
DNAAeon,medium,CDHit,0.08,1.9285659183830902e-05
DNAAeon,medium,CDHit,0.09,0.00013499961428681633
DNAAeon,medium,CDHit,0.1,0.0006557124122502508
DNAAeon,medium,CDHit,0.11,0.0017733250491871182
DNAAeon,medium,CDHit,0.12000000000000001,0.005014271387796035
DNAAeon,medium,CDHit,0.13,0.009938543032734193
DNAAeon,medium,CDHit,0.14000000000000004,0.020860654683843762
DNAAeon,medium,CDHit,0.15000000000000002,0.036925608783974904
DNAAeon,medium,Clover,0.0,0.002619966905681191
DNAAeon,medium,Clover,0.01,6.47198923060992e-05
DNAAeon,medium,Clover,0.02,0.0
DNAAeon,medium,Clover,0.030000000000000002,0.0
DNAAeon,medium,Clover,0.04,0.0
DNAAeon,medium,Clover,0.05,0.0
DNAAeon,medium,Clover,0.060000000000000005,1.941596769182976e-05
DNAAeon,medium,Clover,0.07000000000000002,8.413585999792896e-05
DNAAeon,medium,Clover,0.08,0.00038571318367661806
DNAAeon,medium,Clover,0.09,0.0011764252102136853
DNAAeon,medium,Clover,0.1,0.0028217873045459255
DNAAeon,medium,Clover,0.11,0.005335699040859883
DNAAeon,medium,Clover,0.12000000000000001,0.009242000621310966
DNAAeon,medium,Clover,0.13,0.014348530432770191
DNAAeon,medium,Clover,0.14000000000000004,0.02031557419488454
DNAAeon,medium,Clover,0.15000000000000002,0.028594204016559956
DNAAeon,medium,LSH,0.0,0.0
DNAAeon,medium,LSH,0.01,0.0
DNAAeon,medium,LSH,0.02,0.0
DNAAeon,medium,LSH,0.030000000000000002,0.0
DNAAeon,medium,LSH,0.04,0.0
DNAAeon,medium,LSH,0.05,0.0
DNAAeon,medium,LSH,0.060000000000000005,0.0
DNAAeon,medium,LSH,0.07000000000000002,1.2857106122553935e-05
DNAAeon,medium,LSH,0.08,0.00013591177384280833
DNAAeon,medium,LSH,0.09,0.001054934244589417
DNAAeon,medium,LSH,0.1,0.002365707526549924
DNAAeon,medium,LSH,0.11,0.006286310528281956
DNAAeon,medium,LSH,0.12000000000000001,0.013037255837357783
DNAAeon,medium,LSH,0.13,0.020597084008331407
DNAAeon,medium,LSH,0.14000000000000004,0.031993155344231486
DNAAeon,medium,LSH,0.15000000000000002,0.044158626475699646
DNAAeon,medium,Starcode,0.0,0.0
DNAAeon,medium,Starcode,0.01,0.0
DNAAeon,medium,Starcode,0.02,0.0
DNAAeon,medium,Starcode,0.030000000000000002,0.0
DNAAeon,medium,Starcode,0.04,0.0007071408367404665
DNAAeon,medium,Starcode,0.05,0.009164336750543647
DNAAeon,medium,Starcode,0.060000000000000005,0.020755669462566014
DNAAeon,medium,Starcode,0.07000000000000002,0.02971920080228342
DNAAeon,medium,Starcode,0.08,0.03674148286217252
DNAAeon,medium,Starcode,0.09,0.043414103758931344
DNAAeon,medium,Starcode,0.1,0.05060448379413896
DNAAeon,medium,Starcode,0.11,0.057612692535164184
DNAAeon,medium,Starcode,0.12000000000000001,0.06506338553318419
DNAAeon,medium,Starcode,0.13,0.07203836560466971
DNAAeon,medium,Starcode,0.14000000000000004,0.07943763017819949
DNAAeon,medium,Starcode,0.15000000000000002,0.08635475327213352
DNAFountain,high,BasicSet,0.0,0.0
DNAFountain,high,BasicSet,0.01,9.646550393579256e-06
DNAFountain,high,BasicSet,0.02,0.0014952153110047847
DNAFountain,high,BasicSet,0.030000000000000002,0.005816869887328291
DNAFountain,high,BasicSet,0.04,0.011305757061274888
DNAFountain,high,BasicSet,0.05,0.01738308380922982
DNAFountain,high,BasicSet,0.060000000000000005,0.023556876061120544
DNAFountain,high,BasicSet,0.07000000000000002,0.029759607964192004
DNAFountain,high,BasicSet,0.08,0.03718745176724803
DNAFountain,high,BasicSet,0.09,0.04421978700416731
DNAFountain,high,BasicSet,0.1,0.051281061892267325
DNAFountain,high,BasicSet,0.11,0.05824587127643155
DNAFountain,high,BasicSet,0.12000000000000001,0.06591487883932706
DNAFountain,high,BasicSet,0.13,0.07224301589751504
DNAFountain,high,BasicSet,0.14000000000000004,0.07940075628955086
DNAFountain,high,BasicSet,0.15000000000000002,0.08655849668158666
DNAFountain,high,CDHit,0.0,0.0
DNAFountain,high,CDHit,0.01,0.0
DNAFountain,high,CDHit,0.02,0.0
DNAFountain,high,CDHit,0.030000000000000002,0.0
DNAFountain,high,CDHit,0.04,0.0
DNAFountain,high,CDHit,0.05,0.0
DNAFountain,high,CDHit,0.060000000000000005,0.0
DNAFountain,high,CDHit,0.07000000000000002,9.646550393579256e-06
DNAFountain,high,CDHit,0.08,5.7879302361475544e-05
DNAFountain,high,CDHit,0.09,0.0002604568606266399
DNAFountain,high,CDHit,0.1,0.0005305602716468591
DNAFountain,high,CDHit,0.11,0.002295878993671863
DNAFountain,high,CDHit,0.12000000000000001,0.005373128569223646
DNAFountain,high,CDHit,0.13,0.012202886247877758
DNAFountain,high,CDHit,0.14000000000000004,0.023421824355610434
DNAFountain,high,CDHit,0.15000000000000002,0.0401778823892576
DNAFountain,high,Clover,0.0,0.002870990345686702
DNAFountain,high,Clover,0.01,5.7879302361475544e-05
DNAFountain,high,Clover,0.02,0.00016399135669084735
DNAFountain,high,Clover,0.030000000000000002,1.9293100787158512e-05
DNAFountain,high,Clover,0.04,0.0
DNAFountain,high,Clover,0.05,5.7879302361475544e-05
DNAFountain,high,Clover,0.060000000000000005,4.8232751967896285e-05
DNAFountain,high,Clover,0.07000000000000002,0.00012540515511653033
DNAFountain,high,Clover,0.08,0.0005594999228275968
DNAFountain,high,Clover,0.09,0.0015723877141534189
DNAFountain,high,Clover,0.1,0.0032123012810618924
DNAFountain,high,Clover,0.11,0.00545030097237228
DNAFountain,high,Clover,0.12000000000000001,0.00920280907547461
DNAFountain,high,Clover,0.13,0.015434480629726811
DNAFountain,high,Clover,0.14000000000000004,0.021453928075320268
DNAFountain,high,Clover,0.15000000000000002,0.02899753048309924
DNAFountain,high,LSH,0.0,0.0
DNAFountain,high,LSH,0.01,0.0
DNAFountain,high,LSH,0.02,0.0
DNAFountain,high,LSH,0.030000000000000002,0.0
DNAFountain,high,LSH,0.04,0.0
DNAFountain,high,LSH,0.05,0.0
DNAFountain,high,LSH,0.060000000000000005,9.646550393579256e-06
DNAFountain,high,LSH,0.07000000000000002,9.646550393579256e-06
DNAFountain,high,LSH,0.08,0.00018328445747800586
DNAFountain,high,LSH,0.09,0.0007524309306991819
DNAFountain,high,LSH,0.1,0.002450223799969131
DNAFountain,high,LSH,0.11,0.007267893184288154
DNAFountain,high,LSH,0.12000000000000001,0.011147118538185225
DNAFountain,high,LSH,0.13,0.01930886217055498
DNAFountain,high,LSH,0.14000000000000004,0.032978146634414875
DNAFountain,high,LSH,0.15000000000000002,0.04445264948084497
DNAFountain,high,Starcode,0.0,0.0
DNAFountain,high,Starcode,0.01,0.0
DNAFountain,high,Starcode,0.02,0.0
DNAFountain,high,Starcode,0.030000000000000002,0.0
DNAFountain,high,Starcode,0.04,0.0009839481401450842
DNAFountain,high,Starcode,0.05,0.009308921129803983
DNAFountain,high,Starcode,0.060000000000000005,0.02182049699027628
DNAFountain,high,Starcode,0.07000000000000002,0.029856073468127797
DNAFountain,high,Starcode,0.08,0.037496141379842564
DNAFountain,high,Starcode,0.09,0.044441657663219634
DNAFountain,high,Starcode,0.1,0.05103025158203427
DNAFountain,high,Starcode,0.11,0.058380922981941655
DNAFountain,high,Starcode,0.12000000000000001,0.06616568914956011
DNAFountain,high,Starcode,0.13,0.072358774502238
DNAFountain,high,Starcode,0.14000000000000004,0.0796129803982096
DNAFountain,high,Starcode,0.15000000000000002,0.08801512579101714
DNAFountain,low,BasicSet,0.0,0.0
DNAFountain,low,BasicSet,0.01,6.45944758804227e-06
DNAFountain,low,BasicSet,0.02,0.0015922538304524198
