#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_max_5869	0.04574	0.080625	0.00000	0.000000	625	0	625	80625
hedges_9230	0.04574	0.080585	0.00000	0.000000	625	0	625	80585
fountain_high_3440	0.03922	0.069121	0.00000	0.000000	536	0	536	69121
aeon_medium_1721	0.03798	0.066953	0.00000	0.000000	519	0	519	66953
fountain_high_3841	0.03740	0.065919	0.00000	0.000000	511	0	511	65919
goldman_9941	0.03644	0.064242	0.00000	0.000000	498	0	498	64242
hedges_8409	0.03608	0.063597	0.00000	0.000000	493	0	493	63597
rs_medium_8070	0.03600	0.063468	0.00000	0.000000	492	0	492	63468
hedges_8328	0.03593	0.063341	0.00000	0.000000	491	0	491	63341
aeon_max_0335	0.03571	0.062952	0.00000	0.000000	488	0	488	62952
hedges_9000	0.03513	0.061920	0.00000	0.000000	480	0	480	61920
rs_max_5916	0.03483	0.061404	0.00000	0.000000	476	0	476	61404
aeon_high_1236	0.03461	0.060988	0.00000	0.000000	473	0	473	60988
aeon_high_0925	0.03439	0.060630	0.00000	0.000000	470	0	470	60630
aeon_medium_1684	0.03410	0.060114	0.00000	0.000000	466	0	466	60114
rs_max_5715	0.03403	0.059971	0.00000	0.000000	465	0	465	59971
aeon_max_0279	0.03403	0.059985	0.00000	0.000000	465	0	465	59985
aeon_high_0898	0.03396	0.059855	0.00000	0.000000	464	0	464	59855
aeon_medium_1639	0.03374	0.059469	0.00000	0.000000	461	0	461	59469
hedges_8781	0.03344	0.058953	0.00000	0.000000	457	0	457	58953
hedges_8448	0.03330	0.058695	0.00000	0.000000	455	0	455	58695
hedges_9026	0.03315	0.058437	0.00000	0.000000	453	0	453	58437
hedges_8692	0.03315	0.058437	0.00000	0.000000	453	0	453	58437
aeon_medium_1957	0.03315	0.058436	0.00000	0.000000	453	0	453	58436
rs_max_5963	0.03308	0.058311	0.00000	0.000000	452	0	452	58311
hedges_9002	0.03278	0.057789	0.00000	0.000000	448	0	448	57789
rs_medium_8260	0.03271	0.057663	0.00000	0.000000	447	0	447	57663
hedges_8882	0.03271	0.057685	0.00000	0.000000	447	0	447	57685
hedges_9057	0.03257	0.057405	0.00000	0.000000	445	0	445	57405
hedges_8775	0.03242	0.057147	0.00000	0.000000	443	0	443	57147
hedges_9355	0.03213	0.056668	0.00000	0.000000	439	0	439	56668
fountain_high_3899	0.03213	0.056631	0.00000	0.000000	439	0	439	56631
rs_high_7104	0.03205	0.056502	0.00000	0.000000	438	0	438	56502
hedges_8577	0.03183	0.055811	0.00000	0.000000	435	0	435	55811
hedges_8819	0.03147	0.055470	0.00000	0.000000	430	0	430	55470
aeon_medium_2659	0.03147	0.055491	0.00000	0.000000	430	0	430	55491
hedges_8780	0.03132	0.055212	0.00000	0.000000	428	0	428	55212
aeon_max_0646	0.03125	0.055082	0.00000	0.000000	427	0	427	55082
goldman_10060	0.03117	0.054933	0.00000	0.000000	426	0	426	54933
aeon_high_0720	0.03110	0.054844	0.00000	0.000000	425	0	425	54844
hedges_8726	0.03096	0.054567	0.00000	0.000000	423	0	423	54567
hedges_8333	0.03096	0.054567	0.00000	0.000000	423	0	423	54567
yinyang_10791	0.03066	0.054051	0.00000	0.000000	419	0	419	54051
yinyang_10944	0.03059	0.053922	0.00000	0.000000	418	0	418	53922
rs_high_6765	0.03052	0.053793	0.00000	0.000000	417	0	417	53793
rs_medium_7924	0.03044	0.053664	0.00000	0.000000	416	0	416	53664
hedges_8617	0.03044	0.053664	0.00000	0.000000	416	0	416	53664
hedges_9266	0.03030	0.053406	0.00000	0.000000	414	0	414	53406
