#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_high_1289	0.02385	0.021543	0.00000	0.000000	167	0	167	21543
aeon_high_1523	0.02270	0.020513	0.00000	0.000000	159	0	159	20513
aeon_high_0925	0.02185	0.019739	0.00000	0.000000	153	0	153	19739
aeon_high_0898	0.02156	0.019457	0.00000	0.000000	151	0	151	19457
aeon_high_0815	0.02156	0.019481	0.00000	0.000000	151	0	151	19481
aeon_high_1236	0.02142	0.019343	0.00000	0.000000	150	0	150	19343
aeon_high_1336	0.02128	0.019224	0.00000	0.000000	149	0	149	19224
aeon_high_1169	0.02099	0.018953	0.00000	0.000000	147	0	147	18953
aeon_high_0857	0.02099	0.018949	0.00000	0.000000	147	0	147	18949
aeon_high_0989	0.02071	0.018687	0.00000	0.000000	145	0	145	18687
aeon_high_0842	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
aeon_high_1509	0.01942	0.017542	0.00000	0.000000	136	0	136	17542
aeon_high_1256	0.01942	0.017518	0.00000	0.000000	136	0	136	17518
aeon_high_0763	0.01942	0.017545	0.00000	0.000000	136	0	136	17545
aeon_high_0765	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
aeon_high_0708	0.01899	0.017159	0.00000	0.000000	133	0	133	17159
aeon_high_1035	0.01856	0.016771	0.00000	0.000000	130	0	130	16771
aeon_high_0828	0.01856	0.016770	0.00000	0.000000	130	0	130	16770
aeon_high_0880	0.01842	0.016628	0.00000	0.000000	129	0	129	16628
aeon_high_0804	0.01814	0.016337	0.00000	0.000000	127	0	127	16337
aeon_high_1153	0.01799	0.016233	0.00000	0.000000	126	0	126	16233
aeon_high_1370	0.01771	0.015997	0.00000	0.000000	124	0	124	15997
aeon_high_0731	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
aeon_high_0723	0.01771	0.015992	0.00000	0.000000	124	0	124	15992
aeon_high_1105	0.01756	0.015869	0.00000	0.000000	123	0	123	15869
aeon_high_0822	0.01756	0.015861	0.00000	0.000000	123	0	123	15861
aeon_high_1316	0.01728	0.015609	0.00000	0.000000	121	0	121	15609
aeon_high_1291	0.01728	0.015602	0.00000	0.000000	121	0	121	15602
aeon_high_1061	0.01728	0.015609	0.00000	0.000000	121	0	121	15609
aeon_high_0932	0.01728	0.015609	0.00000	0.000000	121	0	121	15609
aeon_high_0947	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
aeon_high_0816	0.01714	0.015478	0.00000	0.000000	120	0	120	15478
aeon_high_1399	0.01699	0.015352	0.00000	0.000000	119	0	119	15352
aeon_high_0844	0.01699	0.015330	0.00000	0.000000	119	0	119	15330
aeon_high_1200	0.01656	0.014966	0.00000	0.000000	116	0	116	14966
aeon_high_1160	0.01642	0.014831	0.00000	0.000000	115	0	115	14831
aeon_high_0720	0.01642	0.014835	0.00000	0.000000	115	0	115	14835
aeon_high_1146	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
aeon_high_1075	0.01628	0.014700	0.00000	0.000000	114	0	114	14700
aeon_high_1003	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
aeon_high_0722	0.01628	0.014697	0.00000	0.000000	114	0	114	14697
aeon_high_0901	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
aeon_high_1338	0.01599	0.014450	0.00000	0.000000	112	0	112	14450
aeon_high_1279	0.01585	0.014318	0.00000	0.000000	111	0	111	14318
aeon_high_1220	0.01585	0.014320	0.00000	0.000000	111	0	111	14320
aeon_high_0817	0.01585	0.014317	0.00000	0.000000	111	0	111	14317
aeon_high_1492	0.01571	0.014191	0.00000	0.000000	110	0	110	14191
aeon_high_1285	0.01571	0.014186	0.00000	0.000000	110	0	110	14186
aeon_high_0951	0.01571	0.014188	0.00000	0.000000	110	0	110	14188
aeon_high_1195	0.01556	0.014062	0.00000	0.000000	109	0	109	14062
aeon_high_0909	0.01556	0.014052	0.00000	0.000000	109	0	109	14052
aeon_high_0887	0.01556	0.014054	0.00000	0.000000	109	0	109	14054
aeon_high_1479	0.01542	0.013932	0.00000	0.000000	108	0	108	13932
aeon_high_1434	0.01528	0.013803	0.00000	0.000000	107	0	107	13803
aeon_high_1302	0.01528	0.013803	0.00000	0.000000	107	0	107	13803
aeon_high_0774	0.01528	0.013803	0.00000	0.000000	107	0	107	13803
aeon_high_1515	0.01514	0.013675	0.00000	0.000000	106	0	106	13675
aeon_high_1266	0.01514	0.013675	0.00000	0.000000	106	0	106	13675
aeon_high_1397	0.01499	0.013537	0.00000	0.000000	105	0	105	13537
aeon_high_1080	0.01499	0.013546	0.00000	0.000000	105	0	105	13546
aeon_high_0983	0.01499	0.013544	0.00000	0.000000	105	0	105	13544
aeon_high_0868	0.01499	0.013545	0.00000	0.000000	105	0	105	13545
aeon_high_1314	0.01485	0.013417	0.00000	0.000000	104	0	104	13417
aeon_high_1238	0.01485	0.013415	0.00000	0.000000	104	0	104	13415
