#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_max_0335	0.02342	0.021153	0.00000	0.000000	164	0	164	21153
aeon_max_0581	0.02128	0.019224	0.00000	0.000000	149	0	149	19224
aeon_max_0611	0.02071	0.018705	0.00000	0.000000	145	0	145	18705
aeon_max_0217	0.01856	0.016770	0.00000	0.000000	130	0	130	16770
aeon_max_0128	0.01799	0.016256	0.00000	0.000000	126	0	126	16256
aeon_max_0161	0.01785	0.016124	0.00000	0.000000	125	0	125	16124
aeon_max_0032	0.01714	0.015478	0.00000	0.000000	120	0	120	15478
aeon_max_0408	0.01699	0.015348	0.00000	0.000000	119	0	119	15348
aeon_max_0305	0.01699	0.015350	0.00000	0.000000	119	0	119	15350
aeon_max_0173	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
aeon_max_0471	0.01685	0.015213	0.00000	0.000000	118	0	118	15213
aeon_max_0450	0.01685	0.015217	0.00000	0.000000	118	0	118	15217
aeon_max_0677	0.01656	0.014980	0.00000	0.000000	116	0	116	14980
aeon_max_0573	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
aeon_max_0326	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
aeon_max_0646	0.01642	0.014835	0.00000	0.000000	115	0	115	14835
aeon_max_0224	0.01642	0.014841	0.00000	0.000000	115	0	115	14841
aeon_max_0403	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
aeon_max_0114	0.01628	0.014702	0.00000	0.000000	114	0	114	14702
aeon_max_0526	0.01614	0.014578	0.00000	0.000000	113	0	113	14578
aeon_max_0510	0.01599	0.014448	0.00000	0.000000	112	0	112	14448
aeon_max_0641	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
aeon_max_0635	0.01585	0.014315	0.00000	0.000000	111	0	111	14315
aeon_max_0242	0.01585	0.014292	0.00000	0.000000	111	0	111	14292
aeon_max_0631	0.01571	0.014189	0.00000	0.000000	110	0	110	14189
aeon_max_0256	0.01571	0.014190	0.00000	0.000000	110	0	110	14190
aeon_max_0535	0.01556	0.014056	0.00000	0.000000	109	0	109	14056
aeon_max_0482	0.01556	0.014061	0.00000	0.000000	109	0	109	14061
aeon_max_0395	0.01556	0.014062	0.00000	0.000000	109	0	109	14062
