#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_medium_1929	0.02342	0.021146	0.00000	0.000000	164	0	164	21146
aeon_medium_1692	0.02299	0.020755	0.00000	0.000000	161	0	161	20755
aeon_medium_2168	0.02242	0.020242	0.00000	0.000000	157	0	157	20242
aeon_medium_2012	0.02185	0.019739	0.00000	0.000000	153	0	153	19739
aeon_medium_1683	0.02128	0.019219	0.00000	0.000000	149	0	149	19219
aeon_medium_1774	0.02099	0.018959	0.00000	0.000000	147	0	147	18959
aeon_medium_1969	0.02056	0.018576	0.00000	0.000000	144	0	144	18576
aeon_medium_2368	0.02042	0.018430	0.00000	0.000000	143	0	143	18430
aeon_medium_2670	0.02028	0.018318	0.00000	0.000000	142	0	142	18318
aeon_medium_2089	0.02013	0.018185	0.00000	0.000000	141	0	141	18185
aeon_medium_2584	0.01928	0.017421	0.00000	0.000000	135	0	135	17421
aeon_medium_1629	0.01928	0.017410	0.00000	0.000000	135	0	135	17410
aeon_medium_1995	0.01913	0.017282	0.00000	0.000000	134	0	134	17282
aeon_medium_2206	0.01899	0.017159	0.00000	0.000000	133	0	133	17159
aeon_medium_1958	0.01885	0.017026	0.00000	0.000000	132	0	132	17026
aeon_medium_2150	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
aeon_medium_1714	0.01828	0.016511	0.00000	0.000000	128	0	128	16511
aeon_medium_2659	0.01799	0.016255	0.00000	0.000000	126	0	126	16255
aeon_medium_2188	0.01799	0.016252	0.00000	0.000000	126	0	126	16252
aeon_medium_1987	0.01799	0.016253	0.00000	0.000000	126	0	126	16253
aeon_medium_2492	0.01785	0.016127	0.00000	0.000000	125	0	125	16127
aeon_medium_2336	0.01785	0.016116	0.00000	0.000000	125	0	125	16116
aeon_medium_2208	0.01785	0.016111	0.00000	0.000000	125	0	125	16111
aeon_medium_1668	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
aeon_medium_1773	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
aeon_medium_2367	0.01742	0.015736	0.00000	0.000000	122	0	122	15736
aeon_medium_2245	0.01742	0.015735	0.00000	0.000000	122	0	122	15735
aeon_medium_2081	0.01742	0.015735	0.00000	0.000000	122	0	122	15735
aeon_medium_2348	0.01728	0.015608	0.00000	0.000000	121	0	121	15608
aeon_medium_2152	0.01728	0.015608	0.00000	0.000000	121	0	121	15608
aeon_medium_1945	0.01728	0.015614	0.00000	0.000000	121	0	121	15614
aeon_medium_2016	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
aeon_medium_1574	0.01714	0.015476	0.00000	0.000000	120	0	120	15476
aeon_medium_2502	0.01699	0.015321	0.00000	0.000000	119	0	119	15321
aeon_medium_2141	0.01699	0.015346	0.00000	0.000000	119	0	119	15346
aeon_medium_2579	0.01685	0.015222	0.00000	0.000000	118	0	118	15222
aeon_medium_2399	0.01685	0.015216	0.00000	0.000000	118	0	118	15216
aeon_medium_2290	0.01685	0.015221	0.00000	0.000000	118	0	118	15221
aeon_medium_2671	0.01671	0.015091	0.00000	0.000000	117	0	117	15091
aeon_medium_2246	0.01671	0.015091	0.00000	0.000000	117	0	117	15091
aeon_medium_2052	0.01671	0.015092	0.00000	0.000000	117	0	117	15092
aeon_medium_1653	0.01671	0.015105	0.00000	0.000000	117	0	117	15105
aeon_medium_1855	0.01656	0.014951	0.00000	0.000000	116	0	116	14951
aeon_medium_1592	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
aeon_medium_2545	0.01628	0.014704	0.00000	0.000000	114	0	114	14704
aeon_medium_1972	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
aeon_medium_1854	0.01628	0.014661	0.00000	0.000000	114	0	114	14661
aeon_medium_2588	0.01614	0.014576	0.00000	0.000000	113	0	113	14576
aeon_medium_2382	0.01614	0.014575	0.00000	0.000000	113	0	113	14575
aeon_medium_2209	0.01614	0.014576	0.00000	0.000000	113	0	113	14576
aeon_medium_1771	0.01614	0.014578	0.00000	0.000000	113	0	113	14578
aeon_medium_2462	0.01599	0.014447	0.00000	0.000000	112	0	112	14447
