#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
hedges_8775	0.02770	0.025026	0.00000	0.000000	194	0	194	25026
hedges_9026	0.02742	0.024770	0.00000	0.000000	192	0	192	24770
hedges_8886	0.02656	0.023996	0.00000	0.000000	186	0	186	23996
rs_medium_8237	0.02570	0.023221	0.00000	0.000000	180	0	180	23221
yinyang_11037	0.02499	0.022574	0.00000	0.000000	175	0	175	22574
rs_max_5715	0.02456	0.022185	0.00000	0.000000	172	0	172	22185
rs_medium_7527	0.02442	0.022049	0.00000	0.000000	171	0	171	22049
fountain_medium_4406	0.02442	0.022061	0.00000	0.000000	171	0	171	22061
aeon_high_1289	0.02385	0.021543	0.00000	0.000000	167	0	167	21543
hedges_9154	0.02356	0.021288	0.00000	0.000000	165	0	165	21288
rs_high_6907	0.02342	0.021146	0.00000	0.000000	164	0	164	21146
aeon_medium_1929	0.02342	0.021146	0.00000	0.000000	164	0	164	21146
aeon_max_0335	0.02342	0.021153	0.00000	0.000000	164	0	164	21153
rs_max_5869	0.02328	0.021021	0.00000	0.000000	163	0	163	21021
fountain_high_3841	0.02328	0.021026	0.00000	0.000000	163	0	163	21026
fountain_high_4021	0.02313	0.020892	0.00000	0.000000	162	0	162	20892
rs_medium_7875	0.02299	0.020765	0.00000	0.000000	161	0	161	20765
hedges_8707	0.02299	0.020761	0.00000	0.000000	161	0	161	20761
aeon_medium_1692	0.02299	0.020755	0.00000	0.000000	161	0	161	20755
rs_high_6444	0.02270	0.020490	0.00000	0.000000	159	0	159	20490
hedges_9306	0.02270	0.020508	0.00000	0.000000	159	0	159	20508
hedges_9057	0.02270	0.020511	0.00000	0.000000	159	0	159	20511
hedges_8692	0.02270	0.020511	0.00000	0.000000	159	0	159	20511
aeon_high_1523	0.02270	0.020513	0.00000	0.000000	159	0	159	20513
hedges_9371	0.02242	0.020251	0.00000	0.000000	157	0	157	20251
aeon_medium_2168	0.02242	0.020242	0.00000	0.000000	157	0	157	20242
rs_medium_7924	0.02228	0.020125	0.00000	0.000000	156	0	156	20125
rs_medium_7883	0.02228	0.020099	0.00000	0.000000	156	0	156	20099
rs_max_5443	0.02213	0.019998	0.00000	0.000000	155	0	155	19998
rs_high_6865	0.02213	0.019994	0.00000	0.000000	155	0	155	19994
rs_high_6856	0.02199	0.019841	0.00000	0.000000	154	0	154	19841
hedges_9230	0.02199	0.019864	0.00000	0.000000	154	0	154	19864
hedges_8836	0.02199	0.019866	0.00000	0.000000	154	0	154	19866
rs_medium_8241	0.02185	0.019736	0.00000	0.000000	153	0	153	19736
rs_medium_8139	0.02185	0.019737	0.00000	0.000000	153	0	153	19737
rs_max_6310	0.02185	0.019738	0.00000	0.000000	153	0	153	19738
rs_high_6944	0.02185	0.019726	0.00000	0.000000	153	0	153	19726
hedges_8819	0.02185	0.019712	0.00000	0.000000	153	0	153	19712
aeon_medium_2012	0.02185	0.019739	0.00000	0.000000	153	0	153	19739
aeon_high_0925	0.02185	0.019739	0.00000	0.000000	153	0	153	19739
yinyang_10944	0.02171	0.019607	0.00000	0.000000	152	0	152	19607
rs_medium_7977	0.02171	0.019604	0.00000	0.000000	152	0	152	19604
rs_high_6350	0.02156	0.019478	0.00000	0.000000	151	0	151	19478
hedges_8475	0.02156	0.019472	0.00000	0.000000	151	0	151	19472
fountain_max_2991	0.02156	0.019478	0.00000	0.000000	151	0	151	19478
aeon_high_0898	0.02156	0.019457	0.00000	0.000000	151	0	151	19457
aeon_high_0815	0.02156	0.019481	0.00000	0.000000	151	0	151	19481
rs_medium_7719	0.02142	0.019349	0.00000	0.000000	150	0	150	19349
rs_max_5963	0.02142	0.019349	0.00000	0.000000	150	0	150	19349
rs_high_6946	0.02142	0.019350	0.00000	0.000000	150	0	150	19350
aeon_high_1236	0.02142	0.019343	0.00000	0.000000	150	0	150	19343
hedges_9193	0.02128	0.019223	0.00000	0.000000	149	0	149	19223
hedges_8759	0.02128	0.019217	0.00000	0.000000	149	0	149	19217
fountain_max_3242	0.02128	0.019223	0.00000	0.000000	149	0	149	19223
fountain_high_3508	0.02128	0.019217	0.00000	0.000000	149	0	149	19217
aeon_medium_1683	0.02128	0.019219	0.00000	0.000000	149	0	149	19219
aeon_max_0581	0.02128	0.019224	0.00000	0.000000	149	0	149	19224
aeon_high_1336	0.02128	0.019224	0.00000	0.000000	149	0	149	19224
rs_medium_7972	0.02113	0.019073	0.00000	0.000000	148	0	148	19073
rs_max_5671	0.02113	0.019091	0.00000	0.000000	148	0	148	19091
hedges_8853	0.02113	0.019090	0.00000	0.000000	148	0	148	19090
hedges_9366	0.02099	0.018963	0.00000	0.000000	147	0	147	18963
hedges_8561	0.02099	0.018964	0.00000	0.000000	147	0	147	18964
aeon_medium_1774	0.02099	0.018959	0.00000	0.000000	147	0	147	18959
aeon_high_1169	0.02099	0.018953	0.00000	0.000000	147	0	147	18953
aeon_high_0857	0.02099	0.018949	0.00000	0.000000	147	0	147	18949
rs_medium_7930	0.02085	0.018846	0.00000	0.000000	146	0	146	18846
rs_medium_7362	0.02085	0.018829	0.00000	0.000000	146	0	146	18829
rs_medium_7239	0.02085	0.018834	0.00000	0.000000	146	0	146	18834
hedges_9000	0.02085	0.018834	0.00000	0.000000	146	0	146	18834
hedges_8856	0.02085	0.018832	0.00000	0.000000	146	0	146	18832
hedges_8680	0.02085	0.018835	0.00000	0.000000	146	0	146	18835
rs_medium_7227	0.02071	0.018705	0.00000	0.000000	145	0	145	18705
rs_high_7160	0.02071	0.018700	0.00000	0.000000	145	0	145	18700
hedges_8698	0.02071	0.018707	0.00000	0.000000	145	0	145	18707
hedges_8550	0.02071	0.018706	0.00000	0.000000	145	0	145	18706
hedges_8410	0.02071	0.018706	0.00000	0.000000	145	0	145	18706
aeon_max_0611	0.02071	0.018705	0.00000	0.000000	145	0	145	18705
aeon_high_0989	0.02071	0.018687	0.00000	0.000000	145	0	145	18687
rs_medium_7373	0.02056	0.018580	0.00000	0.000000	144	0	144	18580
rs_max_5481	0.02056	0.018581	0.00000	0.000000	144	0	144	18581
rs_high_6840	0.02056	0.018550	0.00000	0.000000	144	0	144	18550
rs_high_6388	0.02056	0.018582	0.00000	0.000000	144	0	144	18582
hedges_9077	0.02056	0.018575	0.00000	0.000000	144	0	144	18575
hedges_9002	0.02056	0.018581	0.00000	0.000000	144	0	144	18581
hedges_8950	0.02056	0.018576	0.00000	0.000000	144	0	144	18576
goldman_10060	0.02056	0.018578	0.00000	0.000000	144	0	144	18578
aeon_medium_1969	0.02056	0.018576	0.00000	0.000000	144	0	144	18576
hedges_8956	0.02042	0.018434	0.00000	0.000000	143	0	143	18434
aeon_medium_2368	0.02042	0.018430	0.00000	0.000000	143	0	143	18430
yinyang_10936	0.02028	0.018317	0.00000	0.000000	142	0	142	18317
yinyang_10911	0.02028	0.018320	0.00000	0.000000	142	0	142	18320
rs_medium_7541	0.02028	0.018322	0.00000	0.000000	142	0	142	18322
rs_high_6413	0.02028	0.018318	0.00000	0.000000	142	0	142	18318
hedges_8815	0.02028	0.018275	0.00000	0.000000	142	0	142	18275
hedges_8769	0.02028	0.018310	0.00000	0.000000	142	0	142	18310
hedges_8466	0.02028	0.018305	0.00000	0.000000	142	0	142	18305
aeon_medium_2670	0.02028	0.018318	0.00000	0.000000	142	0	142	18318
rs_high_6916	0.02013	0.018187	0.00000	0.000000	141	0	141	18187
hedges_9250	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
hedges_8778	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
hedges_8647	0.02013	0.018193	0.00000	0.000000	141	0	141	18193
goldman_10000	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
fountain_medium_4953	0.02013	0.018192	0.00000	0.000000	141	0	141	18192
fountain_medium_4799	0.02013	0.018186	0.00000	0.000000	141	0	141	18186
aeon_medium_2089	0.02013	0.018185	0.00000	0.000000	141	0	141	18185
rs_max_5872	0.01999	0.018060	0.00000	0.000000	140	0	140	18060
rs_max_5685	0.01999	0.018059	0.00000	0.000000	140	0	140	18059
rs_high_6872	0.01999	0.018058	0.00000	0.000000	140	0	140	18058
hedges_9048	0.01999	0.018059	0.00000	0.000000	140	0	140	18059
hedges_9013	0.01999	0.018060	0.00000	0.000000	140	0	140	18060
hedges_8790	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8687	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8642	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8506	0.01999	0.017996	0.00000	0.000000	140	0	140	17996
fountain_max_2740	0.01999	0.018049	0.00000	0.000000	140	0	140	18049
rs_medium_8026	0.01985	0.017932	0.00000	0.000000	139	0	139	17932
rs_high_7104	0.01985	0.017931	0.00000	0.000000	139	0	139	17931
hedges_8795	0.01985	0.017933	0.00000	0.000000	139	0	139	17933
hedges_8792	0.01985	0.017924	0.00000	0.000000	139	0	139	17924
hedges_8435	0.01985	0.017900	0.00000	0.000000	139	0	139	17900
yinyang_11110	0.01971	0.017794	0.00000	0.000000	138	0	138	17794
rs_max_5989	0.01971	0.017777	0.00000	0.000000	138	0	138	17777
rs_high_7066	0.01971	0.017801	0.00000	0.000000	138	0	138	17801
hedges_9347	0.01971	0.017804	0.00000	0.000000	138	0	138	17804
fountain_medium_4558	0.01971	0.017803	0.00000	0.000000	138	0	138	17803
fountain_high_3678	0.01971	0.017801	0.00000	0.000000	138	0	138	17801
rs_medium_7731	0.01956	0.017656	0.00000	0.000000	137	0	137	17656
hedges_9157	0.01956	0.017671	0.00000	0.000000	137	0	137	17671
hedges_9067	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
hedges_8981	0.01956	0.017644	0.00000	0.000000	137	0	137	17644
hedges_8473	0.01956	0.017673	0.00000	0.000000	137	0	137	17673
hedges_8456	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
aeon_high_0842	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
yinyang_11129	0.01942	0.017546	0.00000	0.000000	136	0	136	17546
yinyang_10861	0.01942	0.017542	0.00000	0.000000	136	0	136	17542
rs_medium_7936	0.01942	0.017530	0.00000	0.000000	136	0	136	17530
rs_medium_7912	0.01942	0.017543	0.00000	0.000000	136	0	136	17543
rs_medium_7307	0.01942	0.017544	0.00000	0.000000	136	0	136	17544
rs_high_6964	0.01942	0.017525	0.00000	0.000000	136	0	136	17525
hedges_8619	0.01942	0.017472	0.00000	0.000000	136	0	136	17472
aeon_high_1509	0.01942	0.017542	0.00000	0.000000	136	0	136	17542
aeon_high_1256	0.01942	0.017518	0.00000	0.000000	136	0	136	17518
aeon_high_0763	0.01942	0.017545	0.00000	0.000000	136	0	136	17545
rs_medium_8220	0.01928	0.017410	0.00000	0.000000	135	0	135	17410
rs_medium_7443	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
rs_max_6201	0.01928	0.017409	0.00000	0.000000	135	0	135	17409
rs_max_5956	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
rs_max_5467	0.01928	0.017416	0.00000	0.000000	135	0	135	17416
rs_high_6448	0.01928	0.017419	0.00000	0.000000	135	0	135	17419
hedges_9144	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
hedges_8959	0.01928	0.017414	0.00000	0.000000	135	0	135	17414
hedges_8625	0.01928	0.017407	0.00000	0.000000	135	0	135	17407
hedges_8516	0.01928	0.017417	0.00000	0.000000	135	0	135	17417
aeon_medium_2584	0.01928	0.017421	0.00000	0.000000	135	0	135	17421
aeon_medium_1629	0.01928	0.017410	0.00000	0.000000	135	0	135	17410
rs_max_5965	0.01913	0.017269	0.00000	0.000000	134	0	134	17269
rs_max_5900	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_max_5795	0.01913	0.017282	0.00000	0.000000	134	0	134	17282
rs_max_5663	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_max_5563	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_high_6751	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
rs_high_6740	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
hedges_9344	0.01913	0.017283	0.00000	0.000000	134	0	134	17283
hedges_9140	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
hedges_8848	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
hedges_8455	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
hedges_8355	0.01913	0.017288	0.00000	0.000000	134	0	134	17288
fountain_medium_4280	0.01913	0.017284	0.00000	0.000000	134	0	134	17284
fountain_high_4233	0.01913	0.017287	0.00000	0.000000	134	0	134	17287
aeon_medium_1995	0.01913	0.017282	0.00000	0.000000	134	0	134	17282
aeon_high_0765	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
rs_medium_8089	0.01899	0.017144	0.00000	0.000000	133	0	133	17144
rs_max_6309	0.01899	0.017137	0.00000	0.000000	133	0	133	17137
rs_high_7061	0.01899	0.017153	0.00000	0.000000	133	0	133	17153
hedges_9003	0.01899	0.017151	0.00000	0.000000	133	0	133	17151
hedges_8876	0.01899	0.017155	0.00000	0.000000	133	0	133	17155
aeon_medium_2206	0.01899	0.017159	0.00000	0.000000	133	0	133	17159
aeon_high_0708	0.01899	0.017159	0.00000	0.000000	133	0	133	17159
rs_medium_7416	0.01885	0.017023	0.00000	0.000000	132	0	132	17023
hedges_8552	0.01885	0.017025	0.00000	0.000000	132	0	132	17025
goldman_10068	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
fountain_high_3666	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
