#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_high_3862	0.02913	0.026318	0.00000	0.000000	204	0	204	26318
fountain_high_4070	0.02870	0.025903	0.00000	0.000000	201	0	201	25903
fountain_high_3847	0.02542	0.022937	0.00000	0.000000	178	0	178	22937
fountain_high_3750	0.02499	0.022575	0.00000	0.000000	175	0	175	22575
fountain_high_3841	0.02328	0.021026	0.00000	0.000000	163	0	163	21026
fountain_high_3406	0.02328	0.021027	0.00000	0.000000	163	0	163	21027
fountain_high_4021	0.02313	0.020892	0.00000	0.000000	162	0	162	20892
fountain_high_3555	0.02285	0.020642	0.00000	0.000000	160	0	160	20642
fountain_high_4237	0.02242	0.020243	0.00000	0.000000	157	0	157	20243
fountain_high_3838	0.02228	0.020123	0.00000	0.000000	156	0	156	20123
fountain_high_3992	0.02199	0.019865	0.00000	0.000000	154	0	154	19865
fountain_high_3412	0.02142	0.019306	0.00000	0.000000	150	0	150	19306
fountain_high_3508	0.02128	0.019217	0.00000	0.000000	149	0	149	19217
fountain_high_4052	0.02085	0.018820	0.00000	0.000000	146	0	146	18820
fountain_high_3839	0.02085	0.018833	0.00000	0.000000	146	0	146	18833
fountain_high_3502	0.02071	0.018703	0.00000	0.000000	145	0	145	18703
fountain_high_4055	0.02028	0.018316	0.00000	0.000000	142	0	142	18316
fountain_high_3678	0.01971	0.017801	0.00000	0.000000	138	0	138	17801
fountain_high_3938	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
fountain_high_4233	0.01913	0.017287	0.00000	0.000000	134	0	134	17287
fountain_high_3932	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
fountain_high_3666	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
fountain_high_3924	0.01871	0.016900	0.00000	0.000000	131	0	131	16900
fountain_high_4099	0.01842	0.016630	0.00000	0.000000	129	0	129	16630
fountain_high_3917	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
fountain_high_3653	0.01828	0.016513	0.00000	0.000000	128	0	128	16513
fountain_high_3652	0.01814	0.016382	0.00000	0.000000	127	0	127	16382
fountain_high_3738	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
fountain_high_4102	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
fountain_high_3648	0.01785	0.016110	0.00000	0.000000	125	0	125	16110
fountain_high_3469	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
fountain_high_3440	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
fountain_high_3679	0.01756	0.015865	0.00000	0.000000	123	0	123	15865
fountain_high_3628	0.01756	0.015863	0.00000	0.000000	123	0	123	15863
fountain_high_3586	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
fountain_high_3882	0.01742	0.015730	0.00000	0.000000	122	0	122	15730
fountain_high_3778	0.01742	0.015733	0.00000	0.000000	122	0	122	15733
fountain_high_3537	0.01728	0.015612	0.00000	0.000000	121	0	121	15612
fountain_high_3621	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
fountain_high_3573	0.01714	0.015478	0.00000	0.000000	120	0	120	15478
fountain_high_3581	0.01685	0.015212	0.00000	0.000000	118	0	118	15212
fountain_high_3538	0.01685	0.015219	0.00000	0.000000	118	0	118	15219
fountain_high_4217	0.01671	0.015094	0.00000	0.000000	117	0	117	15094
fountain_high_4116	0.01656	0.014954	0.00000	0.000000	116	0	116	14954
fountain_high_4104	0.01642	0.014827	0.00000	0.000000	115	0	115	14827
fountain_high_3487	0.01642	0.014815	0.00000	0.000000	115	0	115	14815
fountain_high_3928	0.01628	0.014680	0.00000	0.000000	114	0	114	14680
fountain_high_3688	0.01628	0.014705	0.00000	0.000000	114	0	114	14705
fountain_high_4149	0.01571	0.014190	0.00000	0.000000	110	0	110	14190
fountain_high_4244	0.01542	0.013933	0.00000	0.000000	108	0	108	13933
fountain_high_4087	0.01542	0.013932	0.00000	0.000000	108	0	108	13932
fountain_high_4073	0.01542	0.013934	0.00000	0.000000	108	0	108	13934
fountain_high_3794	0.01542	0.013926	0.00000	0.000000	108	0	108	13926
fountain_high_3770	0.01542	0.013933	0.00000	0.000000	108	0	108	13933
fountain_high_3756	0.01542	0.013930	0.00000	0.000000	108	0	108	13930
fountain_high_3464	0.01542	0.013932	0.00000	0.000000	108	0	108	13932
fountain_high_4209	0.01528	0.013781	0.00000	0.000000	107	0	107	13781
fountain_high_4183	0.01514	0.013674	0.00000	0.000000	106	0	106	13674
fountain_high_4115	0.01514	0.013675	0.00000	0.000000	106	0	106	13675
fountain_high_3560	0.01514	0.013673	0.00000	0.000000	106	0	106	13673
fountain_high_4134	0.01499	0.013533	0.00000	0.000000	105	0	105	13533
fountain_high_3898	0.01499	0.013545	0.00000	0.000000	105	0	105	13545
fountain_high_3892	0.01499	0.013543	0.00000	0.000000	105	0	105	13543
fountain_high_3712	0.01499	0.013544	0.00000	0.000000	105	0	105	13544
fountain_high_3697	0.01499	0.013538	0.00000	0.000000	105	0	105	13538
fountain_high_4253	0.01485	0.013416	0.00000	0.000000	104	0	104	13416
fountain_high_4211	0.01485	0.013407	0.00000	0.000000	104	0	104	13407
fountain_high_4203	0.01485	0.013415	0.00000	0.000000	104	0	104	13415
fountain_high_3901	0.01485	0.013410	0.00000	0.000000	104	0	104	13410
fountain_high_3731	0.01485	0.013416	0.00000	0.000000	104	0	104	13416
fountain_high_4175	0.01471	0.013274	0.00000	0.000000	103	0	103	13274
fountain_high_4170	0.01471	0.013279	0.00000	0.000000	103	0	103	13279
fountain_high_4153	0.01471	0.013270	0.00000	0.000000	103	0	103	13270
fountain_high_3530	0.01471	0.013287	0.00000	0.000000	103	0	103	13287
fountain_high_3492	0.01471	0.013276	0.00000	0.000000	103	0	103	13276
fountain_high_4026	0.01457	0.013158	0.00000	0.000000	102	0	102	13158
fountain_high_3580	0.01457	0.013089	0.00000	0.000000	102	0	102	13089
fountain_high_4155	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
fountain_high_3994	0.01442	0.013026	0.00000	0.000000	101	0	101	13026
fountain_high_3782	0.01442	0.013030	0.00000	0.000000	101	0	101	13030
fountain_high_4238	0.01428	0.012899	0.00000	0.000000	100	0	100	12899
fountain_high_4056	0.01428	0.012869	0.00000	0.000000	100	0	100	12869
fountain_high_3820	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
fountain_high_3637	0.01428	0.012898	0.00000	0.000000	100	0	100	12898
fountain_high_3427	0.01428	0.012896	0.00000	0.000000	100	0	100	12896
fountain_high_3736	0.01414	0.012767	0.00000	0.000000	99	0	99	12767
fountain_high_3479	0.01414	0.012771	0.00000	0.000000	99	0	99	12771
fountain_high_4184	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_high_4181	0.01399	0.012640	0.00000	0.000000	98	0	98	12640
fountain_high_4139	0.01399	0.012648	0.00000	0.000000	98	0	98	12648
fountain_high_4079	0.01399	0.012641	0.00000	0.000000	98	0	98	12641
fountain_high_3864	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_high_3749	0.01399	0.012631	0.00000	0.000000	98	0	98	12631
fountain_high_3724	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_high_3601	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_high_3683	0.01385	0.012510	0.00000	0.000000	97	0	97	12510
fountain_high_3612	0.01385	0.012512	0.00000	0.000000	97	0	97	12512
fountain_high_3476	0.01385	0.012513	0.00000	0.000000	97	0	97	12513
fountain_high_3462	0.01385	0.012515	0.00000	0.000000	97	0	97	12515
fountain_high_4085	0.01371	0.012385	0.00000	0.000000	96	0	96	12385
fountain_high_3899	0.01371	0.012377	0.00000	0.000000	96	0	96	12377
fountain_high_3828	0.01371	0.012385	0.00000	0.000000	96	0	96	12385
fountain_high_3408	0.01371	0.012384	0.00000	0.000000	96	0	96	12384
fountain_high_3998	0.01357	0.012258	0.00000	0.000000	95	0	95	12258
fountain_high_3732	0.01357	0.012258	0.00000	0.000000	95	0	95	12258
fountain_high_3524	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
fountain_high_3405	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
fountain_high_4039	0.01342	0.012129	0.00000	0.000000	94	0	94	12129
fountain_high_4016	0.01342	0.012126	0.00000	0.000000	94	0	94	12126
fountain_high_3940	0.01342	0.012126	0.00000	0.000000	94	0	94	12126
