#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_max_3080	0.03213	0.029023	0.00000	0.000000	225	0	225	29023
fountain_max_3142	0.02913	0.026318	0.00000	0.000000	204	0	204	26318
fountain_max_3062	0.02870	0.025903	0.00000	0.000000	201	0	201	25903
fountain_max_3311	0.02542	0.022937	0.00000	0.000000	178	0	178	22937
fountain_max_3366	0.02499	0.022575	0.00000	0.000000	175	0	175	22575
fountain_max_3048	0.02485	0.022444	0.00000	0.000000	174	0	174	22444
fountain_max_2871	0.02328	0.021027	0.00000	0.000000	163	0	163	21027
fountain_max_2918	0.02199	0.019865	0.00000	0.000000	154	0	154	19865
fountain_max_2991	0.02156	0.019478	0.00000	0.000000	151	0	151	19478
fountain_max_3242	0.02128	0.019223	0.00000	0.000000	149	0	149	19223
fountain_max_3068	0.02128	0.019182	0.00000	0.000000	149	0	149	19182
fountain_max_3128	0.02085	0.018833	0.00000	0.000000	146	0	146	18833
fountain_max_2787	0.02085	0.018820	0.00000	0.000000	146	0	146	18820
fountain_max_2784	0.02071	0.018703	0.00000	0.000000	145	0	145	18703
fountain_max_2890	0.02028	0.018316	0.00000	0.000000	142	0	142	18316
fountain_max_2740	0.01999	0.018049	0.00000	0.000000	140	0	140	18049
fountain_max_3070	0.01985	0.017913	0.00000	0.000000	139	0	139	17913
fountain_max_3274	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
fountain_max_3053	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
fountain_max_3118	0.01814	0.016382	0.00000	0.000000	127	0	127	16382
fountain_max_2921	0.01814	0.016337	0.00000	0.000000	127	0	127	16337
fountain_max_3003	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
fountain_max_3279	0.01756	0.015861	0.00000	0.000000	123	0	123	15861
fountain_max_3030	0.01756	0.015865	0.00000	0.000000	123	0	123	15865
fountain_max_3393	0.01742	0.015737	0.00000	0.000000	122	0	122	15737
fountain_max_3043	0.01742	0.015735	0.00000	0.000000	122	0	122	15735
fountain_max_2897	0.01728	0.015612	0.00000	0.000000	121	0	121	15612
fountain_max_2704	0.01728	0.015612	0.00000	0.000000	121	0	121	15612
fountain_max_3323	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
fountain_max_3015	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
fountain_max_2803	0.01714	0.015477	0.00000	0.000000	120	0	120	15477
fountain_max_2829	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
fountain_max_3358	0.01685	0.015221	0.00000	0.000000	118	0	118	15221
fountain_max_2945	0.01685	0.015212	0.00000	0.000000	118	0	118	15212
fountain_max_3241	0.01671	0.015087	0.00000	0.000000	117	0	117	15087
fountain_max_3344	0.01656	0.014963	0.00000	0.000000	116	0	116	14963
fountain_max_3234	0.01656	0.014959	0.00000	0.000000	116	0	116	14959
fountain_max_2886	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
fountain_max_2848	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
fountain_max_2759	0.01642	0.014837	0.00000	0.000000	115	0	115	14837
fountain_max_3168	0.01628	0.014705	0.00000	0.000000	114	0	114	14705
