#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_medium_4406	0.02442	0.022061	0.00000	0.000000	171	0	171	22061
fountain_medium_4953	0.02013	0.018192	0.00000	0.000000	141	0	141	18192
fountain_medium_4799	0.02013	0.018186	0.00000	0.000000	141	0	141	18186
fountain_medium_4558	0.01971	0.017803	0.00000	0.000000	138	0	138	17803
fountain_medium_4280	0.01913	0.017284	0.00000	0.000000	134	0	134	17284
fountain_medium_5068	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
fountain_medium_5172	0.01828	0.016512	0.00000	0.000000	128	0	128	16512
fountain_medium_4421	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
fountain_medium_4550	0.01756	0.015864	0.00000	0.000000	123	0	123	15864
fountain_medium_4522	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
fountain_medium_4566	0.01742	0.015736	0.00000	0.000000	122	0	122	15736
fountain_medium_5054	0.01728	0.015604	0.00000	0.000000	121	0	121	15604
fountain_medium_4969	0.01714	0.015463	0.00000	0.000000	120	0	120	15463
fountain_medium_4727	0.01714	0.015477	0.00000	0.000000	120	0	120	15477
fountain_medium_4475	0.01714	0.015481	0.00000	0.000000	120	0	120	15481
fountain_medium_5205	0.01699	0.015350	0.00000	0.000000	119	0	119	15350
fountain_medium_4274	0.01699	0.015344	0.00000	0.000000	119	0	119	15344
fountain_medium_4432	0.01671	0.015079	0.00000	0.000000	117	0	117	15079
fountain_medium_4390	0.01656	0.014962	0.00000	0.000000	116	0	116	14962
fountain_medium_5177	0.01642	0.014834	0.00000	0.000000	115	0	115	14834
fountain_medium_4731	0.01642	0.014834	0.00000	0.000000	115	0	115	14834
fountain_medium_5383	0.01628	0.014702	0.00000	0.000000	114	0	114	14702
fountain_medium_4746	0.01628	0.014677	0.00000	0.000000	114	0	114	14677
fountain_medium_4372	0.01628	0.014696	0.00000	0.000000	114	0	114	14696
fountain_medium_4761	0.01599	0.014449	0.00000	0.000000	112	0	112	14449
fountain_medium_4307	0.01599	0.014450	0.00000	0.000000	112	0	112	14450
fountain_medium_5328	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
fountain_medium_5086	0.01585	0.014318	0.00000	0.000000	111	0	111	14318
fountain_medium_4902	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
fountain_medium_4650	0.01585	0.014320	0.00000	0.000000	111	0	111	14320
fountain_medium_4442	0.01571	0.014190	0.00000	0.000000	110	0	110	14190
fountain_medium_5395	0.01556	0.014070	0.00000	0.000000	109	0	109	14070
fountain_medium_5372	0.01556	0.014061	0.00000	0.000000	109	0	109	14061
fountain_medium_5141	0.01556	0.014054	0.00000	0.000000	109	0	109	14054
fountain_medium_4881	0.01556	0.014065	0.00000	0.000000	109	0	109	14065
fountain_medium_4547	0.01556	0.014060	0.00000	0.000000	109	0	109	14060
fountain_medium_4508	0.01556	0.014054	0.00000	0.000000	109	0	109	14054
fountain_medium_4485	0.01556	0.014061	0.00000	0.000000	109	0	109	14061
fountain_medium_4417	0.01542	0.013905	0.00000	0.000000	108	0	108	13905
fountain_medium_5323	0.01528	0.013792	0.00000	0.000000	107	0	107	13792
fountain_medium_4998	0.01528	0.013803	0.00000	0.000000	107	0	107	13803
fountain_medium_4995	0.01514	0.013674	0.00000	0.000000	106	0	106	13674
fountain_medium_4874	0.01514	0.013671	0.00000	0.000000	106	0	106	13671
fountain_medium_4587	0.01514	0.013674	0.00000	0.000000	106	0	106	13674
fountain_medium_4653	0.01499	0.013540	0.00000	0.000000	105	0	105	13540
fountain_medium_4662	0.01485	0.013419	0.00000	0.000000	104	0	104	13419
fountain_medium_4278	0.01485	0.013420	0.00000	0.000000	104	0	104	13420
fountain_medium_5362	0.01471	0.013286	0.00000	0.000000	103	0	103	13286
fountain_medium_5334	0.01471	0.013280	0.00000	0.000000	103	0	103	13280
fountain_medium_4997	0.01471	0.013283	0.00000	0.000000	103	0	103	13283
fountain_medium_4766	0.01471	0.013285	0.00000	0.000000	103	0	103	13285
fountain_medium_4439	0.01471	0.013287	0.00000	0.000000	103	0	103	13287
fountain_medium_5346	0.01457	0.013153	0.00000	0.000000	102	0	102	13153
fountain_medium_5327	0.01457	0.013159	0.00000	0.000000	102	0	102	13159
fountain_medium_5298	0.01457	0.013152	0.00000	0.000000	102	0	102	13152
fountain_medium_4924	0.01457	0.013159	0.00000	0.000000	102	0	102	13159
fountain_medium_4830	0.01457	0.013149	0.00000	0.000000	102	0	102	13149
fountain_medium_4656	0.01457	0.013158	0.00000	0.000000	102	0	102	13158
fountain_medium_4456	0.01457	0.013161	0.00000	0.000000	102	0	102	13161
fountain_medium_5360	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
fountain_medium_5217	0.01442	0.013028	0.00000	0.000000	101	0	101	13028
fountain_medium_5191	0.01442	0.013031	0.00000	0.000000	101	0	101	13031
fountain_medium_4762	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
fountain_medium_4655	0.01442	0.013022	0.00000	0.000000	101	0	101	13022
fountain_medium_4553	0.01442	0.013014	0.00000	0.000000	101	0	101	13014
fountain_medium_4503	0.01442	0.013027	0.00000	0.000000	101	0	101	13027
fountain_medium_4470	0.01442	0.013026	0.00000	0.000000	101	0	101	13026
fountain_medium_5390	0.01428	0.012890	0.00000	0.000000	100	0	100	12890
fountain_medium_5105	0.01428	0.012889	0.00000	0.000000	100	0	100	12889
fountain_medium_5099	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
fountain_medium_4935	0.01428	0.012881	0.00000	0.000000	100	0	100	12881
fountain_medium_4909	0.01428	0.012901	0.00000	0.000000	100	0	100	12901
fountain_medium_4883	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
fountain_medium_4819	0.01428	0.012901	0.00000	0.000000	100	0	100	12901
fountain_medium_4769	0.01428	0.012894	0.00000	0.000000	100	0	100	12894
fountain_medium_4507	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
fountain_medium_5378	0.01414	0.012772	0.00000	0.000000	99	0	99	12772
fountain_medium_5326	0.01414	0.012770	0.00000	0.000000	99	0	99	12770
fountain_medium_5149	0.01414	0.012762	0.00000	0.000000	99	0	99	12762
fountain_medium_4936	0.01414	0.012771	0.00000	0.000000	99	0	99	12771
fountain_medium_4382	0.01414	0.012769	0.00000	0.000000	99	0	99	12769
fountain_medium_5391	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_medium_5319	0.01399	0.012643	0.00000	0.000000	98	0	98	12643
fountain_medium_5170	0.01399	0.012636	0.00000	0.000000	98	0	98	12636
fountain_medium_5082	0.01399	0.012640	0.00000	0.000000	98	0	98	12640
fountain_medium_4355	0.01399	0.012642	0.00000	0.000000	98	0	98	12642
fountain_medium_5049	0.01385	0.012511	0.00000	0.000000	97	0	97	12511
fountain_medium_5322	0.01371	0.012383	0.00000	0.000000	96	0	96	12383
fountain_medium_5291	0.01371	0.012372	0.00000	0.000000	96	0	96	12372
fountain_medium_5132	0.01371	0.012380	0.00000	0.000000	96	0	96	12380
fountain_medium_4576	0.01371	0.012386	0.00000	0.000000	96	0	96	12386
fountain_medium_4323	0.01371	0.012383	0.00000	0.000000	96	0	96	12383
fountain_medium_5364	0.01357	0.012251	0.00000	0.000000	95	0	95	12251
fountain_medium_5080	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
fountain_medium_4954	0.01357	0.012256	0.00000	0.000000	95	0	95	12256
fountain_medium_4573	0.01357	0.012257	0.00000	0.000000	95	0	95	12257
fountain_medium_5340	0.01342	0.012126	0.00000	0.000000	94	0	94	12126
fountain_medium_4851	0.01342	0.012121	0.00000	0.000000	94	0	94	12121
fountain_medium_4835	0.01342	0.012124	0.00000	0.000000	94	0	94	12124
fountain_medium_4511	0.01342	0.012127	0.00000	0.000000	94	0	94	12127
fountain_medium_5300	0.01328	0.011973	0.00000	0.000000	93	0	93	11973
fountain_medium_5178	0.01328	0.011996	0.00000	0.000000	93	0	93	11996
fountain_medium_5154	0.01328	0.011999	0.00000	0.000000	93	0	93	11999
fountain_medium_4907	0.01328	0.011997	0.00000	0.000000	93	0	93	11997
fountain_medium_4644	0.01328	0.011982	0.00000	0.000000	93	0	93	11982
fountain_medium_4626	0.01328	0.011998	0.00000	0.000000	93	0	93	11998
fountain_medium_4594	0.01328	0.011986	0.00000	0.000000	93	0	93	11986
