#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
goldman_10060	0.02056	0.018578	0.00000	0.000000	144	0	144	18578
goldman_10000	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
goldman_10068	0.01885	0.017028	0.00000	0.000000	132	0	132	17028
goldman_9716	0.01814	0.016377	0.00000	0.000000	127	0	127	16377
goldman_9983	0.01756	0.015845	0.00000	0.000000	123	0	123	15845
goldman_9960	0.01714	0.015477	0.00000	0.000000	120	0	120	15477
goldman_9587	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
goldman_9863	0.01685	0.015217	0.00000	0.000000	118	0	118	15217
goldman_9915	0.01671	0.015094	0.00000	0.000000	117	0	117	15094
goldman_9593	0.01642	0.014833	0.00000	0.000000	115	0	115	14833
goldman_9568	0.01599	0.014444	0.00000	0.000000	112	0	112	14444
goldman_9923	0.01585	0.014318	0.00000	0.000000	111	0	111	14318
goldman_9878	0.01571	0.014188	0.00000	0.000000	110	0	110	14188
goldman_9978	0.01556	0.014063	0.00000	0.000000	109	0	109	14063
goldman_9845	0.01542	0.013935	0.00000	0.000000	108	0	108	13935
goldman_9786	0.01542	0.013929	0.00000	0.000000	108	0	108	13929
goldman_9894	0.01528	0.013802	0.00000	0.000000	107	0	107	13802
goldman_9907	0.01514	0.013673	0.00000	0.000000	106	0	106	13673
goldman_10074	0.01514	0.013676	0.00000	0.000000	106	0	106	13676
goldman_9762	0.01499	0.013527	0.00000	0.000000	105	0	105	13527
goldman_9594	0.01471	0.013288	0.00000	0.000000	103	0	103	13288
goldman_9944	0.01457	0.013160	0.00000	0.000000	102	0	102	13160
goldman_9908	0.01457	0.013139	0.00000	0.000000	102	0	102	13139
goldman_9995	0.01428	0.012902	0.00000	0.000000	100	0	100	12902
goldman_9720	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
goldman_9881	0.01414	0.012755	0.00000	0.000000	99	0	99	12755
goldman_9943	0.01399	0.012641	0.00000	0.000000	98	0	98	12641
goldman_9892	0.01385	0.012513	0.00000	0.000000	97	0	97	12513
goldman_9704	0.01385	0.012513	0.00000	0.000000	97	0	97	12513
goldman_10102	0.01385	0.012513	0.00000	0.000000	97	0	97	12513
goldman_10071	0.01385	0.012512	0.00000	0.000000	97	0	97	12512
goldman_9902	0.01371	0.012381	0.00000	0.000000	96	0	96	12381
goldman_9963	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
goldman_10104	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
goldman_10090	0.01357	0.012256	0.00000	0.000000	95	0	95	12256
goldman_10015	0.01357	0.012256	0.00000	0.000000	95	0	95	12256
goldman_9916	0.01342	0.012106	0.00000	0.000000	94	0	94	12106
goldman_9936	0.01328	0.011977	0.00000	0.000000	93	0	93	11977
goldman_10127	0.01328	0.011998	0.00000	0.000000	93	0	93	11998
goldman_10009	0.01328	0.011997	0.00000	0.000000	93	0	93	11997
goldman_9942	0.01314	0.011868	0.00000	0.000000	92	0	92	11868
goldman_9917	0.01314	0.011866	0.00000	0.000000	92	0	92	11866
goldman_9994	0.01299	0.011739	0.00000	0.000000	91	0	91	11739
goldman_9980	0.01299	0.011741	0.00000	0.000000	91	0	91	11741
goldman_9867	0.01299	0.011740	0.00000	0.000000	91	0	91	11740
goldman_9951	0.01271	0.011482	0.00000	0.000000	89	0	89	11482
goldman_9890	0.01271	0.011482	0.00000	0.000000	89	0	89	11482
goldman_9702	0.01271	0.011480	0.00000	0.000000	89	0	89	11480
goldman_9903	0.01257	0.011353	0.00000	0.000000	88	0	88	11353
goldman_9635	0.01257	0.011352	0.00000	0.000000	88	0	88	11352
goldman_10026	0.01257	0.011346	0.00000	0.000000	88	0	88	11346
goldman_9959	0.01242	0.011222	0.00000	0.000000	87	0	87	11222
goldman_9927	0.01242	0.011225	0.00000	0.000000	87	0	87	11225
goldman_9615	0.01242	0.011224	0.00000	0.000000	87	0	87	11224
goldman_9561	0.01242	0.011222	0.00000	0.000000	87	0	87	11222
goldman_9751	0.01228	0.011093	0.00000	0.000000	86	0	86	11093
goldman_9711	0.01228	0.011093	0.00000	0.000000	86	0	86	11093
goldman_9666	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
goldman_9619	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
goldman_9879	0.01214	0.010965	0.00000	0.000000	85	0	85	10965
goldman_9821	0.01214	0.010951	0.00000	0.000000	85	0	85	10951
goldman_9777	0.01214	0.010935	0.00000	0.000000	85	0	85	10935
goldman_9571	0.01214	0.010958	0.00000	0.000000	85	0	85	10958
goldman_10097	0.01214	0.010952	0.00000	0.000000	85	0	85	10952
goldman_10057	0.01214	0.010963	0.00000	0.000000	85	0	85	10963
goldman_10046	0.01214	0.010965	0.00000	0.000000	85	0	85	10965
goldman_9972	0.01200	0.010836	0.00000	0.000000	84	0	84	10836
goldman_9734	0.01200	0.010837	0.00000	0.000000	84	0	84	10837
goldman_9674	0.01200	0.010813	0.00000	0.000000	84	0	84	10813
goldman_10122	0.01200	0.010836	0.00000	0.000000	84	0	84	10836
goldman_9990	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
goldman_9778	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
goldman_9773	0.01185	0.010708	0.00000	0.000000	83	0	83	10708
goldman_9968	0.01171	0.010579	0.00000	0.000000	82	0	82	10579
goldman_9952	0.01171	0.010578	0.00000	0.000000	82	0	82	10578
goldman_9578	0.01171	0.010576	0.00000	0.000000	82	0	82	10576
goldman_10081	0.01171	0.010577	0.00000	0.000000	82	0	82	10577
goldman_9981	0.01157	0.010445	0.00000	0.000000	81	0	81	10445
goldman_9856	0.01157	0.010446	0.00000	0.000000	81	0	81	10446
goldman_9833	0.01157	0.010449	0.00000	0.000000	81	0	81	10449
