#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
hedges_8775	0.02770	0.025026	0.00000	0.000000	194	0	194	25026
hedges_9026	0.02742	0.024770	0.00000	0.000000	192	0	192	24770
hedges_8886	0.02656	0.023996	0.00000	0.000000	186	0	186	23996
hedges_9154	0.02356	0.021288	0.00000	0.000000	165	0	165	21288
hedges_8707	0.02299	0.020761	0.00000	0.000000	161	0	161	20761
hedges_9306	0.02270	0.020508	0.00000	0.000000	159	0	159	20508
hedges_9057	0.02270	0.020511	0.00000	0.000000	159	0	159	20511
hedges_8692	0.02270	0.020511	0.00000	0.000000	159	0	159	20511
hedges_9371	0.02242	0.020251	0.00000	0.000000	157	0	157	20251
hedges_9230	0.02199	0.019864	0.00000	0.000000	154	0	154	19864
hedges_8836	0.02199	0.019866	0.00000	0.000000	154	0	154	19866
hedges_8819	0.02185	0.019712	0.00000	0.000000	153	0	153	19712
hedges_8475	0.02156	0.019472	0.00000	0.000000	151	0	151	19472
hedges_9193	0.02128	0.019223	0.00000	0.000000	149	0	149	19223
hedges_8759	0.02128	0.019217	0.00000	0.000000	149	0	149	19217
hedges_8853	0.02113	0.019090	0.00000	0.000000	148	0	148	19090
hedges_9366	0.02099	0.018963	0.00000	0.000000	147	0	147	18963
hedges_8561	0.02099	0.018964	0.00000	0.000000	147	0	147	18964
hedges_9000	0.02085	0.018834	0.00000	0.000000	146	0	146	18834
hedges_8856	0.02085	0.018832	0.00000	0.000000	146	0	146	18832
hedges_8680	0.02085	0.018835	0.00000	0.000000	146	0	146	18835
hedges_8698	0.02071	0.018707	0.00000	0.000000	145	0	145	18707
hedges_8550	0.02071	0.018706	0.00000	0.000000	145	0	145	18706
hedges_8410	0.02071	0.018706	0.00000	0.000000	145	0	145	18706
hedges_9077	0.02056	0.018575	0.00000	0.000000	144	0	144	18575
hedges_9002	0.02056	0.018581	0.00000	0.000000	144	0	144	18581
hedges_8950	0.02056	0.018576	0.00000	0.000000	144	0	144	18576
hedges_8956	0.02042	0.018434	0.00000	0.000000	143	0	143	18434
hedges_8815	0.02028	0.018275	0.00000	0.000000	142	0	142	18275
hedges_8769	0.02028	0.018310	0.00000	0.000000	142	0	142	18310
hedges_8466	0.02028	0.018305	0.00000	0.000000	142	0	142	18305
hedges_9250	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
hedges_8778	0.02013	0.018190	0.00000	0.000000	141	0	141	18190
hedges_8647	0.02013	0.018193	0.00000	0.000000	141	0	141	18193
hedges_9048	0.01999	0.018059	0.00000	0.000000	140	0	140	18059
hedges_9013	0.01999	0.018060	0.00000	0.000000	140	0	140	18060
hedges_8790	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8687	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8642	0.01999	0.018061	0.00000	0.000000	140	0	140	18061
hedges_8506	0.01999	0.017996	0.00000	0.000000	140	0	140	17996
hedges_8795	0.01985	0.017933	0.00000	0.000000	139	0	139	17933
hedges_8792	0.01985	0.017924	0.00000	0.000000	139	0	139	17924
hedges_8435	0.01985	0.017900	0.00000	0.000000	139	0	139	17900
hedges_9347	0.01971	0.017804	0.00000	0.000000	138	0	138	17804
hedges_9157	0.01956	0.017671	0.00000	0.000000	137	0	137	17671
hedges_9067	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
hedges_8981	0.01956	0.017644	0.00000	0.000000	137	0	137	17644
hedges_8473	0.01956	0.017673	0.00000	0.000000	137	0	137	17673
hedges_8456	0.01956	0.017670	0.00000	0.000000	137	0	137	17670
hedges_8619	0.01942	0.017472	0.00000	0.000000	136	0	136	17472
hedges_9144	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
hedges_8959	0.01928	0.017414	0.00000	0.000000	135	0	135	17414
hedges_8625	0.01928	0.017407	0.00000	0.000000	135	0	135	17407
hedges_8516	0.01928	0.017417	0.00000	0.000000	135	0	135	17417
hedges_9344	0.01913	0.017283	0.00000	0.000000	134	0	134	17283
hedges_9140	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
hedges_8848	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
hedges_8455	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
hedges_8355	0.01913	0.017288	0.00000	0.000000	134	0	134	17288
hedges_9003	0.01899	0.017151	0.00000	0.000000	133	0	133	17151
hedges_8876	0.01899	0.017155	0.00000	0.000000	133	0	133	17155
hedges_8552	0.01885	0.017025	0.00000	0.000000	132	0	132	17025
hedges_9454	0.01871	0.016899	0.00000	0.000000	131	0	131	16899
hedges_9354	0.01871	0.016905	0.00000	0.000000	131	0	131	16905
hedges_9108	0.01871	0.016889	0.00000	0.000000	131	0	131	16889
hedges_8983	0.01871	0.016874	0.00000	0.000000	131	0	131	16874
hedges_8830	0.01871	0.016894	0.00000	0.000000	131	0	131	16894
hedges_8529	0.01871	0.016899	0.00000	0.000000	131	0	131	16899
hedges_9292	0.01856	0.016754	0.00000	0.000000	130	0	130	16754
hedges_9028	0.01856	0.016762	0.00000	0.000000	130	0	130	16762
hedges_8893	0.01856	0.016752	0.00000	0.000000	130	0	130	16752
hedges_8409	0.01856	0.016771	0.00000	0.000000	130	0	130	16771
hedges_8913	0.01842	0.016642	0.00000	0.000000	129	0	129	16642
hedges_8522	0.01842	0.016629	0.00000	0.000000	129	0	129	16629
hedges_8388	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
hedges_9549	0.01828	0.016492	0.00000	0.000000	128	0	128	16492
hedges_9266	0.01828	0.016492	0.00000	0.000000	128	0	128	16492
hedges_9182	0.01828	0.016506	0.00000	0.000000	128	0	128	16506
hedges_8780	0.01828	0.016502	0.00000	0.000000	128	0	128	16502
hedges_9389	0.01814	0.016384	0.00000	0.000000	127	0	127	16384
hedges_9238	0.01814	0.016383	0.00000	0.000000	127	0	127	16383
hedges_9351	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
hedges_9293	0.01799	0.016255	0.00000	0.000000	126	0	126	16255
hedges_9194	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
hedges_8328	0.01799	0.016255	0.00000	0.000000	126	0	126	16255
hedges_8309	0.01799	0.016247	0.00000	0.000000	126	0	126	16247
hedges_9309	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
hedges_8531	0.01785	0.016127	0.00000	0.000000	125	0	125	16127
hedges_9416	0.01771	0.015997	0.00057	0.000516	124	4	124	15997
hedges_9284	0.01771	0.015993	0.00000	0.000000	124	0	124	15993
hedges_9053	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
hedges_8783	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
hedges_8756	0.01771	0.015998	0.00000	0.000000	124	0	124	15998
hedges_9435	0.01756	0.015869	0.00000	0.000000	123	0	123	15869
hedges_8814	0.01756	0.015865	0.00000	0.000000	123	0	123	15865
hedges_8663	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
hedges_8399	0.01756	0.015868	0.00000	0.000000	123	0	123	15868
hedges_8377	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
hedges_9413	0.01742	0.015749	0.00014	0.000129	122	1	123	15878
hedges_9493	0.01742	0.015738	0.00000	0.000000	122	0	122	15738
hedges_8985	0.01742	0.015731	0.00000	0.000000	122	0	122	15731
hedges_8922	0.01742	0.015739	0.00000	0.000000	122	0	122	15739
hedges_8837	0.01742	0.015737	0.00000	0.000000	122	0	122	15737
hedges_8806	0.01742	0.015731	0.00000	0.000000	122	0	122	15731
hedges_8771	0.01742	0.015732	0.00000	0.000000	122	0	122	15732
hedges_8719	0.01742	0.015738	0.00000	0.000000	122	0	122	15738
hedges_8715	0.01742	0.015725	0.00000	0.000000	122	0	122	15725
hedges_8340	0.01742	0.015739	0.00000	0.000000	122	0	122	15739
hedges_8301	0.01742	0.015723	0.00000	0.000000	122	0	122	15723
hedges_9204	0.01728	0.015608	0.00000	0.000000	121	0	121	15608
hedges_9044	0.01728	0.015613	0.00000	0.000000	121	0	121	15613
hedges_8969	0.01728	0.015608	0.00000	0.000000	121	0	121	15608
hedges_8955	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
hedges_8947	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
hedges_8945	0.01728	0.015609	0.00000	0.000000	121	0	121	15609
hedges_8722	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
hedges_8401	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
hedges_8375	0.01728	0.015600	0.00000	0.000000	121	0	121	15600
hedges_8353	0.01728	0.015612	0.00000	0.000000	121	0	121	15612
hedges_8331	0.01728	0.015594	0.00000	0.000000	121	0	121	15594
hedges_9525	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
hedges_9521	0.01714	0.015481	0.00000	0.000000	120	0	120	15481
hedges_9142	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
hedges_9023	0.01714	0.015418	0.00000	0.000000	120	0	120	15418
hedges_8863	0.01714	0.015476	0.00000	0.000000	120	0	120	15476
hedges_8835	0.01714	0.015470	0.00000	0.000000	120	0	120	15470
hedges_8700	0.01714	0.015475	0.00000	0.000000	120	0	120	15475
hedges_8691	0.01714	0.015479	0.00000	0.000000	120	0	120	15479
hedges_8597	0.01714	0.015481	0.00000	0.000000	120	0	120	15481
hedges_8545	0.01714	0.015481	0.00000	0.000000	120	0	120	15481
hedges_8413	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
hedges_9487	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
hedges_9259	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
hedges_9201	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
hedges_9078	0.01699	0.015352	0.00000	0.000000	119	0	119	15352
hedges_8990	0.01699	0.015342	0.00000	0.000000	119	0	119	15342
hedges_8867	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
hedges_8612	0.01699	0.015351	0.00000	0.000000	119	0	119	15351
hedges_8448	0.01699	0.015353	0.00000	0.000000	119	0	119	15353
hedges_9313	0.01685	0.015222	0.00000	0.000000	118	0	118	15222
hedges_8972	0.01685	0.015222	0.00000	0.000000	118	0	118	15222
hedges_8525	0.01685	0.015218	0.00000	0.000000	118	0	118	15218
hedges_9548	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
hedges_9530	0.01671	0.015089	0.00000	0.000000	117	0	117	15089
hedges_9222	0.01671	0.015095	0.00000	0.000000	117	0	117	15095
hedges_9156	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
hedges_8941	0.01671	0.015095	0.00000	0.000000	117	0	117	15095
hedges_8917	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
hedges_8882	0.01671	0.015075	0.00000	0.000000	117	0	117	15075
hedges_8617	0.01671	0.015086	0.00000	0.000000	117	0	117	15086
hedges_8605	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
hedges_8562	0.01671	0.015094	0.00000	0.000000	117	0	117	15094
hedges_8453	0.01671	0.015072	0.00000	0.000000	117	0	117	15072
hedges_8423	0.01671	0.015094	0.00000	0.000000	117	0	117	15094
hedges_9504	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_9478	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
hedges_9096	0.01656	0.014967	0.00000	0.000000	116	0	116	14967
hedges_8970	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8951	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8865	0.01656	0.014967	0.00000	0.000000	116	0	116	14967
hedges_8708	0.01656	0.014963	0.00000	0.000000	116	0	116	14963
hedges_8686	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8638	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8559	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8454	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
hedges_8324	0.01656	0.014938	0.00000	0.000000	116	0	116	14938
hedges_9540	0.01642	0.014836	0.00000	0.000000	115	0	115	14836
hedges_9363	0.01642	0.014835	0.00000	0.000000	115	0	115	14835
hedges_9068	0.01642	0.014827	0.00000	0.000000	115	0	115	14827
hedges_9042	0.01642	0.014778	0.00000	0.000000	115	0	115	14778
hedges_9007	0.01642	0.014836	0.00000	0.000000	115	0	115	14836
hedges_8901	0.01642	0.014834	0.00000	0.000000	115	0	115	14834
hedges_8891	0.01642	0.014835	0.00000	0.000000	115	0	115	14835
hedges_8777	0.01642	0.014838	0.00000	0.000000	115	0	115	14838
hedges_8335	0.01642	0.014824	0.00000	0.000000	115	0	115	14824
hedges_8280	0.01642	0.014836	0.00000	0.000000	115	0	115	14836
hedges_9239	0.01628	0.014691	0.00000	0.000000	114	0	114	14691
hedges_9076	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
hedges_8952	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
hedges_8826	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
hedges_9409	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
hedges_9197	0.01614	0.014570	0.00000	0.000000	113	0	113	14570
hedges_9137	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
hedges_8761	0.01614	0.014558	0.00000	0.000000	113	0	113	14558
hedges_8711	0.01614	0.014571	0.00000	0.000000	113	0	113	14571
hedges_8444	0.01614	0.014575	0.00000	0.000000	113	0	113	14575
hedges_8395	0.01614	0.014576	0.00000	0.000000	113	0	113	14576
hedges_8333	0.01614	0.014575	0.00000	0.000000	113	0	113	14575
hedges_8327	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
