#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_high_6907	0.02342	0.021146	0.00000	0.000000	164	0	164	21146
rs_high_6444	0.02270	0.020490	0.00000	0.000000	159	0	159	20490
rs_high_6865	0.02213	0.019994	0.00000	0.000000	155	0	155	19994
rs_high_6856	0.02199	0.019841	0.00000	0.000000	154	0	154	19841
rs_high_6944	0.02185	0.019726	0.00000	0.000000	153	0	153	19726
rs_high_6350	0.02156	0.019478	0.00000	0.000000	151	0	151	19478
rs_high_6946	0.02142	0.019350	0.00000	0.000000	150	0	150	19350
rs_high_7160	0.02071	0.018700	0.00000	0.000000	145	0	145	18700
rs_high_6840	0.02056	0.018550	0.00000	0.000000	144	0	144	18550
rs_high_6388	0.02056	0.018582	0.00000	0.000000	144	0	144	18582
rs_high_6413	0.02028	0.018318	0.00000	0.000000	142	0	142	18318
rs_high_6916	0.02013	0.018187	0.00000	0.000000	141	0	141	18187
rs_high_6872	0.01999	0.018058	0.00000	0.000000	140	0	140	18058
rs_high_7104	0.01985	0.017931	0.00000	0.000000	139	0	139	17931
rs_high_7066	0.01971	0.017801	0.00000	0.000000	138	0	138	17801
rs_high_6964	0.01942	0.017525	0.00000	0.000000	136	0	136	17525
rs_high_6448	0.01928	0.017419	0.00000	0.000000	135	0	135	17419
rs_high_6751	0.01913	0.017285	0.00000	0.000000	134	0	134	17285
rs_high_6740	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_high_7061	0.01899	0.017153	0.00000	0.000000	133	0	133	17153
rs_high_6449	0.01871	0.016885	0.00000	0.000000	131	0	131	16885
rs_high_6359	0.01871	0.016937	0.00000	0.000000	131	0	131	16937
rs_high_6353	0.01871	0.016883	0.00000	0.000000	131	0	131	16883
rs_high_7102	0.01856	0.016770	0.00000	0.000000	130	0	130	16770
rs_high_7100	0.01856	0.016771	0.00000	0.000000	130	0	130	16771
rs_high_7024	0.01856	0.016768	0.00000	0.000000	130	0	130	16768
rs_high_6580	0.01856	0.016769	0.00000	0.000000	130	0	130	16769
rs_high_6408	0.01856	0.016769	0.00000	0.000000	130	0	130	16769
rs_high_6957	0.01842	0.016640	0.00000	0.000000	129	0	129	16640
rs_high_6769	0.01842	0.016620	0.00000	0.000000	129	0	129	16620
rs_high_6738	0.01842	0.016643	0.00000	0.000000	129	0	129	16643
rs_high_6560	0.01828	0.016512	0.00000	0.000000	128	0	128	16512
rs_high_6460	0.01814	0.016384	0.00000	0.000000	127	0	127	16384
rs_high_6862	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
rs_high_6799	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
rs_high_6765	0.01799	0.016255	0.00000	0.000000	126	0	126	16255
rs_high_6394	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
rs_high_7070	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
rs_high_7053	0.01785	0.016122	0.00000	0.000000	125	0	125	16122
rs_high_6966	0.01785	0.016123	0.00000	0.000000	125	0	125	16123
rs_high_6577	0.01771	0.015995	0.00000	0.000000	124	0	124	15995
rs_high_6475	0.01771	0.015998	0.00000	0.000000	124	0	124	15998
rs_high_6674	0.01756	0.015869	0.00000	0.000000	123	0	123	15869
rs_high_6672	0.01756	0.015868	0.00000	0.000000	123	0	123	15868
rs_high_6629	0.01756	0.015864	0.00000	0.000000	123	0	123	15864
rs_high_6550	0.01742	0.015710	0.00000	0.000000	122	0	122	15710
rs_high_6511	0.01742	0.015737	0.00000	0.000000	122	0	122	15737
rs_high_6471	0.01742	0.015740	0.00000	0.000000	122	0	122	15740
rs_high_6414	0.01742	0.015738	0.00000	0.000000	122	0	122	15738
rs_high_6415	0.01728	0.015564	0.00000	0.000000	121	0	121	15564
rs_high_7018	0.01714	0.015480	0.00000	0.000000	120	0	120	15480
rs_high_6438	0.01714	0.015475	0.00000	0.000000	120	0	120	15475
