#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_max_5715	0.02456	0.022185	0.00000	0.000000	172	0	172	22185
rs_max_5869	0.02328	0.021021	0.00000	0.000000	163	0	163	21021
rs_max_5443	0.02213	0.019998	0.00000	0.000000	155	0	155	19998
rs_max_6310	0.02185	0.019738	0.00000	0.000000	153	0	153	19738
rs_max_5963	0.02142	0.019349	0.00000	0.000000	150	0	150	19349
rs_max_5671	0.02113	0.019091	0.00000	0.000000	148	0	148	19091
rs_max_5481	0.02056	0.018581	0.00000	0.000000	144	0	144	18581
rs_max_5872	0.01999	0.018060	0.00000	0.000000	140	0	140	18060
rs_max_5685	0.01999	0.018059	0.00000	0.000000	140	0	140	18059
rs_max_5989	0.01971	0.017777	0.00000	0.000000	138	0	138	17777
rs_max_6201	0.01928	0.017409	0.00000	0.000000	135	0	135	17409
rs_max_5956	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
rs_max_5467	0.01928	0.017416	0.00000	0.000000	135	0	135	17416
rs_max_5965	0.01913	0.017269	0.00000	0.000000	134	0	134	17269
rs_max_5900	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_max_5795	0.01913	0.017282	0.00000	0.000000	134	0	134	17282
rs_max_5663	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_max_5563	0.01913	0.017286	0.00000	0.000000	134	0	134	17286
rs_max_6309	0.01899	0.017137	0.00000	0.000000	133	0	133	17137
rs_max_6103	0.01871	0.016900	0.00000	0.000000	131	0	131	16900
rs_max_5659	0.01871	0.016899	0.00000	0.000000	131	0	131	16899
rs_max_6260	0.01856	0.016771	0.00000	0.000000	130	0	130	16771
rs_max_6093	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
rs_max_5788	0.01842	0.016644	0.00000	0.000000	129	0	129	16644
rs_max_5640	0.01842	0.016642	0.00000	0.000000	129	0	129	16642
rs_max_6231	0.01828	0.016509	0.00000	0.000000	128	0	128	16509
rs_max_6125	0.01828	0.016508	0.00000	0.000000	128	0	128	16508
rs_max_5933	0.01828	0.016513	0.00000	0.000000	128	0	128	16513
rs_max_5877	0.01814	0.016382	0.00000	0.000000	127	0	127	16382
rs_max_5468	0.01814	0.016381	0.00000	0.000000	127	0	127	16381
rs_max_5594	0.01799	0.016259	0.00000	0.000000	126	0	126	16259
rs_max_6272	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
rs_max_6143	0.01785	0.016125	0.00000	0.000000	125	0	125	16125
rs_max_6098	0.01785	0.016115	0.00000	0.000000	125	0	125	16115
rs_max_5543	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
rs_max_5505	0.01771	0.015996	0.00000	0.000000	124	0	124	15996
rs_max_5478	0.01771	0.015987	0.00000	0.000000	124	0	124	15987
rs_max_5935	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
rs_max_5779	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
rs_max_6005	0.01742	0.015735	0.00000	0.000000	122	0	122	15735
rs_max_5946	0.01742	0.015736	0.00000	0.000000	122	0	122	15736
rs_max_5752	0.01742	0.015736	0.00000	0.000000	122	0	122	15736
rs_max_5588	0.01742	0.015736	0.00000	0.000000	122	0	122	15736
rs_max_5968	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
rs_max_5576	0.01728	0.015607	0.00000	0.000000	121	0	121	15607
rs_max_5504	0.01728	0.015609	0.00000	0.000000	121	0	121	15609
rs_max_5974	0.01714	0.015520	0.00000	0.000000	120	0	120	15520
rs_max_5430	0.01714	0.015465	0.00000	0.000000	120	0	120	15465
rs_max_6045	0.01699	0.015323	0.00000	0.000000	119	0	119	15323
rs_max_5916	0.01699	0.015353	0.00000	0.000000	119	0	119	15353
rs_max_5757	0.01699	0.015352	0.00000	0.000000	119	0	119	15352
rs_max_5436	0.01685	0.015204	0.00000	0.000000	118	0	118	15204
rs_max_6228	0.01671	0.015094	0.00000	0.000000	117	0	117	15094
rs_max_6175	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
rs_max_5902	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
rs_max_5892	0.01671	0.015096	0.00000	0.000000	117	0	117	15096
rs_max_5874	0.01671	0.015092	0.00000	0.000000	117	0	117	15092
rs_max_5864	0.01671	0.015087	0.00000	0.000000	117	0	117	15087
rs_max_6247	0.01656	0.014963	0.00000	0.000000	116	0	116	14963
rs_max_6198	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
rs_max_6146	0.01656	0.014968	0.00000	0.000000	116	0	116	14968
rs_max_6031	0.01656	0.014963	0.00000	0.000000	116	0	116	14963
rs_max_5884	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
rs_max_5792	0.01656	0.014965	0.00000	0.000000	116	0	116	14965
rs_max_5532	0.01656	0.014964	0.00000	0.000000	116	0	116	14964
rs_max_6188	0.01642	0.014825	0.00000	0.000000	115	0	115	14825
rs_max_6011	0.01642	0.014831	0.00000	0.000000	115	0	115	14831
rs_max_6001	0.01642	0.014835	0.00000	0.000000	115	0	115	14835
rs_max_5816	0.01642	0.014786	0.00000	0.000000	115	0	115	14786
rs_max_5704	0.01642	0.014830	0.00000	0.000000	115	0	115	14830
rs_max_6293	0.01628	0.014693	0.00000	0.000000	114	0	114	14693
rs_max_6183	0.01628	0.014689	0.00000	0.000000	114	0	114	14689
rs_max_5492	0.01628	0.014706	0.00000	0.000000	114	0	114	14706
rs_max_6314	0.01614	0.014544	0.00000	0.000000	113	0	113	14544
rs_max_5961	0.01614	0.014576	0.00000	0.000000	113	0	113	14576
rs_max_5444	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
rs_max_6167	0.01599	0.014447	0.00000	0.000000	112	0	112	14447
rs_max_5439	0.01599	0.014448	0.00000	0.000000	112	0	112	14448
rs_max_6266	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
rs_max_6033	0.01585	0.014316	0.00000	0.000000	111	0	111	14316
rs_max_5732	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
rs_max_5680	0.01585	0.014320	0.00000	0.000000	111	0	111	14320
rs_max_5623	0.01585	0.014319	0.00000	0.000000	111	0	111	14319
rs_max_6034	0.01571	0.014185	0.00000	0.000000	110	0	110	14185
rs_max_5997	0.01571	0.014181	0.00000	0.000000	110	0	110	14181
rs_max_5668	0.01571	0.014173	0.00000	0.000000	110	0	110	14173
