#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_medium_8237	0.02570	0.023221	0.00000	0.000000	180	0	180	23221
rs_medium_7527	0.02442	0.022049	0.00000	0.000000	171	0	171	22049
rs_medium_7875	0.02299	0.020765	0.00000	0.000000	161	0	161	20765
rs_medium_7924	0.02228	0.020125	0.00000	0.000000	156	0	156	20125
rs_medium_7883	0.02228	0.020099	0.00000	0.000000	156	0	156	20099
rs_medium_8241	0.02185	0.019736	0.00000	0.000000	153	0	153	19736
rs_medium_8139	0.02185	0.019737	0.00000	0.000000	153	0	153	19737
rs_medium_7977	0.02171	0.019604	0.00000	0.000000	152	0	152	19604
rs_medium_7719	0.02142	0.019349	0.00000	0.000000	150	0	150	19349
rs_medium_7972	0.02113	0.019073	0.00000	0.000000	148	0	148	19073
rs_medium_7930	0.02085	0.018846	0.00000	0.000000	146	0	146	18846
rs_medium_7362	0.02085	0.018829	0.00000	0.000000	146	0	146	18829
rs_medium_7239	0.02085	0.018834	0.00000	0.000000	146	0	146	18834
rs_medium_7227	0.02071	0.018705	0.00000	0.000000	145	0	145	18705
rs_medium_7373	0.02056	0.018580	0.00000	0.000000	144	0	144	18580
rs_medium_7541	0.02028	0.018322	0.00000	0.000000	142	0	142	18322
rs_medium_8026	0.01985	0.017932	0.00000	0.000000	139	0	139	17932
rs_medium_7731	0.01956	0.017656	0.00000	0.000000	137	0	137	17656
rs_medium_7936	0.01942	0.017530	0.00000	0.000000	136	0	136	17530
rs_medium_7912	0.01942	0.017543	0.00000	0.000000	136	0	136	17543
rs_medium_7307	0.01942	0.017544	0.00000	0.000000	136	0	136	17544
rs_medium_8220	0.01928	0.017410	0.00000	0.000000	135	0	135	17410
rs_medium_7443	0.01928	0.017415	0.00000	0.000000	135	0	135	17415
rs_medium_8089	0.01899	0.017144	0.00000	0.000000	133	0	133	17144
rs_medium_7416	0.01885	0.017023	0.00000	0.000000	132	0	132	17023
rs_medium_8143	0.01871	0.016898	0.00000	0.000000	131	0	131	16898
rs_medium_7205	0.01842	0.016641	0.00000	0.000000	129	0	129	16641
rs_medium_7933	0.01828	0.016507	0.00000	0.000000	128	0	128	16507
rs_medium_7754	0.01828	0.016512	0.00000	0.000000	128	0	128	16512
rs_medium_8070	0.01814	0.016384	0.00000	0.000000	127	0	127	16384
rs_medium_7882	0.01799	0.016251	0.00000	0.000000	126	0	126	16251
rs_medium_7668	0.01799	0.016252	0.00000	0.000000	126	0	126	16252
rs_medium_7351	0.01799	0.016254	0.00000	0.000000	126	0	126	16254
rs_medium_7273	0.01771	0.015960	0.00000	0.000000	124	0	124	15960
rs_medium_7231	0.01771	0.015997	0.00000	0.000000	124	0	124	15997
rs_medium_8256	0.01756	0.015867	0.00000	0.000000	123	0	123	15867
rs_medium_8093	0.01756	0.015866	0.00000	0.000000	123	0	123	15866
rs_medium_7897	0.01756	0.015869	0.00000	0.000000	123	0	123	15869
rs_medium_7967	0.01742	0.015739	0.00000	0.000000	122	0	122	15739
