#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
yinyang_11037	0.02499	0.022574	0.00000	0.000000	175	0	175	22574
yinyang_10944	0.02171	0.019607	0.00000	0.000000	152	0	152	19607
yinyang_10936	0.02028	0.018317	0.00000	0.000000	142	0	142	18317
yinyang_10911	0.02028	0.018320	0.00000	0.000000	142	0	142	18320
yinyang_11110	0.01971	0.017794	0.00000	0.000000	138	0	138	17794
yinyang_11129	0.01942	0.017546	0.00000	0.000000	136	0	136	17546
yinyang_10861	0.01942	0.017542	0.00000	0.000000	136	0	136	17542
yinyang_11256	0.01871	0.016901	0.00000	0.000000	131	0	131	16901
yinyang_11052	0.01714	0.015482	0.00000	0.000000	120	0	120	15482
yinyang_11107	0.01699	0.015346	0.00000	0.000000	119	0	119	15346
yinyang_10858	0.01699	0.015350	0.00000	0.000000	119	0	119	15350
yinyang_10834	0.01699	0.015350	0.00000	0.000000	119	0	119	15350
yinyang_10908	0.01685	0.015222	0.00000	0.000000	118	0	118	15222
yinyang_11126	0.01671	0.015078	0.00000	0.000000	117	0	117	15078
yinyang_11122	0.01671	0.015092	0.00000	0.000000	117	0	117	15092
yinyang_11062	0.01671	0.015093	0.00000	0.000000	117	0	117	15093
yinyang_10984	0.01642	0.014827	0.00000	0.000000	115	0	115	14827
yinyang_10933	0.01642	0.014837	0.00000	0.000000	115	0	115	14837
yinyang_11157	0.01614	0.014577	0.00000	0.000000	113	0	113	14577
yinyang_10805	0.01614	0.014575	0.00000	0.000000	113	0	113	14575
yinyang_11200	0.01599	0.014434	0.00000	0.000000	112	0	112	14434
yinyang_11132	0.01599	0.014450	0.00000	0.000000	112	0	112	14450
yinyang_11001	0.01599	0.014441	0.00000	0.000000	112	0	112	14441
yinyang_10814	0.01599	0.014447	0.00000	0.000000	112	0	112	14447
yinyang_11184	0.01585	0.014311	0.00000	0.000000	111	0	111	14311
yinyang_11142	0.01571	0.014191	0.00000	0.000000	110	0	110	14191
yinyang_11080	0.01556	0.014062	0.00000	0.000000	109	0	109	14062
yinyang_10977	0.01556	0.014023	0.00000	0.000000	109	0	109	14023
yinyang_10803	0.01556	0.014063	0.00000	0.000000	109	0	109	14063
yinyang_11281	0.01542	0.013933	0.00000	0.000000	108	0	108	13933
yinyang_11269	0.01542	0.013904	0.00000	0.000000	108	0	108	13904
yinyang_11124	0.01542	0.013931	0.00000	0.000000	108	0	108	13931
yinyang_11112	0.01542	0.013931	0.00000	0.000000	108	0	108	13931
yinyang_11047	0.01542	0.013932	0.00000	0.000000	108	0	108	13932
yinyang_10847	0.01542	0.013930	0.00000	0.000000	108	0	108	13930
yinyang_10827	0.01542	0.013932	0.00000	0.000000	108	0	108	13932
yinyang_11108	0.01528	0.013792	0.00000	0.000000	107	0	107	13792
yinyang_11009	0.01528	0.013803	0.00000	0.000000	107	0	107	13803
yinyang_10925	0.01528	0.013805	0.00000	0.000000	107	0	107	13805
yinyang_10890	0.01528	0.013797	0.00000	0.000000	107	0	107	13797
yinyang_10800	0.01528	0.013802	0.00000	0.000000	107	0	107	13802
yinyang_11159	0.01514	0.013676	0.00000	0.000000	106	0	106	13676
yinyang_11216	0.01499	0.013545	0.00000	0.000000	105	0	105	13545
yinyang_11215	0.01499	0.013560	0.00000	0.000000	105	0	105	13560
yinyang_11160	0.01499	0.013540	0.00000	0.000000	105	0	105	13540
yinyang_11170	0.01485	0.013416	0.00000	0.000000	104	0	104	13416
yinyang_11169	0.01485	0.013419	0.00000	0.000000	104	0	104	13419
yinyang_11081	0.01471	0.013281	0.00000	0.000000	103	0	103	13281
yinyang_10972	0.01471	0.013287	0.00000	0.000000	103	0	103	13287
yinyang_10856	0.01471	0.013283	0.00000	0.000000	103	0	103	13283
yinyang_11075	0.01457	0.013159	0.00000	0.000000	102	0	102	13159
yinyang_10934	0.01457	0.013158	0.00000	0.000000	102	0	102	13158
yinyang_11232	0.01442	0.013032	0.00000	0.000000	101	0	101	13032
yinyang_11164	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
yinyang_11094	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
yinyang_10964	0.01442	0.013029	0.00000	0.000000	101	0	101	13029
yinyang_11036	0.01428	0.012896	0.00000	0.000000	100	0	100	12896
yinyang_10989	0.01428	0.012898	0.00000	0.000000	100	0	100	12898
yinyang_10928	0.01428	0.012900	0.00000	0.000000	100	0	100	12900
yinyang_10885	0.01428	0.012894	0.00000	0.000000	100	0	100	12894
yinyang_11284	0.01414	0.012770	0.00000	0.000000	99	0	99	12770
yinyang_11218	0.01414	0.012771	0.00000	0.000000	99	0	99	12771
yinyang_11083	0.01414	0.012770	0.00000	0.000000	99	0	99	12770
yinyang_11070	0.01414	0.012768	0.00000	0.000000	99	0	99	12768
yinyang_11040	0.01414	0.012770	0.00000	0.000000	99	0	99	12770
yinyang_10993	0.01414	0.012768	0.00000	0.000000	99	0	99	12768
yinyang_10865	0.01414	0.012771	0.00000	0.000000	99	0	99	12771
yinyang_11192	0.01399	0.012646	0.00000	0.000000	98	0	98	12646
yinyang_10791	0.01399	0.012643	0.00000	0.000000	98	0	98	12643
yinyang_10674	0.01399	0.012644	0.00000	0.000000	98	0	98	12644
yinyang_11188	0.01385	0.012512	0.00000	0.000000	97	0	97	12512
yinyang_11046	0.01385	0.012513	0.00000	0.000000	97	0	97	12513
yinyang_10795	0.01385	0.012511	0.00000	0.000000	97	0	97	12511
yinyang_11265	0.01371	0.012382	0.00000	0.000000	96	0	96	12382
yinyang_11185	0.01371	0.012370	0.00000	0.000000	96	0	96	12370
yinyang_10864	0.01371	0.012376	0.00000	0.000000	96	0	96	12376
yinyang_10835	0.01371	0.012381	0.00000	0.000000	96	0	96	12381
yinyang_10828	0.01371	0.012384	0.00000	0.000000	96	0	96	12384
yinyang_11248	0.01357	0.012252	0.00000	0.000000	95	0	95	12252
yinyang_11131	0.01357	0.012256	0.00000	0.000000	95	0	95	12256
yinyang_11068	0.01357	0.012253	0.00000	0.000000	95	0	95	12253
yinyang_10808	0.01357	0.012255	0.00000	0.000000	95	0	95	12255
yinyang_11011	0.01342	0.012126	0.00000	0.000000	94	0	94	12126
yinyang_10985	0.01342	0.012126	0.00000	0.000000	94	0	94	12126
yinyang_11155	0.01328	0.011991	0.00000	0.000000	93	0	93	11991
yinyang_11018	0.01328	0.011997	0.00000	0.000000	93	0	93	11997
yinyang_11007	0.01328	0.011994	0.00000	0.000000	93	0	93	11994
yinyang_10980	0.01328	0.011990	0.00000	0.000000	93	0	93	11990
yinyang_10940	0.01328	0.011996	0.00000	0.000000	93	0	93	11996
yinyang_10878	0.01328	0.011988	0.00000	0.000000	93	0	93	11988
yinyang_10849	0.01328	0.011997	0.00000	0.000000	93	0	93	11997
yinyang_10793	0.01328	0.011994	0.00000	0.000000	93	0	93	11994
yinyang_11283	0.01314	0.011868	0.00000	0.000000	92	0	92	11868
yinyang_11180	0.01299	0.011738	0.00000	0.000000	91	0	91	11738
yinyang_10999	0.01299	0.011727	0.00000	0.000000	91	0	91	11727
yinyang_10914	0.01299	0.011739	0.00000	0.000000	91	0	91	11739
yinyang_10869	0.01299	0.011740	0.00000	0.000000	91	0	91	11740
yinyang_11120	0.01285	0.011610	0.00000	0.000000	90	0	90	11610
yinyang_11084	0.01285	0.011602	0.00000	0.000000	90	0	90	11602
yinyang_11072	0.01285	0.011613	0.00000	0.000000	90	0	90	11613
yinyang_11211	0.01271	0.011483	0.00000	0.000000	89	0	89	11483
yinyang_11118	0.01271	0.011481	0.00000	0.000000	89	0	89	11481
yinyang_10991	0.01271	0.011456	0.00000	0.000000	89	0	89	11456
yinyang_11194	0.01257	0.011345	0.00000	0.000000	88	0	88	11345
yinyang_11156	0.01257	0.011352	0.00000	0.000000	88	0	88	11352
yinyang_11041	0.01242	0.011224	0.00000	0.000000	87	0	87	11224
yinyang_10935	0.01242	0.011223	0.00000	0.000000	87	0	87	11223
yinyang_11225	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
yinyang_11027	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
yinyang_10979	0.01228	0.011092	0.00000	0.000000	86	0	86	11092
yinyang_10848	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
yinyang_10812	0.01228	0.011094	0.00000	0.000000	86	0	86	11094
yinyang_10796	0.01228	0.011096	0.00000	0.000000	86	0	86	11096
yinyang_11196	0.01214	0.010964	0.00000	0.000000	85	0	85	10964
yinyang_11076	0.01214	0.010965	0.00000	0.000000	85	0	85	10965
yinyang_11017	0.01214	0.010965	0.00000	0.000000	85	0	85	10965
yinyang_10875	0.01214	0.010963	0.00000	0.000000	85	0	85	10963
yinyang_10609	0.01214	0.010962	0.00000	0.000000	85	0	85	10962
yinyang_10903	0.01200	0.010831	0.00000	0.000000	84	0	84	10831
yinyang_10873	0.01200	0.010835	0.00000	0.000000	84	0	84	10835
yinyang_10852	0.01200	0.010826	0.00000	0.000000	84	0	84	10826
yinyang_10790	0.01200	0.010836	0.00000	0.000000	84	0	84	10836
yinyang_11271	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
yinyang_11240	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
yinyang_11183	0.01185	0.010706	0.00000	0.000000	83	0	83	10706
yinyang_11177	0.01185	0.010698	0.00000	0.000000	83	0	83	10698
yinyang_11133	0.01185	0.010675	0.00000	0.000000	83	0	83	10675
yinyang_11101	0.01185	0.010709	0.00000	0.000000	83	0	83	10709
yinyang_11073	0.01185	0.010686	0.00000	0.000000	83	0	83	10686
yinyang_10899	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
yinyang_10823	0.01185	0.010707	0.00000	0.000000	83	0	83	10707
yinyang_11189	0.01171	0.010578	0.00000	0.000000	82	0	82	10578
yinyang_11035	0.01171	0.010577	0.00000	0.000000	82	0	82	10577
yinyang_10960	0.01171	0.010577	0.00000	0.000000	82	0	82	10577
yinyang_10918	0.01171	0.010580	0.00000	0.000000	82	0	82	10580
yinyang_10862	0.01171	0.010578	0.00000	0.000000	82	0	82	10578
yinyang_10853	0.01171	0.010579	0.00000	0.000000	82	0	82	10579
yinyang_10842	0.01171	0.010577	0.00000	0.000000	82	0	82	10577
yinyang_10801	0.01171	0.010576	0.00000	0.000000	82	0	82	10576
yinyang_10685	0.01171	0.010573	0.00000	0.000000	82	0	82	10573
yinyang_10679	0.01171	0.010578	0.00000	0.000000	82	0	82	10578
yinyang_11290	0.01157	0.010449	0.00000	0.000000	81	0	81	10449
yinyang_11263	0.01157	0.010449	0.00000	0.000000	81	0	81	10449
yinyang_11261	0.01157	0.010436	0.00000	0.000000	81	0	81	10436
yinyang_11220	0.01157	0.010451	0.00000	0.000000	81	0	81	10451
yinyang_11203	0.01157	0.010430	0.00000	0.000000	81	0	81	10430
yinyang_11048	0.01157	0.010449	0.00000	0.000000	81	0	81	10449
yinyang_10806	0.01157	0.010451	0.00000	0.000000	81	0	81	10451
yinyang_11198	0.01142	0.010321	0.00000	0.000000	80	0	80	10321
yinyang_11113	0.01142	0.010319	0.00000	0.000000	80	0	80	10319
yinyang_11109	0.01142	0.010317	0.00000	0.000000	80	0	80	10317
yinyang_11104	0.01142	0.010320	0.00000	0.000000	80	0	80	10320
yinyang_11010	0.01142	0.010319	0.00000	0.000000	80	0	80	10319
yinyang_10962	0.01142	0.010320	0.00000	0.000000	80	0	80	10320
yinyang_10888	0.01142	0.010320	0.00000	0.000000	80	0	80	10320
yinyang_10863	0.01142	0.010320	0.00000	0.000000	80	0	80	10320
yinyang_10820	0.01142	0.010320	0.00000	0.000000	80	0	80	10320
yinyang_11285	0.01128	0.010191	0.00000	0.000000	79	0	79	10191
yinyang_11267	0.01128	0.010192	0.00000	0.000000	79	0	79	10192
yinyang_11209	0.01128	0.010192	0.00000	0.000000	79	0	79	10192
yinyang_11201	0.01128	0.010192	0.00000	0.000000	79	0	79	10192
yinyang_10922	0.01128	0.010190	0.00000	0.000000	79	0	79	10190
yinyang_10854	0.01128	0.010174	0.00000	0.000000	79	0	79	10174
yinyang_10788	0.01128	0.010191	0.00000	0.000000	79	0	79	10191
yinyang_11274	0.01114	0.010064	0.00000	0.000000	78	0	78	10064
yinyang_11224	0.01114	0.010036	0.00000	0.000000	78	0	78	10036
yinyang_11197	0.01114	0.010063	0.00000	0.000000	78	0	78	10063
yinyang_11038	0.01114	0.010062	0.00000	0.000000	78	0	78	10062
yinyang_10971	0.01114	0.010061	0.00000	0.000000	78	0	78	10061
yinyang_10605	0.01114	0.010063	0.00000	0.000000	78	0	78	10063
yinyang_11268	0.01100	0.009933	0.00000	0.000000	77	0	77	9933
yinyang_11181	0.01100	0.009933	0.00000	0.000000	77	0	77	9933
yinyang_11163	0.01100	0.009925	0.00000	0.000000	77	0	77	9925
yinyang_11136	0.01100	0.009933	0.00000	0.000000	77	0	77	9933
yinyang_11111	0.01100	0.009933	0.00000	0.000000	77	0	77	9933
yinyang_10948	0.01100	0.009911	0.00000	0.000000	77	0	77	9911
yinyang_11233	0.01085	0.009804	0.00000	0.000000	76	0	76	9804
yinyang_11191	0.01085	0.009804	0.00000	0.000000	76	0	76	9804
yinyang_11152	0.01085	0.009804	0.00000	0.000000	76	0	76	9804
yinyang_11148	0.01085	0.009803	0.00000	0.000000	76	0	76	9803
yinyang_11138	0.01085	0.009801	0.00000	0.000000	76	0	76	9801
yinyang_11066	0.01085	0.009804	0.00000	0.000000	76	0	76	9804
yinyang_11058	0.01085	0.009806	0.00000	0.000000	76	0	76	9806
yinyang_10910	0.01085	0.009805	0.00000	0.000000	76	0	76	9805
yinyang_10893	0.01085	0.009808	0.00000	0.000000	76	0	76	9808
yinyang_11260	0.01071	0.009673	0.00000	0.000000	75	0	75	9673
yinyang_11105	0.01071	0.009675	0.00000	0.000000	75	0	75	9675
yinyang_11086	0.01071	0.009675	0.00000	0.000000	75	0	75	9675
yinyang_11055	0.01071	0.009675	0.00000	0.000000	75	0	75	9675
yinyang_10966	0.01071	0.009673	0.00000	0.000000	75	0	75	9673
yinyang_10866	0.01071	0.009675	0.00000	0.000000	75	0	75	9675
yinyang_10810	0.01071	0.009676	0.00000	0.000000	75	0	75	9676
yinyang_11193	0.01057	0.009546	0.00000	0.000000	74	0	74	9546
yinyang_11187	0.01057	0.009545	0.00000	0.000000	74	0	74	9545
yinyang_11140	0.01057	0.009531	0.00000	0.000000	74	0	74	9531
yinyang_11114	0.01057	0.009549	0.00000	0.000000	74	0	74	9549
yinyang_10920	0.01057	0.009546	0.00000	0.000000	74	0	74	9546
