#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_high_0944	0.04477	0.060407	0.00000	0.000000	471	0	471	60407
aeon_high_1291	0.03982	0.053691	0.00000	0.000000	419	0	419	53691
aeon_high_1440	0.03631	0.049018	0.00000	0.000000	382	0	382	49018
aeon_high_1453	0.03203	0.043310	0.00000	0.000000	337	0	337	43310
aeon_high_1419	0.03174	0.043019	0.00000	0.000000	334	0	334	43019
aeon_high_1080	0.02946	0.039791	0.00000	0.000000	310	0	310	39791
aeon_high_1479	0.02927	0.039671	0.00000	0.000000	308	0	308	39671
aeon_high_1477	0.02794	0.037723	0.00000	0.000000	294	0	294	37723
aeon_high_1256	0.02737	0.036919	0.00000	0.000000	288	0	288	36919
aeon_high_0846	0.02642	0.035731	0.00000	0.000000	278	0	278	35731
aeon_high_1458	0.02519	0.034105	0.00000	0.000000	265	0	265	34105
aeon_high_0892	0.02500	0.033725	0.00000	0.000000	263	0	263	33725
aeon_high_0757	0.02481	0.033480	0.00000	0.000000	261	0	261	33480
aeon_high_0805	0.02433	0.032895	0.00000	0.000000	256	0	256	32895
aeon_high_0984	0.02405	0.032562	0.00000	0.000000	253	0	253	32562
aeon_high_1399	0.02386	0.032296	0.00000	0.000000	251	0	251	32296
aeon_high_1139	0.02376	0.032022	0.00000	0.000000	250	0	250	32022
aeon_high_0909	0.02376	0.032161	0.00000	0.000000	250	0	250	32161
aeon_high_1318	0.02357	0.031938	0.00000	0.000000	248	0	248	31938
aeon_high_0708	0.02357	0.031806	0.00000	0.000000	248	0	248	31806
aeon_high_0870	0.02338	0.031558	0.00000	0.000000	246	0	246	31558
aeon_high_0951	0.02300	0.031139	0.00000	0.000000	242	0	242	31139
aeon_high_1423	0.02253	0.030419	0.00000	0.000000	237	0	237	30419
aeon_high_1225	0.02253	0.030456	0.00000	0.000000	237	0	237	30456
aeon_high_1163	0.02243	0.030408	0.00000	0.000000	236	0	236	30408
aeon_high_0702	0.02243	0.030317	0.00000	0.000000	236	0	236	30317
aeon_high_1078	0.02205	0.029893	0.00000	0.000000	232	0	232	29893
aeon_high_0841	0.02186	0.029461	0.00000	0.000000	230	0	230	29461
aeon_high_0825	0.02186	0.029397	0.00000	0.000000	230	0	230	29397
aeon_high_1200	0.02148	0.029084	0.00000	0.000000	226	0	226	29084
aeon_high_0907	0.02148	0.029022	0.00000	0.000000	226	0	226	29022
aeon_high_0943	0.02139	0.028931	0.00000	0.000000	225	0	225	28931
aeon_high_0992	0.02091	0.028297	0.00000	0.000000	220	0	220	28297
aeon_high_0720	0.02024	0.027430	0.00000	0.000000	213	0	213	27430
aeon_high_0980	0.02015	0.027134	0.00000	0.000000	212	0	212	27134
aeon_high_1220	0.02005	0.027103	0.00000	0.000000	211	0	211	27103
aeon_high_0874	0.01986	0.026914	0.00000	0.000000	209	0	209	26914
aeon_high_0750	0.01986	0.026858	0.00000	0.000000	209	0	209	26858
aeon_high_1035	0.01967	0.026650	0.00000	0.000000	207	0	207	26650
aeon_high_1205	0.01948	0.026385	0.00000	0.000000	205	0	205	26385
aeon_high_1167	0.01948	0.026414	0.00000	0.000000	205	0	205	26414
aeon_high_1289	0.01939	0.026280	0.00000	0.000000	204	0	204	26280
aeon_high_0865	0.01929	0.026051	0.00000	0.000000	203	0	203	26051
aeon_high_1169	0.01910	0.025849	0.00000	0.000000	201	0	201	25849
aeon_high_0996	0.01882	0.025418	0.00000	0.000000	198	0	198	25418
aeon_high_1086	0.01872	0.025261	0.00000	0.000000	197	0	197	25261
aeon_high_1349	0.01853	0.025115	0.00000	0.000000	195	0	195	25115
aeon_high_1166	0.01853	0.024986	0.00000	0.000000	195	0	195	24986
aeon_high_1434	0.01834	0.024818	0.00000	0.000000	193	0	193	24818
