#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_max_0207	0.06159	0.083060	0.00000	0.000000	648	0	648	83060
aeon_max_0028	0.05151	0.069418	0.00000	0.000000	542	0	542	69418
aeon_max_0288	0.03887	0.051999	0.00000	0.000000	409	0	409	51999
aeon_max_0437	0.02785	0.037419	0.00000	0.000000	293	0	293	37419
aeon_max_0177	0.02158	0.029217	0.00000	0.000000	227	0	227	29217
aeon_max_0009	0.02091	0.028312	0.00000	0.000000	220	0	220	28312
aeon_max_0526	0.02081	0.028175	0.00000	0.000000	219	0	219	28175
aeon_max_0476	0.02062	0.027886	0.00000	0.000000	217	0	217	27886
aeon_max_0076	0.02034	0.027477	0.00000	0.000000	214	0	214	27477
aeon_max_0664	0.02024	0.027386	0.00000	0.000000	213	0	213	27386
aeon_max_0024	0.01910	0.025519	0.00000	0.000000	201	0	201	25519
aeon_max_0158	0.01853	0.025092	0.00000	0.000000	195	0	195	25092
aeon_max_0139	0.01739	0.023552	0.00000	0.000000	183	0	183	23552
aeon_max_0591	0.01720	0.023281	0.00000	0.000000	181	0	181	23281
aeon_max_0335	0.01720	0.023293	0.00000	0.000000	181	0	181	23293
aeon_max_0175	0.01711	0.023177	0.00000	0.000000	180	0	180	23177
aeon_max_0168	0.01701	0.023006	0.00000	0.000000	179	0	179	23006
aeon_max_0031	0.01692	0.022888	0.00000	0.000000	178	0	178	22888
aeon_max_0092	0.01635	0.022101	0.00000	0.000000	172	0	172	22101
aeon_max_0282	0.01625	0.021957	0.00000	0.000000	171	0	171	21957
aeon_max_0576	0.01606	0.021746	0.00000	0.000000	169	0	169	21746
aeon_max_0573	0.01606	0.021636	0.00000	0.000000	169	0	169	21636
aeon_max_0098	0.01587	0.021494	0.00000	0.000000	167	0	167	21494
aeon_max_0089	0.01587	0.021437	0.00000	0.000000	167	0	167	21437
aeon_max_0082	0.01578	0.021324	0.00000	0.000000	166	0	166	21324
aeon_max_0371	0.01559	0.021101	0.00000	0.000000	164	0	164	21101
aeon_max_0128	0.01559	0.021097	0.00000	0.000000	164	0	164	21097
aeon_max_0099	0.01521	0.020542	0.00000	0.000000	160	0	160	20542
aeon_max_0607	0.01511	0.020439	0.00000	0.000000	159	0	159	20439
aeon_max_0694	0.01502	0.020302	0.00000	0.000000	158	0	158	20302
aeon_max_0599	0.01483	0.020074	0.00000	0.000000	156	0	156	20074
aeon_max_0550	0.01483	0.019986	0.00000	0.000000	156	0	156	19986
aeon_max_0536	0.01473	0.019971	0.00000	0.000000	155	0	155	19971
aeon_max_0429	0.01473	0.019932	0.00000	0.000000	155	0	155	19932
aeon_max_0074	0.01435	0.019424	0.00000	0.000000	151	0	151	19424
aeon_max_0590	0.01426	0.019230	0.00000	0.000000	150	0	150	19230
aeon_max_0679	0.01416	0.019191	0.00000	0.000000	149	0	149	19191
aeon_max_0677	0.01407	0.018991	0.00000	0.000000	148	0	148	18991
aeon_max_0053	0.01407	0.019063	0.00000	0.000000	148	0	148	19063
aeon_max_0407	0.01388	0.018803	0.00000	0.000000	146	0	146	18803
aeon_max_0125	0.01378	0.018565	0.00000	0.000000	145	0	145	18565
aeon_max_0011	0.01359	0.018332	0.00000	0.000000	143	0	143	18332
aeon_max_0338	0.01350	0.018260	0.00000	0.000000	142	0	142	18260
aeon_max_0535	0.01340	0.018134	0.00000	0.000000	141	0	141	18134
aeon_max_0453	0.01331	0.018014	0.00000	0.000000	140	0	140	18014
aeon_max_0404	0.01331	0.018017	0.00000	0.000000	140	0	140	18017
aeon_max_0259	0.01331	0.018014	0.00000	0.000000	140	0	140	18014
aeon_max_0174	0.01331	0.017918	0.00000	0.000000	140	0	140	17918
aeon_max_0014	0.01331	0.017988	0.00000	0.000000	140	0	140	17988
aeon_max_0416	0.01302	0.017612	0.00000	0.000000	137	0	137	17612
aeon_max_0653	0.01293	0.017467	0.00000	0.000000	136	0	136	17467
aeon_max_0402	0.01293	0.017501	0.00000	0.000000	136	0	136	17501
aeon_max_0249	0.01293	0.017429	0.00000	0.000000	136	0	136	17429
aeon_max_0201	0.01274	0.017215	0.00000	0.000000	134	0	134	17215
aeon_max_0112	0.01255	0.016860	0.00000	0.000000	132	0	132	16860
aeon_max_0578	0.01245	0.016854	0.00000	0.000000	131	0	131	16854
aeon_max_0541	0.01245	0.016721	0.00000	0.000000	131	0	131	16721
aeon_max_0486	0.01236	0.016727	0.00000	0.000000	130	0	130	16727
aeon_max_0403	0.01236	0.016731	0.00000	0.000000	130	0	130	16731
aeon_max_0211	0.01236	0.016641	0.00000	0.000000	130	0	130	16641
aeon_max_0114	0.01236	0.016715	0.00000	0.000000	130	0	130	16715
aeon_max_0614	0.01226	0.016576	0.00000	0.000000	129	0	129	16576
aeon_max_0137	0.01226	0.016543	0.00000	0.000000	129	0	129	16543
aeon_max_0192	0.01217	0.016492	0.00000	0.000000	128	0	128	16492
aeon_max_0620	0.01207	0.016281	0.00000	0.000000	127	0	127	16281
aeon_max_0212	0.01207	0.016254	0.00000	0.000000	127	0	127	16254
aeon_max_0543	0.01198	0.016234	0.00000	0.000000	126	0	126	16234
aeon_max_0287	0.01188	0.016036	0.00000	0.000000	125	0	125	16036
aeon_max_0400	0.01179	0.015916	0.00000	0.000000	124	0	124	15916
aeon_max_0471	0.01169	0.015820	0.00000	0.000000	123	0	123	15820
aeon_max_0318	0.01169	0.015821	0.00000	0.000000	123	0	123	15821
aeon_max_0290	0.01169	0.015750	0.00000	0.000000	123	0	123	15750
aeon_max_0107	0.01169	0.015747	0.00000	0.000000	123	0	123	15747
aeon_max_0491	0.01160	0.015605	0.00000	0.000000	122	0	122	15605
aeon_max_0676	0.01150	0.015556	0.00000	0.000000	121	0	121	15556
aeon_max_0270	0.01150	0.015510	0.00000	0.000000	121	0	121	15510
aeon_max_0129	0.01150	0.015509	0.00000	0.000000	121	0	121	15509
aeon_max_0102	0.01150	0.015585	0.00000	0.000000	121	0	121	15585
aeon_max_0041	0.01150	0.015498	0.00000	0.000000	121	0	121	15498
aeon_max_0415	0.01141	0.015318	0.00000	0.000000	120	0	120	15318
aeon_max_0077	0.01131	0.015339	0.00000	0.000000	119	0	119	15339
aeon_max_0438	0.01122	0.015183	0.00000	0.000000	118	0	118	15183
aeon_max_0396	0.01122	0.015074	0.00000	0.000000	118	0	118	15074
aeon_max_0586	0.01112	0.014976	0.00000	0.000000	117	0	117	14976
aeon_max_0548	0.01112	0.014964	0.00000	0.000000	117	0	117	14964
aeon_max_0516	0.01112	0.015084	0.00000	0.000000	117	0	117	15084
aeon_max_0283	0.01112	0.014975	0.00000	0.000000	117	0	117	14975
aeon_max_0648	0.01093	0.014801	0.00000	0.000000	115	0	115	14801
aeon_max_0615	0.01093	0.014798	0.00000	0.000000	115	0	115	14798
aeon_max_0173	0.01093	0.014788	0.00000	0.000000	115	0	115	14788
aeon_max_0057	0.01093	0.014775	0.00000	0.000000	115	0	115	14775
aeon_max_0378	0.01084	0.014598	0.00000	0.000000	114	0	114	14598
aeon_max_0254	0.01084	0.014646	0.00000	0.000000	114	0	114	14646
aeon_max_0166	0.01084	0.014524	0.00000	0.000000	114	0	114	14524
aeon_max_0127	0.01065	0.014371	0.00000	0.000000	112	0	112	14371
aeon_max_0669	0.01055	0.014280	0.00000	0.000000	111	0	111	14280
aeon_max_0611	0.01055	0.014315	0.00000	0.000000	111	0	111	14315
aeon_max_0452	0.01055	0.014210	0.00000	0.000000	111	0	111	14210
aeon_max_0434	0.01055	0.014281	0.00000	0.000000	111	0	111	14281
aeon_max_0100	0.01055	0.014289	0.00000	0.000000	111	0	111	14289
aeon_max_0409	0.01045	0.014147	0.00000	0.000000	110	0	110	14147
aeon_max_0069	0.01045	0.014129	0.00000	0.000000	110	0	110	14129
aeon_max_0372	0.01036	0.013993	0.00000	0.000000	109	0	109	13993
aeon_max_0025	0.01036	0.013984	0.00000	0.000000	109	0	109	13984
aeon_max_0362	0.01026	0.013765	0.00000	0.000000	108	0	108	13765
aeon_max_0180	0.01026	0.013915	0.00000	0.000000	108	0	108	13915
aeon_max_0019	0.01026	0.013836	0.00000	0.000000	108	0	108	13836
aeon_max_0642	0.01017	0.013784	0.00000	0.000000	107	0	107	13784
aeon_max_0239	0.01017	0.013739	0.00000	0.000000	107	0	107	13739
aeon_max_0206	0.01007	0.013608	0.00000	0.000000	106	0	106	13608
aeon_max_0506	0.00998	0.013531	0.00000	0.000000	105	0	105	13531
aeon_max_0469	0.00998	0.013528	0.00000	0.000000	105	0	105	13528
aeon_max_0216	0.00998	0.013433	0.00000	0.000000	105	0	105	13433
aeon_max_0336	0.00988	0.013338	0.00000	0.000000	104	0	104	13338
aeon_max_0237	0.00988	0.013308	0.00000	0.000000	104	0	104	13308
aeon_max_0666	0.00979	0.013252	0.00000	0.000000	103	0	103	13252
aeon_max_0602	0.00979	0.013222	0.00000	0.000000	103	0	103	13222
aeon_max_0450	0.00979	0.013251	0.00000	0.000000	103	0	103	13251
aeon_max_0013	0.00979	0.013240	0.00000	0.000000	103	0	103	13240
aeon_max_0660	0.00960	0.012908	0.00000	0.000000	101	0	101	12908
aeon_max_0242	0.00960	0.012970	0.00000	0.000000	101	0	101	12970
aeon_max_0144	0.00960	0.012997	0.00000	0.000000	101	0	101	12997
aeon_max_0479	0.00950	0.012866	0.00000	0.000000	100	0	100	12866
aeon_max_0379	0.00950	0.012826	0.00000	0.000000	100	0	100	12826
aeon_max_0142	0.00950	0.012797	0.00000	0.000000	100	0	100	12797
aeon_max_0365	0.00941	0.012741	0.00000	0.000000	99	0	99	12741
aeon_max_0255	0.00941	0.012755	0.00000	0.000000	99	0	99	12755
aeon_max_0382	0.00931	0.012641	0.00000	0.000000	98	0	98	12641
aeon_max_0105	0.00931	0.012596	0.00000	0.000000	98	0	98	12596
aeon_max_0084	0.00931	0.012607	0.00000	0.000000	98	0	98	12607
aeon_max_0036	0.00922	0.012420	0.00000	0.000000	97	0	97	12420
aeon_max_0613	0.00912	0.012350	0.00000	0.000000	96	0	96	12350
aeon_max_0466	0.00912	0.012355	0.00000	0.000000	96	0	96	12355
aeon_max_0153	0.00912	0.012334	0.00000	0.000000	96	0	96	12334
aeon_max_0326	0.00903	0.012159	0.00000	0.000000	95	0	95	12159
aeon_max_0292	0.00903	0.012205	0.00000	0.000000	95	0	95	12205
aeon_max_0163	0.00903	0.012180	0.00000	0.000000	95	0	95	12180
aeon_max_0138	0.00903	0.012215	0.00000	0.000000	95	0	95	12215
aeon_max_0060	0.00903	0.012097	0.00000	0.000000	95	0	95	12097
aeon_max_0039	0.00903	0.012247	0.00000	0.000000	95	0	95	12247
aeon_max_0002	0.00893	0.012106	0.00000	0.000000	94	0	94	12106
aeon_max_0431	0.00884	0.011990	0.00000	0.000000	93	0	93	11990
aeon_max_0376	0.00884	0.011930	0.00000	0.000000	93	0	93	11930
aeon_max_0063	0.00884	0.011979	0.00000	0.000000	93	0	93	11979
aeon_max_0507	0.00874	0.011695	0.00000	0.000000	92	0	92	11695
aeon_max_0444	0.00874	0.011721	0.00000	0.000000	92	0	92	11721
aeon_max_0358	0.00874	0.011828	0.00000	0.000000	92	0	92	11828
aeon_max_0052	0.00874	0.011859	0.00000	0.000000	92	0	92	11859
aeon_max_0217	0.00865	0.011655	0.00000	0.000000	91	0	91	11655
aeon_max_0119	0.00865	0.011678	0.00000	0.000000	91	0	91	11678
aeon_max_0671	0.00855	0.011559	0.00000	0.000000	90	0	90	11559
aeon_max_0651	0.00855	0.011554	0.00000	0.000000	90	0	90	11554
aeon_max_0558	0.00855	0.011568	0.00000	0.000000	90	0	90	11568
aeon_max_0533	0.00855	0.011560	0.00000	0.000000	90	0	90	11560
aeon_max_0271	0.00855	0.011598	0.00000	0.000000	90	0	90	11598
aeon_max_0482	0.00846	0.011464	0.00000	0.000000	89	0	89	11464
aeon_max_0325	0.00846	0.011447	0.00000	0.000000	89	0	89	11447
aeon_max_0253	0.00846	0.011415	0.00000	0.000000	89	0	89	11415
aeon_max_0645	0.00836	0.011301	0.00000	0.000000	88	0	88	11301
aeon_max_0488	0.00836	0.011331	0.00000	0.000000	88	0	88	11331
aeon_max_0179	0.00836	0.011299	0.00000	0.000000	88	0	88	11299
aeon_max_0456	0.00827	0.011167	0.00000	0.000000	87	0	87	11167
aeon_max_0330	0.00827	0.011091	0.00000	0.000000	87	0	87	11091
aeon_max_0592	0.00817	0.011043	0.00000	0.000000	86	0	86	11043
aeon_max_0351	0.00817	0.011080	0.00000	0.000000	86	0	86	11080
aeon_max_0279	0.00817	0.011040	0.00000	0.000000	86	0	86	11040
aeon_max_0356	0.00808	0.010914	0.00000	0.000000	85	0	85	10914
aeon_max_0197	0.00808	0.010940	0.00000	0.000000	85	0	85	10940
aeon_max_0510	0.00798	0.010778	0.00000	0.000000	84	0	84	10778
