#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
aeon_medium_1546	0.05779	0.078093	0.00000	0.000000	608	0	608	78093
aeon_medium_2286	0.04638	0.062708	0.00000	0.000000	488	0	488	62708
aeon_medium_2026	0.04458	0.060366	0.00000	0.000000	469	0	469	60366
aeon_medium_1767	0.04020	0.054372	0.00000	0.000000	423	0	423	54372
aeon_medium_2512	0.03859	0.052160	0.00000	0.000000	406	0	406	52160
aeon_medium_1676	0.03792	0.051209	0.00000	0.000000	399	0	399	51209
aeon_medium_1958	0.03621	0.049023	0.00000	0.000000	381	0	381	49023
aeon_medium_2004	0.03507	0.047283	0.00000	0.000000	369	0	369	47283
aeon_medium_2208	0.03403	0.046054	0.00000	0.000000	358	0	358	46054
aeon_medium_2648	0.03298	0.044528	0.00000	0.000000	347	0	347	44528
aeon_medium_1743	0.03260	0.044012	0.00000	0.000000	343	0	343	44012
aeon_medium_2582	0.03251	0.044025	0.00000	0.000000	342	0	342	44025
aeon_medium_1694	0.03184	0.043049	0.00000	0.000000	335	0	335	43049
aeon_medium_1573	0.03117	0.042150	0.00000	0.000000	328	0	328	42150
aeon_medium_1638	0.03098	0.041844	0.00000	0.000000	326	0	326	41844
aeon_medium_2657	0.03032	0.040962	0.00000	0.000000	319	0	319	40962
aeon_medium_2005	0.03032	0.040990	0.00000	0.000000	319	0	319	40990
aeon_medium_1974	0.03003	0.040663	0.00000	0.000000	316	0	316	40663
aeon_medium_1568	0.02965	0.040026	0.00000	0.000000	312	0	312	40026
aeon_medium_2462	0.02937	0.039823	0.00000	0.000000	309	0	309	39823
aeon_medium_1881	0.02899	0.039164	0.00000	0.000000	305	0	305	39164
aeon_medium_2078	0.02861	0.038689	0.00000	0.000000	301	0	301	38689
aeon_medium_2081	0.02851	0.038581	0.00000	0.000000	300	0	300	38581
aeon_medium_1951	0.02842	0.038427	0.00000	0.000000	299	0	299	38427
aeon_medium_2246	0.02737	0.037018	0.00000	0.000000	288	0	288	37018
aeon_medium_2598	0.02671	0.036134	0.00000	0.000000	281	0	281	36134
aeon_medium_1719	0.02623	0.035575	0.00000	0.000000	276	0	276	35575
aeon_medium_1574	0.02604	0.035252	0.00000	0.000000	274	0	274	35252
aeon_medium_2298	0.02595	0.035074	0.00000	0.000000	273	0	273	35074
aeon_medium_2619	0.02538	0.034386	0.00000	0.000000	267	0	267	34386
aeon_medium_2150	0.02509	0.033881	0.00000	0.000000	264	0	264	33881
aeon_medium_2417	0.02500	0.033669	0.00000	0.000000	263	0	263	33669
aeon_medium_2095	0.02481	0.033558	0.00000	0.000000	261	0	261	33558
aeon_medium_1969	0.02481	0.033596	0.00000	0.000000	261	0	261	33596
aeon_medium_1868	0.02462	0.033313	0.00000	0.000000	259	0	259	33313
aeon_medium_1679	0.02433	0.032828	0.00000	0.000000	256	0	256	32828
aeon_medium_2622	0.02424	0.032792	0.00000	0.000000	255	0	255	32792
aeon_medium_1858	0.02414	0.032337	0.00000	0.000000	254	0	254	32337
aeon_medium_2514	0.02395	0.032409	0.00000	0.000000	252	0	252	32409
aeon_medium_2168	0.02376	0.032195	0.00000	0.000000	250	0	250	32195
aeon_medium_1777	0.02367	0.031967	0.00000	0.000000	249	0	249	31967
aeon_medium_1824	0.02357	0.031842	0.00000	0.000000	248	0	248	31842
aeon_medium_2547	0.02348	0.031785	0.00000	0.000000	247	0	247	31785
aeon_medium_2565	0.02338	0.031502	0.00000	0.000000	246	0	246	31502
aeon_medium_2307	0.02329	0.031543	0.00000	0.000000	245	0	245	31543
aeon_medium_2340	0.02319	0.031384	0.00000	0.000000	244	0	244	31384
