#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_max_3142	0.09514	0.128595	0.00010	0.000110	1001	1	1002	128705
rs_max_6103	0.08773	0.118514	0.00000	0.000000	923	0	923	118514
rs_high_6380	0.08697	0.117699	0.00000	0.000000	915	0	915	117699
rs_max_5518	0.07556	0.102292	0.00000	0.000000	795	0	795	102292
fountain_max_3027	0.07356	0.099346	0.00000	0.000000	774	0	774	99346
hedges_8379	0.07271	0.098345	0.00000	0.000000	765	0	765	98345
rs_high_6416	0.07195	0.097478	0.00000	0.000000	757	0	757	97478
rs_high_6594	0.06292	0.084767	0.00000	0.000000	662	0	662	84767
rs_medium_7987	0.06225	0.084092	0.00000	0.000000	655	0	655	84092
aeon_max_0207	0.06159	0.083060	0.00000	0.000000	648	0	648	83060
rs_high_6963	0.05912	0.079864	0.00000	0.000000	622	0	622	79864
yinyang_11185	0.05788	0.078166	0.00000	0.000000	609	0	609	78166
aeon_medium_1546	0.05779	0.078093	0.00000	0.000000	608	0	608	78093
rs_max_5650	0.05684	0.076746	0.00000	0.000000	598	0	598	76746
goldman_10131	0.05570	0.074018	0.00000	0.000000	586	0	586	74018
rs_max_6031	0.05560	0.075246	0.00000	0.000000	585	0	585	75246
yinyang_11113	0.05427	0.073349	0.00000	0.000000	571	0	571	73349
rs_high_6938	0.05256	0.071088	0.00000	0.000000	553	0	553	71088
aeon_max_0028	0.05151	0.069418	0.00000	0.000000	542	0	542	69418
rs_max_5592	0.05132	0.069401	0.00000	0.000000	540	0	540	69401
rs_max_6098	0.05094	0.068873	0.00000	0.000000	536	0	536	68873
rs_high_7100	0.05085	0.068829	0.00000	0.000000	535	0	535	68829
rs_high_6654	0.05085	0.068753	0.00000	0.000000	535	0	535	68753
rs_medium_7897	0.05009	0.067749	0.00000	0.000000	527	0	527	67749
rs_max_5779	0.04990	0.067418	0.00000	0.000000	525	0	525	67418
rs_max_5468	0.04971	0.067282	0.00000	0.000000	523	0	523	67282
yinyang_10861	0.04961	0.067013	0.00000	0.000000	522	0	522	67013
rs_medium_7731	0.04923	0.066637	0.00000	0.000000	518	0	518	66637
rs_high_6434	0.04904	0.066329	0.00000	0.000000	516	0	516	66329
rs_high_6432	0.04866	0.065830	0.00000	0.000000	512	0	512	65830
yinyang_11001	0.04838	0.065382	0.00000	0.000000	509	0	509	65382
yinyang_10785	0.04800	0.064756	0.00000	0.000000	505	0	505	64756
rs_max_6306	0.04752	0.064278	0.00000	0.000000	500	0	500	64278
rs_high_6789	0.04724	0.063932	0.00000	0.000000	497	0	497	63932
rs_high_6905	0.04638	0.062756	0.00000	0.000000	488	0	488	62756
aeon_medium_2286	0.04638	0.062708	0.00000	0.000000	488	0	488	62708
fountain_medium_4399	0.04629	0.061732	0.00000	0.000000	487	0	487	61732
rs_max_6202	0.04619	0.062405	0.00000	0.000000	486	0	486	62405
rs_high_6635	0.04619	0.062372	0.00000	0.000000	486	0	486	62372
rs_medium_8016	0.04610	0.062295	0.00000	0.000000	485	0	485	62295
rs_high_6968	0.04600	0.062227	0.00000	0.000000	484	0	484	62227
rs_high_6799	0.04553	0.061500	0.00000	0.000000	479	0	479	61500
fountain_medium_5383	0.04553	0.061497	0.00000	0.000000	479	0	479	61497
rs_max_5648	0.04524	0.061030	0.00000	0.000000	476	0	476	61030
yinyang_10858	0.04477	0.060652	0.00000	0.000000	471	0	471	60652
aeon_high_0944	0.04477	0.060407	0.00000	0.000000	471	0	471	60407
aeon_medium_2026	0.04458	0.060366	0.00000	0.000000	469	0	469	60366
fountain_max_2914	0.04429	0.060013	0.00000	0.000000	466	0	466	60013
rs_max_5780	0.04420	0.059931	0.00000	0.000000	465	0	465	59931
yinyang_11214	0.04410	0.059436	0.00000	0.000000	464	0	464	59436
rs_max_5561	0.04410	0.059619	0.00000	0.000000	464	0	464	59619
yinyang_11182	0.04401	0.059502	0.00000	0.000000	463	0	463	59502
rs_max_5860	0.04344	0.058851	0.00000	0.000000	457	0	457	58851
fountain_medium_5166	0.04306	0.058177	0.00000	0.000000	453	0	453	58177
fountain_medium_5328	0.04287	0.058083	0.00000	0.000000	451	0	451	58083
rs_high_6732	0.04258	0.057540	0.00000	0.000000	448	0	448	57540
fountain_medium_5369	0.04239	0.057389	0.00000	0.000000	446	0	446	57389
rs_max_6188	0.04220	0.057112	0.00000	0.000000	444	0	444	57112
rs_medium_7219	0.04182	0.056533	0.00000	0.000000	440	0	440	56533
hedges_8984	0.04182	0.056492	0.00000	0.000000	440	0	440	56492
rs_high_6828	0.04163	0.056344	0.00000	0.000000	438	0	438	56344
goldman_9612	0.04144	0.056029	0.00000	0.000000	436	0	436	56029
hedges_9275	0.04125	0.055807	0.00000	0.000000	434	0	434	55807
rs_high_6546	0.04115	0.055715	0.00000	0.000000	433	0	433	55715
rs_high_6438	0.04106	0.055514	0.00000	0.000000	432	0	432	55514
fountain_max_2981	0.04096	0.055482	0.00000	0.000000	431	0	431	55482
yinyang_11199	0.04087	0.055312	0.00000	0.000000	430	0	430	55312
rs_medium_8050	0.04087	0.055291	0.00000	0.000000	430	0	430	55291
rs_medium_7209	0.04087	0.055236	0.00000	0.000000	430	0	430	55236
rs_high_6764	0.04077	0.055117	0.00000	0.000000	429	0	429	55117
rs_high_6406	0.04068	0.055008	0.00000	0.000000	428	0	428	55008
rs_high_6904	0.04058	0.054761	0.00000	0.000000	427	0	427	54761
rs_max_6220	0.04030	0.054485	0.00000	0.000000	424	0	424	54485
rs_max_5752	0.04020	0.054397	0.00000	0.000000	423	0	423	54397
rs_high_6400	0.04020	0.054415	0.00000	0.000000	423	0	423	54415
aeon_medium_1767	0.04020	0.054372	0.00000	0.000000	423	0	423	54372
yinyang_11204	0.04011	0.054147	0.00000	0.000000	422	0	422	54147
