#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_high_3862	0.12261	0.165432	0.00000	0.000000	1290	0	1290	165432
fountain_high_3562	0.04011	0.054295	0.00000	0.000000	422	0	422	54295
fountain_high_3924	0.03735	0.050581	0.00000	0.000000	393	0	393	50581
fountain_high_3750	0.03631	0.049037	0.00000	0.000000	382	0	382	49037
fountain_high_3738	0.03498	0.047337	0.00000	0.000000	368	0	368	47337
fountain_high_3576	0.03431	0.046319	0.00000	0.000000	361	0	361	46319
fountain_high_3841	0.03365	0.045471	0.00000	0.000000	354	0	354	45471
fountain_high_3469	0.03203	0.043345	0.00000	0.000000	337	0	337	43345
fountain_high_3599	0.03089	0.041807	0.00000	0.000000	325	0	325	41807
fountain_high_3414	0.02766	0.037267	0.00000	0.000000	291	0	291	37267
fountain_high_3899	0.02747	0.037166	0.00000	0.000000	289	0	289	37166
fountain_high_3476	0.02709	0.036669	0.00000	0.000000	285	0	285	36669
fountain_high_3770	0.02652	0.035745	0.00000	0.000000	279	0	279	35745
fountain_high_4063	0.02614	0.035339	0.00000	0.000000	275	0	275	35339
fountain_high_3628	0.02585	0.034986	0.00000	0.000000	272	0	272	34986
fountain_high_3440	0.02566	0.034711	0.00000	0.000000	270	0	270	34711
fountain_high_4184	0.02557	0.034553	0.00000	0.000000	269	0	269	34553
fountain_high_3983	0.02547	0.034266	0.00000	0.000000	268	0	268	34266
fountain_high_3545	0.02538	0.034301	0.00000	0.000000	267	0	267	34301
fountain_high_4155	0.02452	0.033111	0.00000	0.000000	258	0	258	33111
fountain_high_4237	0.02433	0.032937	0.00000	0.000000	256	0	256	32937
fountain_high_3731	0.02433	0.032955	0.00000	0.000000	256	0	256	32955
fountain_high_3405	0.02395	0.032437	0.00000	0.000000	252	0	252	32437
fountain_high_3512	0.02367	0.031992	0.00000	0.000000	249	0	249	31992
fountain_high_3981	0.02357	0.031870	0.00000	0.000000	248	0	248	31870
fountain_high_4142	0.02348	0.031802	0.00000	0.000000	247	0	247	31802
fountain_high_4099	0.02348	0.031789	0.00000	0.000000	247	0	247	31789
fountain_high_3468	0.02291	0.030931	0.00000	0.000000	241	0	241	30931
fountain_high_3409	0.02243	0.030331	0.01416	0.019185	236	149	236	30331
fountain_high_3655	0.02234	0.030144	0.00000	0.000000	235	0	235	30144
fountain_high_3877	0.02186	0.029549	0.00000	0.000000	230	0	230	29549
fountain_high_3781	0.02186	0.029432	0.00000	0.000000	230	0	230	29432
fountain_high_4055	0.02167	0.029338	0.00000	0.000000	228	0	228	29338
fountain_high_4040	0.02148	0.029033	0.00000	0.000000	226	0	226	29033
fountain_high_3627	0.02148	0.029038	0.00000	0.000000	226	0	226	29038
fountain_high_3787	0.02119	0.028658	0.00000	0.000000	223	0	223	28658
fountain_high_3502	0.02110	0.028572	0.00000	0.000000	222	0	222	28572
fountain_high_3946	0.02100	0.028453	0.00000	0.000000	221	0	221	28453
fountain_high_3853	0.02100	0.028438	0.00000	0.000000	221	0	221	28438
fountain_high_3915	0.02034	0.027429	0.00000	0.000000	214	0	214	27429
fountain_high_3842	0.02034	0.027492	0.00000	0.000000	214	0	214	27492
fountain_high_3859	0.02024	0.027423	0.00000	0.000000	213	0	213	27423
fountain_high_4079	0.02005	0.027160	0.00000	0.000000	211	0	211	27160
fountain_high_3673	0.01948	0.026386	0.00000	0.000000	205	0	205	26386
fountain_high_4153	0.01939	0.026261	0.00000	0.000000	204	0	204	26261
fountain_high_3835	0.01939	0.026258	0.00000	0.000000	204	0	204	26258
fountain_high_3769	0.01920	0.025953	0.00000	0.000000	202	0	202	25953
fountain_high_3959	0.01910	0.025828	0.00000	0.000000	201	0	201	25828
fountain_high_3653	0.01872	0.025146	0.00000	0.000000	197	0	197	25146
fountain_high_3928	0.01863	0.025166	0.00000	0.000000	196	0	196	25166
fountain_high_3487	0.01853	0.025101	0.00000	0.000000	195	0	195	25101
fountain_high_4182	0.01834	0.024816	0.00000	0.000000	193	0	193	24816
fountain_high_4109	0.01834	0.024795	0.00000	0.000000	193	0	193	24795
fountain_high_3881	0.01834	0.024789	0.00000	0.000000	193	0	193	24789
fountain_high_4162	0.01815	0.024565	0.00000	0.000000	191	0	191	24565
fountain_high_3838	0.01815	0.024583	0.00000	0.000000	191	0	191	24583
fountain_high_3582	0.01815	0.024578	0.00000	0.000000	191	0	191	24578
fountain_high_4217	0.01796	0.024337	0.00000	0.000000	189	0	189	24337
fountain_high_3836	0.01787	0.024145	0.00000	0.000000	188	0	188	24145
fountain_high_3555	0.01787	0.024199	0.00000	0.000000	188	0	188	24199
fountain_high_3446	0.01777	0.024001	0.00000	0.000000	187	0	187	24001
fountain_high_3847	0.01758	0.023715	0.00000	0.000000	185	0	185	23715
fountain_high_4036	0.01749	0.023619	0.00000	0.000000	184	0	184	23619
fountain_high_3488	0.01749	0.023636	0.00000	0.000000	184	0	184	23636
fountain_high_3940	0.01739	0.023433	0.00000	0.000000	183	0	183	23433
fountain_high_4203	0.01720	0.023322	0.00000	0.000000	181	0	181	23322
fountain_high_3747	0.01711	0.023162	0.00000	0.000000	180	0	180	23162
fountain_high_4116	0.01692	0.022856	0.00000	0.000000	178	0	178	22856
fountain_high_3944	0.01682	0.022769	0.00000	0.000000	177	0	177	22769
fountain_high_3795	0.01682	0.022758	0.00000	0.000000	177	0	177	22758
fountain_high_3735	0.01663	0.022464	0.00000	0.000000	175	0	175	22464
fountain_high_3524	0.01663	0.022530	0.00000	0.000000	175	0	175	22530
fountain_high_4052	0.01654	0.022395	0.00000	0.000000	174	0	174	22395
fountain_high_3574	0.01654	0.022296	0.00000	0.000000	174	0	174	22296
fountain_high_3509	0.01654	0.022410	0.00000	0.000000	174	0	174	22410
fountain_high_3762	0.01616	0.021865	0.00000	0.000000	170	0	170	21865
fountain_high_3427	0.01616	0.021731	0.00000	0.000000	170	0	170	21731
fountain_high_4085	0.01606	0.021704	0.00000	0.000000	169	0	169	21704
fountain_high_4021	0.01559	0.021111	0.00000	0.000000	164	0	164	21111
fountain_high_3858	0.01540	0.020854	0.00000	0.000000	162	0	162	20854
fountain_high_3635	0.01540	0.020872	0.00000	0.000000	162	0	162	20872
fountain_high_4067	0.01530	0.020702	0.00000	0.000000	161	0	161	20702
fountain_high_3598	0.01530	0.020722	0.00000	0.000000	161	0	161	20722
fountain_high_3871	0.01511	0.020385	0.00000	0.000000	159	0	159	20385
fountain_high_3846	0.01511	0.020444	0.00000	0.000000	159	0	159	20444
fountain_high_3839	0.01511	0.020460	0.00000	0.000000	159	0	159	20460
fountain_high_3612	0.01511	0.020457	0.00000	0.000000	159	0	159	20457
fountain_high_4159	0.01502	0.020346	0.00000	0.000000	158	0	158	20346
fountain_high_4046	0.01502	0.020357	0.00000	0.000000	158	0	158	20357
fountain_high_3756	0.01502	0.020249	0.00000	0.000000	158	0	158	20249
fountain_high_3964	0.01492	0.020187	0.00000	0.000000	157	0	157	20187
fountain_high_3633	0.01492	0.020145	0.00000	0.000000	157	0	157	20145
fountain_high_3936	0.01483	0.020041	0.00000	0.000000	156	0	156	20041
fountain_high_3706	0.01483	0.020034	0.00000	0.000000	156	0	156	20034
fountain_high_3513	0.01483	0.020076	0.00000	0.000000	156	0	156	20076
fountain_high_3992	0.01473	0.019961	0.00000	0.000000	155	0	155	19961
fountain_high_3420	0.01473	0.019973	0.00000	0.000000	155	0	155	19973
fountain_high_4009	0.01464	0.019776	0.00000	0.000000	154	0	154	19776
fountain_high_3586	0.01464	0.019716	0.00000	0.000000	154	0	154	19716
fountain_high_4091	0.01445	0.019569	0.00000	0.000000	152	0	152	19569
fountain_high_3601	0.01445	0.019538	0.00000	0.000000	152	0	152	19538
fountain_high_3533	0.01445	0.019551	0.00000	0.000000	152	0	152	19551
fountain_high_4220	0.01435	0.019427	0.00000	0.000000	151	0	151	19427
fountain_high_3740	0.01435	0.019418	0.00000	0.000000	151	0	151	19418
