#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_max_3142	0.12270	0.165542	0.00000	0.000000	1291	0	1291	165542
fountain_max_3027	0.07356	0.099346	0.00000	0.000000	774	0	774	99346
fountain_max_3080	0.05028	0.068076	0.00000	0.000000	529	0	529	68076
fountain_max_2914	0.04429	0.060013	0.00000	0.000000	466	0	466	60013
fountain_max_2981	0.04096	0.055482	0.00000	0.000000	431	0	431	55482
fountain_max_3342	0.03840	0.051893	0.00000	0.000000	404	0	404	51893
fountain_max_3348	0.03745	0.050552	0.00000	0.000000	394	0	394	50552
fountain_max_3366	0.03631	0.049037	0.00000	0.000000	382	0	382	49037
fountain_max_3209	0.03621	0.049060	0.00000	0.000000	381	0	381	49060
fountain_max_2782	0.03545	0.047836	0.00000	0.000000	373	0	373	47836
fountain_max_3299	0.03251	0.044004	0.00000	0.000000	342	0	342	44004
fountain_max_3242	0.03155	0.042723	0.00000	0.000000	332	0	332	42723
fountain_max_3384	0.03089	0.041700	0.00000	0.000000	325	0	325	41700
fountain_max_2967	0.03060	0.041442	0.00000	0.000000	322	0	322	41442
fountain_max_2886	0.03003	0.040557	0.00000	0.000000	316	0	316	40557
fountain_max_3029	0.02994	0.040551	0.00000	0.000000	315	0	315	40551
fountain_max_2987	0.02984	0.040384	0.00000	0.000000	314	0	314	40384
fountain_max_3058	0.02918	0.039503	0.00000	0.000000	307	0	307	39503
fountain_max_3306	0.02870	0.038825	0.00000	0.000000	302	0	302	38825
fountain_max_3097	0.02832	0.038398	0.00000	0.000000	298	0	298	38398
fountain_max_2733	0.02804	0.037955	0.00000	0.000000	295	0	295	37955
fountain_max_2916	0.02747	0.037215	0.00000	0.000000	289	0	289	37215
fountain_max_3310	0.02690	0.036344	0.00000	0.000000	283	0	283	36344
fountain_max_3043	0.02680	0.036156	0.00000	0.000000	282	0	282	36156
fountain_max_2800	0.02642	0.035707	0.00000	0.000000	278	0	278	35707
fountain_max_2738	0.02633	0.035675	0.00000	0.000000	277	0	277	35675
fountain_max_3111	0.02623	0.035422	0.00000	0.000000	276	0	276	35422
fountain_max_2739	0.02585	0.035034	0.00000	0.000000	272	0	272	35034
fountain_max_3269	0.02566	0.034723	0.00000	0.000000	270	0	270	34723
fountain_max_3124	0.02566	0.034710	0.00000	0.000000	270	0	270	34710
fountain_max_2887	0.02566	0.034607	0.00000	0.000000	270	0	270	34607
fountain_max_2995	0.02528	0.034194	0.00000	0.000000	266	0	266	34194
fountain_max_2990	0.02528	0.034208	0.00000	0.000000	266	0	266	34208
fountain_max_3253	0.02471	0.033362	0.00000	0.000000	260	0	260	33362
fountain_max_3011	0.02462	0.033215	0.00000	0.000000	259	0	259	33215
fountain_max_3263	0.02433	0.032927	0.00000	0.000000	256	0	256	32927
fountain_max_2861	0.02405	0.032523	0.00000	0.000000	253	0	253	32523
fountain_max_2776	0.02405	0.032450	0.00000	0.000000	253	0	253	32450
fountain_max_2848	0.02395	0.032434	0.00000	0.000000	252	0	252	32434
fountain_max_3338	0.02376	0.032179	0.00000	0.000000	250	0	250	32179
fountain_max_2966	0.02367	0.031946	0.00000	0.000000	249	0	249	31946
fountain_max_3224	0.02291	0.030967	0.00000	0.000000	241	0	241	30967
fountain_max_3147	0.02253	0.030509	0.00000	0.000000	237	0	237	30509
fountain_max_3323	0.02234	0.030100	0.00000	0.000000	235	0	235	30100
fountain_max_2932	0.02224	0.030157	0.00000	0.000000	234	0	234	30157
fountain_max_3069	0.02215	0.029983	0.00000	0.000000	233	0	233	29983
fountain_max_2882	0.02205	0.029735	0.00000	0.000000	232	0	232	29735
fountain_max_3272	0.02196	0.029670	0.00000	0.000000	231	0	231	29670
fountain_max_2998	0.02186	0.029596	0.00000	0.000000	230	0	230	29596
fountain_max_2890	0.02167	0.029338	0.00000	0.000000	228	0	228	29338
fountain_max_2834	0.02167	0.029325	0.00000	0.000000	228	0	228	29325
fountain_max_2986	0.02148	0.029037	0.00000	0.000000	226	0	226	29037
fountain_max_2839	0.02148	0.029022	0.00000	0.000000	226	0	226	29022
fountain_max_3015	0.02139	0.028978	0.00000	0.000000	225	0	225	28978
fountain_max_2749	0.02119	0.028721	0.00000	0.000000	223	0	223	28721
fountain_max_3367	0.02100	0.028343	0.00000	0.000000	221	0	221	28343
fountain_max_2877	0.02100	0.028357	0.00000	0.000000	221	0	221	28357
fountain_max_3321	0.02091	0.028235	0.00000	0.000000	220	0	220	28235
fountain_max_2784	0.02081	0.028156	0.00000	0.000000	219	0	219	28156
fountain_max_2794	0.02072	0.027983	0.00000	0.000000	218	0	218	27983
fountain_max_2901	0.02053	0.027684	0.00000	0.000000	216	0	216	27684
fountain_max_2830	0.02043	0.027694	0.00000	0.000000	215	0	215	27694
fountain_max_2829	0.02043	0.027665	0.00000	0.000000	215	0	215	27665
fountain_max_2785	0.02024	0.027356	0.00000	0.000000	213	0	213	27356
fountain_max_2991	0.02015	0.027313	0.00000	0.000000	212	0	212	27313
fountain_max_3173	0.02005	0.027148	0.00000	0.000000	211	0	211	27148
fountain_max_3156	0.02005	0.027124	0.00000	0.000000	211	0	211	27124
fountain_max_2838	0.02005	0.027091	0.00000	0.000000	211	0	211	27091
fountain_max_2940	0.01929	0.026074	0.00000	0.000000	203	0	203	26074
fountain_max_2847	0.01929	0.026064	0.00000	0.000000	203	0	203	26064
fountain_max_2897	0.01882	0.025398	0.00000	0.000000	198	0	198	25398
fountain_max_2822	0.01882	0.025455	0.00000	0.000000	198	0	198	25455
fountain_max_3219	0.01872	0.025261	0.00000	0.000000	197	0	197	25261
fountain_max_2844	0.01872	0.025310	0.00000	0.000000	197	0	197	25310
fountain_max_3025	0.01863	0.025162	0.00000	0.000000	196	0	196	25162
fountain_max_2748	0.01863	0.025177	0.00000	0.000000	196	0	196	25177
fountain_max_2716	0.01863	0.025219	0.00000	0.000000	196	0	196	25219
fountain_max_3333	0.01825	0.024726	0.00000	0.000000	192	0	192	24726
fountain_max_2908	0.01825	0.024686	0.00000	0.000000	192	0	192	24686
fountain_max_3301	0.01815	0.024482	0.00000	0.000000	191	0	191	24482
fountain_max_3179	0.01806	0.024438	0.00000	0.000000	190	0	190	24438
fountain_max_3119	0.01796	0.024338	0.00000	0.000000	189	0	189	24338
fountain_max_2905	0.01796	0.024297	0.00000	0.000000	189	0	189	24297
fountain_max_2875	0.01796	0.024294	0.00000	0.000000	189	0	189	24294
fountain_max_3375	0.01787	0.024185	0.00000	0.000000	188	0	188	24185
fountain_max_3032	0.01777	0.024016	0.00000	0.000000	187	0	187	24016
fountain_max_2889	0.01777	0.024019	0.00000	0.000000	187	0	187	24019
fountain_max_3382	0.01768	0.023905	0.00000	0.000000	186	0	186	23905
fountain_max_3136	0.01758	0.023749	0.00000	0.000000	185	0	185	23749
fountain_max_3275	0.01749	0.023683	0.00000	0.000000	184	0	184	23683
fountain_max_3252	0.01739	0.023468	0.00000	0.000000	183	0	183	23468
fountain_max_2788	0.01720	0.023254	0.00000	0.000000	181	0	181	23254
fountain_max_2895	0.01711	0.023094	0.00000	0.000000	180	0	180	23094
fountain_max_3279	0.01701	0.023029	0.00000	0.000000	179	0	179	23029
fountain_max_3083	0.01701	0.023077	0.00000	0.000000	179	0	179	23077
fountain_max_2713	0.01701	0.022966	0.00000	0.000000	179	0	179	22966
fountain_max_2808	0.01692	0.022892	0.00000	0.000000	178	0	178	22892
fountain_max_3006	0.01682	0.022612	0.00000	0.000000	177	0	177	22612
