#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
fountain_medium_4399	0.04629	0.061732	0.00000	0.000000	487	0	487	61732
fountain_medium_5383	0.04553	0.061497	0.00000	0.000000	479	0	479	61497
fountain_medium_5166	0.04306	0.058177	0.00000	0.000000	453	0	453	58177
fountain_medium_5328	0.04287	0.058083	0.00000	0.000000	451	0	451	58083
fountain_medium_5369	0.04239	0.057389	0.00000	0.000000	446	0	446	57389
fountain_medium_5296	0.03887	0.052540	0.00000	0.000000	409	0	409	52540
fountain_medium_4470	0.03716	0.050206	0.00000	0.000000	391	0	391	50206
fountain_medium_4930	0.03659	0.049429	0.00000	0.000000	385	0	385	49429
fountain_medium_5051	0.03327	0.044888	0.00000	0.000000	350	0	350	44888
fountain_medium_5171	0.03270	0.044091	0.00000	0.000000	344	0	344	44091
fountain_medium_4684	0.03241	0.043909	0.00000	0.000000	341	0	341	43909
fountain_medium_4376	0.03060	0.041261	0.00000	0.000000	322	0	322	41261
fountain_medium_4898	0.03022	0.040882	0.00000	0.000000	318	0	318	40882
fountain_medium_4507	0.02975	0.040200	0.00000	0.000000	313	0	313	40200
fountain_medium_4638	0.02946	0.039808	0.00000	0.000000	310	0	310	39808
fountain_medium_4643	0.02927	0.039480	0.00000	0.000000	308	0	308	39480
fountain_medium_5014	0.02899	0.039212	0.00000	0.000000	305	0	305	39212
fountain_medium_4432	0.02823	0.038186	0.00000	0.000000	297	0	297	38186
fountain_medium_4933	0.02766	0.037315	0.00000	0.000000	291	0	291	37315
fountain_medium_4313	0.02766	0.037355	0.00000	0.000000	291	0	291	37355
fountain_medium_4624	0.02709	0.036634	0.00000	0.000000	285	0	285	36634
fountain_medium_4598	0.02671	0.036101	0.00000	0.000000	281	0	281	36101
fountain_medium_4480	0.02623	0.035416	0.00000	0.000000	276	0	276	35416
fountain_medium_5122	0.02557	0.034589	0.00000	0.000000	269	0	269	34589
fountain_medium_4476	0.02509	0.033895	0.00000	0.000000	264	0	264	33895
fountain_medium_4873	0.02500	0.033786	0.00000	0.000000	263	0	263	33786
fountain_medium_4968	0.02490	0.033622	0.00000	0.000000	262	0	262	33622
fountain_medium_4397	0.02462	0.033187	0.00000	0.000000	259	0	259	33187
fountain_medium_5346	0.02433	0.032955	0.00000	0.000000	256	0	256	32955
fountain_medium_4907	0.02395	0.032462	0.00000	0.000000	252	0	252	32462
fountain_medium_4380	0.02348	0.031767	0.00000	0.000000	247	0	247	31767
fountain_medium_4808	0.02329	0.031559	0.00000	0.000000	245	0	245	31559
fountain_medium_4573	0.02291	0.030987	0.00000	0.000000	241	0	241	30987
fountain_medium_5121	0.02281	0.030830	0.00000	0.000000	240	0	240	30830
fountain_medium_4511	0.02253	0.030373	0.00000	0.000000	237	0	237	30373
fountain_medium_5164	0.02215	0.029647	0.00000	0.000000	233	0	233	29647
fountain_medium_5035	0.02186	0.029446	0.00000	0.000000	230	0	230	29446
fountain_medium_5351	0.02167	0.029256	0.00000	0.000000	228	0	228	29256
fountain_medium_4522	0.02167	0.029315	0.00000	0.000000	228	0	228	29315
fountain_medium_4508	0.02167	0.029272	0.00000	0.000000	228	0	228	29272
fountain_medium_4310	0.02158	0.029103	0.00000	0.000000	227	0	227	29103
fountain_medium_5372	0.02139	0.028964	0.00000	0.000000	225	0	225	28964
fountain_medium_4541	0.02119	0.028622	0.00000	0.000000	223	0	223	28622
fountain_medium_5298	0.02100	0.028431	0.00000	0.000000	221	0	221	28431
fountain_medium_4588	0.02100	0.028405	0.00000	0.000000	221	0	221	28405
fountain_medium_4675	0.02091	0.028177	0.00000	0.000000	220	0	220	28177
fountain_medium_4405	0.02091	0.028319	0.00000	0.000000	220	0	220	28319
fountain_medium_5119	0.02081	0.028079	0.00000	0.000000	219	0	219	28079
fountain_medium_5099	0.02081	0.028192	0.00000	0.000000	219	0	219	28192
fountain_medium_4334	0.02081	0.028175	0.00000	0.000000	219	0	219	28175
fountain_medium_5054	0.02072	0.028013	0.00000	0.000000	218	0	218	28013
fountain_medium_5129	0.02043	0.027591	0.00000	0.000000	215	0	215	27591
fountain_medium_4556	0.02043	0.027665	0.00000	0.000000	215	0	215	27665
fountain_medium_4612	0.02034	0.027568	0.00000	0.000000	214	0	214	27568
fountain_medium_4723	0.02024	0.027436	0.00000	0.000000	213	0	213	27436
fountain_medium_4318	0.02015	0.027299	0.00000	0.000000	212	0	212	27299
fountain_medium_5037	0.02005	0.027058	0.00000	0.000000	211	0	211	27058
fountain_medium_5274	0.01996	0.026959	0.00000	0.000000	210	0	210	26959
fountain_medium_4566	0.01967	0.026624	0.00000	0.000000	207	0	207	26624
fountain_medium_5244	0.01939	0.026226	0.00000	0.000000	204	0	204	26226
fountain_medium_4969	0.01920	0.026007	0.00000	0.000000	202	0	202	26007
fountain_medium_5340	0.01901	0.025749	0.00000	0.000000	200	0	200	25749
fountain_medium_4593	0.01901	0.025678	0.00000	0.000000	200	0	200	25678
fountain_medium_4314	0.01901	0.025721	0.00000	0.000000	200	0	200	25721
fountain_medium_4428	0.01872	0.025334	0.00000	0.000000	197	0	197	25334
fountain_medium_4990	0.01863	0.025114	0.00000	0.000000	196	0	196	25114
fountain_medium_4698	0.01853	0.025021	0.00000	0.000000	195	0	195	25021
fountain_medium_4419	0.01844	0.024898	0.00000	0.000000	194	0	194	24898
fountain_medium_5068	0.01834	0.024881	0.00000	0.000000	193	0	193	24881
fountain_medium_4298	0.01834	0.024653	0.00000	0.000000	193	0	193	24653
fountain_medium_4866	0.01825	0.024623	0.00000	0.000000	192	0	192	24623
fountain_medium_5357	0.01815	0.024561	0.00000	0.000000	191	0	191	24561
fountain_medium_5082	0.01815	0.024570	0.00000	0.000000	191	0	191	24570
fountain_medium_4942	0.01815	0.024595	0.00000	0.000000	191	0	191	24595
fountain_medium_5027	0.01806	0.024363	0.00000	0.000000	190	0	190	24363
fountain_medium_4991	0.01806	0.024461	0.00000	0.000000	190	0	190	24461
fountain_medium_4268	0.01787	0.024127	0.00000	0.000000	188	0	188	24127
fountain_medium_5283	0.01777	0.024080	0.00000	0.000000	187	0	187	24080
fountain_medium_4938	0.01777	0.024072	0.00000	0.000000	187	0	187	24072
fountain_medium_5050	0.01768	0.023937	0.00000	0.000000	186	0	186	23937
fountain_medium_4412	0.01749	0.023670	0.00000	0.000000	184	0	184	23670
fountain_medium_4343	0.01739	0.023551	0.00000	0.000000	183	0	183	23551
fountain_medium_5196	0.01730	0.023412	0.00000	0.000000	182	0	182	23412
fountain_medium_5184	0.01730	0.023396	0.00000	0.000000	182	0	182	23396
fountain_medium_4966	0.01730	0.023352	0.00000	0.000000	182	0	182	23352
fountain_medium_4913	0.01720	0.023277	0.00000	0.000000	181	0	181	23277
fountain_medium_4666	0.01720	0.023188	0.00000	0.000000	181	0	181	23188
fountain_medium_5025	0.01711	0.023113	0.00000	0.000000	180	0	180	23113
fountain_medium_4864	0.01711	0.023045	0.00000	0.000000	180	0	180	23045
fountain_medium_4704	0.01701	0.023019	0.00000	0.000000	179	0	179	23019
fountain_medium_4677	0.01701	0.022988	0.00000	0.000000	179	0	179	22988
fountain_medium_5339	0.01692	0.022897	0.00000	0.000000	178	0	178	22897
fountain_medium_4863	0.01692	0.022815	0.00000	0.000000	178	0	178	22815
fountain_medium_5161	0.01682	0.022768	0.00000	0.000000	177	0	177	22768
fountain_medium_4875	0.01682	0.022728	0.00000	0.000000	177	0	177	22728
fountain_medium_5185	0.01654	0.022376	0.00000	0.000000	174	0	174	22376
fountain_medium_5047	0.01654	0.022327	0.00000	0.000000	174	0	174	22327
fountain_medium_4740	0.01644	0.022267	0.00000	0.000000	173	0	173	22267
fountain_medium_5305	0.01635	0.022118	0.00000	0.000000	172	0	172	22118
fountain_medium_4914	0.01635	0.022135	0.00000	0.000000	172	0	172	22135
fountain_medium_4308	0.01635	0.022146	0.00000	0.000000	172	0	172	22146
fountain_medium_4366	0.01625	0.021888	0.00000	0.000000	171	0	171	21888
fountain_medium_4890	0.01616	0.021851	0.00000	0.000000	170	0	170	21851
fountain_medium_4620	0.01616	0.021655	0.00000	0.000000	170	0	170	21655
fountain_medium_4700	0.01597	0.021602	0.00000	0.000000	168	0	168	21602
fountain_medium_5188	0.01587	0.021435	0.00000	0.000000	167	0	167	21435
fountain_medium_4804	0.01587	0.021493	0.00000	0.000000	167	0	167	21493
fountain_medium_4282	0.01587	0.021500	0.00000	0.000000	167	0	167	21500
fountain_medium_4797	0.01568	0.021216	0.00000	0.000000	165	0	165	21216
fountain_medium_4799	0.01559	0.021102	0.00000	0.000000	164	0	164	21102
fountain_medium_4521	0.01559	0.021052	0.00000	0.000000	164	0	164	21052
fountain_medium_4290	0.01549	0.020986	0.00000	0.000000	163	0	163	20986
fountain_medium_4487	0.01540	0.020813	0.00000	0.000000	162	0	162	20813
fountain_medium_5170	0.01530	0.020551	0.00000	0.000000	161	0	161	20551
fountain_medium_5247	0.01521	0.020473	0.00000	0.000000	160	0	160	20473
fountain_medium_4471	0.01521	0.020565	0.00000	0.000000	160	0	160	20565
