#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
goldman_10131	0.05570	0.074018	0.00010	0.000104	586	1	587	74122
goldman_9612	0.04144	0.056029	0.00000	0.000000	436	0	436	56029
goldman_9632	0.03241	0.043809	0.00000	0.000000	341	0	341	43809
goldman_9990	0.03146	0.042521	0.00000	0.000000	331	0	331	42521
goldman_9980	0.02975	0.040161	0.00000	0.000000	313	0	313	40161
goldman_9674	0.02937	0.039731	0.00000	0.000000	309	0	309	39731
goldman_10102	0.02918	0.039421	0.00000	0.000000	307	0	307	39421
goldman_10060	0.02880	0.038969	0.00000	0.000000	303	0	303	38969
goldman_9902	0.02842	0.038349	0.00000	0.000000	299	0	299	38349
goldman_9810	0.02728	0.036925	0.00000	0.000000	287	0	287	36925
goldman_9983	0.02661	0.036050	0.00000	0.000000	280	0	280	36050
goldman_10090	0.02633	0.035617	0.00000	0.000000	277	0	277	35617
goldman_9909	0.02566	0.034758	0.00000	0.000000	270	0	270	34758
goldman_10000	0.02490	0.033561	0.00000	0.000000	262	0	262	33561
goldman_9719	0.02452	0.033147	0.00000	0.000000	258	0	258	33147
goldman_9783	0.02443	0.033038	0.00000	0.000000	257	0	257	33038
goldman_9697	0.02329	0.031504	0.00000	0.000000	245	0	245	31504
goldman_10040	0.02291	0.030796	0.00000	0.000000	241	0	241	30796
goldman_9584	0.02205	0.029705	0.00000	0.000000	232	0	232	29705
goldman_10068	0.02205	0.029858	0.00000	0.000000	232	0	232	29858
goldman_9814	0.02167	0.029206	0.00010	0.000117	228	1	229	29323
goldman_9695	0.02167	0.029342	0.00000	0.000000	228	0	228	29342
goldman_10088	0.02148	0.029018	0.00000	0.000000	226	0	226	29018
goldman_9699	0.02005	0.027112	0.00000	0.000000	211	0	211	27112
goldman_9776	0.01996	0.027020	0.00000	0.000000	210	0	210	27020
goldman_9946	0.01920	0.025999	0.00000	0.000000	202	0	202	25999
goldman_9751	0.01920	0.025967	0.00000	0.000000	202	0	202	25967
goldman_10064	0.01910	0.025835	0.00000	0.000000	201	0	201	25835
goldman_9708	0.01901	0.025568	0.00000	0.000000	200	0	200	25568
goldman_9716	0.01882	0.025449	0.00000	0.000000	198	0	198	25449
goldman_9684	0.01882	0.025462	0.00000	0.000000	198	0	198	25462
goldman_10127	0.01872	0.025319	0.00000	0.000000	197	0	197	25319
goldman_9718	0.01863	0.025223	0.00000	0.000000	196	0	196	25223
goldman_9633	0.01853	0.025091	0.00000	0.000000	195	0	195	25091
goldman_9919	0.01844	0.024948	0.00000	0.000000	194	0	194	24948
goldman_9867	0.01844	0.024952	0.00000	0.000000	194	0	194	24952
goldman_9927	0.01825	0.024661	0.00000	0.000000	192	0	192	24661
goldman_9775	0.01825	0.024644	0.00000	0.000000	192	0	192	24644
goldman_9934	0.01777	0.024029	0.00000	0.000000	187	0	187	24029
goldman_10099	0.01777	0.024049	0.00000	0.000000	187	0	187	24049
goldman_9768	0.01768	0.023756	0.00000	0.000000	186	0	186	23756
goldman_10132	0.01749	0.022962	0.00000	0.000000	184	0	184	22962
goldman_9802	0.01739	0.023574	0.00000	0.000000	183	0	183	23574
goldman_9585	0.01720	0.023231	0.00000	0.000000	181	0	181	23231
goldman_9964	0.01701	0.022901	0.00000	0.000000	179	0	179	22901
goldman_9865	0.01654	0.022369	0.00000	0.000000	174	0	174	22369
goldman_9748	0.01654	0.022371	0.00000	0.000000	174	0	174	22371
goldman_9862	0.01578	0.021327	0.00000	0.000000	166	0	166	21327
goldman_9732	0.01559	0.021008	0.00000	0.000000	164	0	164	21008
goldman_9655	0.01540	0.020719	0.00000	0.000000	162	0	162	20719
goldman_10054	0.01540	0.020822	0.00000	0.000000	162	0	162	20822
goldman_9965	0.01530	0.020715	0.00000	0.000000	161	0	161	20715
goldman_9875	0.01530	0.020626	0.00000	0.000000	161	0	161	20626
goldman_9691	0.01530	0.020641	0.00000	0.000000	161	0	161	20641
goldman_9696	0.01521	0.020609	0.00000	0.000000	160	0	160	20609
goldman_9737	0.01502	0.020341	0.00000	0.000000	158	0	158	20341
goldman_9798	0.01492	0.020127	0.00000	0.000000	157	0	157	20127
goldman_9623	0.01492	0.020157	0.00000	0.000000	157	0	157	20157
goldman_9587	0.01492	0.020183	0.00000	0.000000	157	0	157	20183
goldman_9995	0.01473	0.019938	0.00000	0.000000	155	0	155	19938
goldman_9830	0.01464	0.019749	0.00000	0.000000	154	0	154	19749
goldman_9602	0.01464	0.019786	0.00000	0.000000	154	0	154	19786
goldman_9616	0.01445	0.019368	0.00000	0.000000	152	0	152	19368
goldman_9592	0.01445	0.019430	0.00000	0.000000	152	0	152	19430
goldman_10080	0.01445	0.019562	0.00000	0.000000	152	0	152	19562
goldman_9951	0.01435	0.019429	0.00000	0.000000	151	0	151	19429
goldman_9926	0.01435	0.019395	0.00000	0.000000	151	0	151	19395
goldman_9834	0.01407	0.019038	0.00000	0.000000	148	0	148	19038
goldman_9755	0.01407	0.019029	0.00000	0.000000	148	0	148	19029
goldman_9589	0.01407	0.019026	0.00000	0.000000	148	0	148	19026
goldman_9780	0.01397	0.018917	0.00000	0.000000	147	0	147	18917
goldman_9967	0.01359	0.018338	0.00000	0.000000	143	0	143	18338
goldman_10046	0.01359	0.018401	0.00000	0.000000	143	0	143	18401
goldman_10547	0.01350	0.017494	0.00000	0.000000	142	0	142	17494
goldman_9757	0.01340	0.018106	0.00000	0.000000	141	0	141	18106
goldman_9835	0.01331	0.018020	0.00000	0.000000	140	0	140	18020
goldman_9879	0.01312	0.017769	0.00000	0.000000	138	0	138	17769
goldman_10019	0.01312	0.017757	0.00000	0.000000	138	0	138	17757
goldman_9704	0.01302	0.017644	0.00000	0.000000	137	0	137	17644
goldman_10016	0.01302	0.017567	0.00000	0.000000	137	0	137	17567
goldman_9897	0.01274	0.017180	0.00000	0.000000	134	0	134	17180
goldman_9821	0.01274	0.017137	0.00000	0.000000	134	0	134	17137
goldman_9978	0.01264	0.017110	0.00000	0.000000	133	0	133	17110
goldman_9786	0.01264	0.017110	0.00000	0.000000	133	0	133	17110
goldman_9892	0.01245	0.016859	0.00000	0.000000	131	0	131	16859
goldman_9774	0.01245	0.016877	0.00000	0.000000	131	0	131	16877
goldman_9607	0.01236	0.016639	0.00000	0.000000	130	0	130	16639
goldman_10108	0.01236	0.016730	0.00000	0.000000	130	0	130	16730
goldman_9915	0.01226	0.016571	0.00000	0.000000	129	0	129	16571
goldman_9576	0.01226	0.016617	0.00000	0.000000	129	0	129	16617
goldman_10325	0.01226	0.015818	0.00000	0.000000	129	0	129	15818
goldman_10076	0.01226	0.016587	0.00000	0.000000	129	0	129	16587
goldman_10381	0.01217	0.015632	0.00000	0.000000	128	0	128	15632
goldman_9913	0.01207	0.016266	0.00000	0.000000	127	0	127	16266
goldman_9881	0.01207	0.016321	0.00000	0.000000	127	0	127	16321
goldman_10577	0.01188	0.015328	0.00010	0.000104	125	1	126	15432
goldman_9971	0.01188	0.016096	0.00000	0.000000	125	0	125	16096
goldman_9847	0.01188	0.016074	0.00000	0.000000	125	0	125	16074
goldman_10045	0.01179	0.015954	0.00000	0.000000	124	0	124	15954
goldman_9725	0.01169	0.015834	0.00000	0.000000	123	0	123	15834
goldman_10477	0.01169	0.015250	0.00000	0.000000	123	0	123	15250
goldman_10098	0.01169	0.015799	0.00000	0.000000	123	0	123	15799
goldman_9898	0.01160	0.015701	0.00000	0.000000	122	0	122	15701
goldman_10217	0.01160	0.014875	0.00000	0.000000	122	0	122	14875
goldman_10493	0.01141	0.014627	0.00000	0.000000	120	0	120	14627
goldman_10387	0.01141	0.014635	0.00000	0.000000	120	0	120	14635
goldman_10096	0.01141	0.015443	0.00000	0.000000	120	0	120	15443
goldman_9963	0.01131	0.015314	0.00000	0.000000	119	0	119	15314
goldman_9950	0.01131	0.015337	0.00000	0.000000	119	0	119	15337
goldman_9853	0.01131	0.015265	0.00000	0.000000	119	0	119	15265
goldman_9743	0.01112	0.015006	0.00000	0.000000	117	0	117	15006
goldman_9577	0.01112	0.014995	0.00000	0.000000	117	0	117	14995
goldman_9734	0.01093	0.014746	0.00000	0.000000	115	0	115	14746
goldman_9955	0.01084	0.014660	0.00000	0.000000	114	0	114	14660
goldman_9863	0.01065	0.014377	0.00000	0.000000	112	0	112	14377
goldman_9594	0.01065	0.014410	0.00000	0.000000	112	0	112	14410
goldman_10002	0.01065	0.014398	0.00000	0.000000	112	0	112	14398
goldman_9817	0.01045	0.014139	0.00000	0.000000	110	0	110	14139
goldman_9564	0.01045	0.014183	0.00000	0.000000	110	0	110	14183
goldman_9857	0.01036	0.014008	0.00000	0.000000	109	0	109	14008
goldman_9779	0.01036	0.014042	0.00000	0.000000	109	0	109	14042
goldman_9827	0.01026	0.013855	0.00000	0.000000	108	0	108	13855
goldman_9750	0.01026	0.013883	0.00000	0.000000	108	0	108	13883
goldman_10058	0.01026	0.013900	0.00000	0.000000	108	0	108	13900
goldman_9938	0.01017	0.013739	0.00000	0.000000	107	0	107	13739
goldman_9791	0.01017	0.013732	0.00000	0.000000	107	0	107	13732
goldman_9959	0.00998	0.013512	0.00000	0.000000	105	0	105	13512
goldman_9957	0.00998	0.013514	0.00000	0.000000	105	0	105	13514
