#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
hedges_8379	0.07271	0.098345	0.00000	0.000000	765	0	765	98345
hedges_8984	0.04182	0.056492	0.00000	0.000000	440	0	440	56492
hedges_9275	0.04125	0.055807	0.00000	0.000000	434	0	434	55807
hedges_8740	0.04011	0.054349	0.00000	0.000000	422	0	422	54349
hedges_8676	0.04011	0.054176	0.00000	0.000000	422	0	422	54176
hedges_8550	0.03982	0.053913	0.00000	0.000000	419	0	419	53913
hedges_8815	0.03944	0.053375	0.00000	0.000000	415	0	415	53375
hedges_8886	0.03906	0.052880	0.00000	0.000000	411	0	411	52880
hedges_8690	0.03830	0.051783	0.00000	0.000000	403	0	403	51783
hedges_8561	0.03830	0.051844	0.00000	0.000000	403	0	403	51844
hedges_9200	0.03821	0.051740	0.00000	0.000000	402	0	402	51740
hedges_8532	0.03802	0.051340	0.00000	0.000000	400	0	400	51340
hedges_8395	0.03792	0.051348	0.00000	0.000000	399	0	399	51348
hedges_8956	0.03593	0.048645	0.00000	0.000000	378	0	378	48645
hedges_8906	0.03536	0.047884	0.00000	0.000000	372	0	372	47884
hedges_8892	0.03517	0.047566	0.00000	0.000000	370	0	370	47566
hedges_8753	0.03488	0.047177	0.00000	0.000000	367	0	367	47177
hedges_9540	0.03469	0.046878	0.00000	0.000000	365	0	365	46878
hedges_8486	0.03422	0.045957	0.00000	0.000000	360	0	360	45957
hedges_9393	0.03365	0.045544	0.00000	0.000000	354	0	354	45544
hedges_9429	0.03308	0.044796	0.00000	0.000000	348	0	348	44796
hedges_8430	0.03146	0.042595	0.00000	0.000000	331	0	331	42595
hedges_8938	0.03136	0.042059	0.00000	0.000000	330	0	330	42059
hedges_9421	0.03108	0.041884	0.00000	0.000000	327	0	327	41884
hedges_8584	0.03070	0.041414	0.00000	0.000000	323	0	323	41414
hedges_9156	0.03051	0.041221	0.00000	0.000000	321	0	321	41221
hedges_8544	0.03032	0.040874	0.00000	0.000000	319	0	319	40874
hedges_8405	0.03003	0.040556	0.00000	0.000000	316	0	316	40556
hedges_8856	0.02984	0.040277	0.00000	0.000000	314	0	314	40277
hedges_8581	0.02975	0.040165	0.00000	0.000000	313	0	313	40165
hedges_9244	0.02908	0.039368	0.00000	0.000000	306	0	306	39368
hedges_8934	0.02823	0.038043	0.00000	0.000000	297	0	297	38043
hedges_8516	0.02813	0.038059	0.00000	0.000000	296	0	296	38059
hedges_9297	0.02775	0.037569	0.00000	0.000000	292	0	292	37569
hedges_8332	0.02766	0.037315	0.00000	0.000000	291	0	291	37315
hedges_8645	0.02709	0.036436	0.00000	0.000000	285	0	285	36436
hedges_8566	0.02680	0.036230	0.00000	0.000000	282	0	282	36230
hedges_8985	0.02652	0.035901	0.00000	0.000000	279	0	279	35901
hedges_8292	0.02642	0.035825	0.00000	0.000000	278	0	278	35825
hedges_8539	0.02576	0.034915	0.00000	0.000000	271	0	271	34915
hedges_9340	0.02566	0.034653	0.00000	0.000000	270	0	270	34653
hedges_8540	0.02528	0.034257	0.00000	0.000000	266	0	266	34257
hedges_8418	0.02519	0.033772	0.00000	0.000000	265	0	265	33772
hedges_8311	0.02481	0.033589	0.00000	0.000000	261	0	261	33589
hedges_9047	0.02452	0.033227	0.00000	0.000000	258	0	258	33227
hedges_8296	0.02452	0.033117	0.00000	0.000000	258	0	258	33117
hedges_9091	0.02433	0.032964	0.00000	0.000000	256	0	256	32964
hedges_9284	0.02424	0.032772	0.00000	0.000000	255	0	255	32772
hedges_8481	0.02405	0.032499	0.00000	0.000000	253	0	253	32499
hedges_9057	0.02395	0.032377	0.00000	0.000000	252	0	252	32377
hedges_9519	0.02386	0.032183	0.00000	0.000000	251	0	251	32183
hedges_9053	0.02386	0.032276	0.00000	0.000000	251	0	251	32276
hedges_8691	0.02386	0.032299	0.00000	0.000000	251	0	251	32299
hedges_9191	0.02376	0.032013	0.00000	0.000000	250	0	250	32013
hedges_8947	0.02367	0.032005	0.00000	0.000000	249	0	249	32005
hedges_9459	0.02357	0.031912	0.00000	0.000000	248	0	248	31912
hedges_9163	0.02329	0.031537	0.00000	0.000000	245	0	245	31537
hedges_9073	0.02319	0.031238	0.00000	0.000000	244	0	244	31238
hedges_9293	0.02310	0.031243	0.00000	0.000000	243	0	243	31243
hedges_8950	0.02310	0.031257	0.00000	0.000000	243	0	243	31257
hedges_8284	0.02300	0.031139	0.00000	0.000000	242	0	242	31139
hedges_8313	0.02291	0.030984	0.00000	0.000000	241	0	241	30984
hedges_8952	0.02281	0.030846	0.00000	0.000000	240	0	240	30846
hedges_8490	0.02272	0.030671	0.00000	0.000000	239	0	239	30671
hedges_9216	0.02262	0.030603	0.00000	0.000000	238	0	238	30603
hedges_9067	0.02262	0.030623	0.00000	0.000000	238	0	238	30623
hedges_9469	0.02253	0.030483	0.00000	0.000000	237	0	237	30483
hedges_9032	0.02253	0.030469	0.00000	0.000000	237	0	237	30469
hedges_9136	0.02215	0.030032	0.00000	0.000000	233	0	233	30032
hedges_9044	0.02215	0.030015	0.00000	0.000000	233	0	233	30015
hedges_8708	0.02215	0.029960	0.00000	0.000000	233	0	233	29960
hedges_8643	0.02215	0.029911	0.00000	0.000000	233	0	233	29911
hedges_8453	0.02177	0.029497	0.00000	0.000000	229	0	229	29497
hedges_8962	0.02167	0.029211	0.00000	0.000000	228	0	228	29211
hedges_8448	0.02167	0.029360	0.00000	0.000000	228	0	228	29360
hedges_9487	0.02158	0.029107	0.00000	0.000000	227	0	227	29107
hedges_8775	0.02158	0.029184	0.00000	0.000000	227	0	227	29184
hedges_9198	0.02148	0.029009	0.00000	0.000000	226	0	226	29009
hedges_8837	0.02148	0.029102	0.00000	0.000000	226	0	226	29102
