#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_high_6380	0.08697	0.117699	0.00000	0.000000	915	0	915	117699
rs_high_6416	0.07195	0.097478	0.00000	0.000000	757	0	757	97478
rs_high_6594	0.06292	0.084767	0.00000	0.000000	662	0	662	84767
rs_high_6963	0.05912	0.079864	0.00000	0.000000	622	0	622	79864
rs_high_6938	0.05256	0.071088	0.00000	0.000000	553	0	553	71088
rs_high_7100	0.05085	0.068829	0.00000	0.000000	535	0	535	68829
rs_high_6654	0.05085	0.068753	0.00000	0.000000	535	0	535	68753
rs_high_6434	0.04904	0.066329	0.00000	0.000000	516	0	516	66329
rs_high_6432	0.04866	0.065830	0.00000	0.000000	512	0	512	65830
rs_high_6789	0.04724	0.063932	0.00000	0.000000	497	0	497	63932
rs_high_6905	0.04638	0.062756	0.00000	0.000000	488	0	488	62756
rs_high_6635	0.04619	0.062372	0.00000	0.000000	486	0	486	62372
rs_high_6968	0.04600	0.062227	0.00000	0.000000	484	0	484	62227
rs_high_6799	0.04553	0.061500	0.00000	0.000000	479	0	479	61500
rs_high_6732	0.04258	0.057540	0.00000	0.000000	448	0	448	57540
rs_high_6828	0.04163	0.056344	0.00000	0.000000	438	0	438	56344
rs_high_6546	0.04115	0.055715	0.00000	0.000000	433	0	433	55715
rs_high_6438	0.04106	0.055514	0.00000	0.000000	432	0	432	55514
rs_high_6764	0.04077	0.055117	0.00000	0.000000	429	0	429	55117
rs_high_6406	0.04068	0.055008	0.00000	0.000000	428	0	428	55008
rs_high_6904	0.04058	0.054761	0.00000	0.000000	427	0	427	54761
rs_high_6400	0.04020	0.054415	0.00000	0.000000	423	0	423	54415
rs_high_7117	0.04011	0.054228	0.00000	0.000000	422	0	422	54228
rs_high_6911	0.03992	0.053973	0.00000	0.000000	420	0	420	53973
rs_high_6700	0.03992	0.053858	0.00000	0.000000	420	0	420	53858
rs_high_7108	0.03944	0.053382	0.00000	0.000000	415	0	415	53382
rs_high_6547	0.03925	0.053141	0.00000	0.000000	413	0	413	53141
rs_high_6421	0.03849	0.052174	0.00000	0.000000	405	0	405	52174
rs_high_7102	0.03735	0.050471	0.00000	0.000000	393	0	393	50471
rs_high_6923	0.03688	0.049869	0.00000	0.000000	388	0	388	49869
rs_high_6730	0.03678	0.049647	0.00000	0.000000	387	0	387	49647
rs_high_7031	0.03659	0.049518	0.00000	0.000000	385	0	385	49518
rs_high_6792	0.03602	0.048637	0.00000	0.000000	379	0	379	48637
rs_high_6972	0.03583	0.048447	0.00000	0.000000	377	0	377	48447
rs_high_6355	0.03526	0.047697	0.00000	0.000000	371	0	371	47697
rs_high_6636	0.03507	0.047459	0.00000	0.000000	369	0	369	47459
rs_high_6952	0.03498	0.047361	0.00000	0.000000	368	0	368	47361
rs_high_6916	0.03498	0.047284	0.00000	0.000000	368	0	368	47284
rs_high_6365	0.03498	0.047214	0.00000	0.000000	368	0	368	47214
rs_high_6907	0.03469	0.046962	0.00000	0.000000	365	0	365	46962
rs_high_6554	0.03412	0.046186	0.00000	0.000000	359	0	359	46186
rs_high_6872	0.03327	0.045042	0.00000	0.000000	350	0	350	45042
rs_high_6947	0.03298	0.044540	0.00000	0.000000	347	0	347	44540
rs_high_6550	0.03279	0.043920	0.00000	0.000000	345	0	345	43920
rs_high_6387	0.03279	0.044212	0.00000	0.000000	345	0	345	44212
rs_high_7008	0.03270	0.044295	0.00000	0.000000	344	0	344	44295
rs_high_6596	0.03251	0.043965	0.00000	0.000000	342	0	342	43965
rs_high_7061	0.03213	0.043495	0.00000	0.000000	338	0	338	43495
rs_high_6652	0.03194	0.043218	0.00000	0.000000	336	0	336	43218
rs_high_7074	0.03184	0.043117	0.00000	0.000000	335	0	335	43117
rs_high_6915	0.03184	0.043059	0.00000	0.000000	335	0	335	43059
rs_high_7115	0.03146	0.042622	0.00000	0.000000	331	0	331	42622
rs_high_6607	0.03146	0.042552	0.00000	0.000000	331	0	331	42552
rs_high_7048	0.03127	0.042331	0.00000	0.000000	329	0	329	42331
rs_high_6412	0.03127	0.042375	0.00000	0.000000	329	0	329	42375
rs_high_6933	0.03041	0.041166	0.00000	0.000000	320	0	320	41166
rs_high_7051	0.03032	0.041032	0.00000	0.000000	319	0	319	41032
rs_high_6668	0.02984	0.040350	0.00000	0.000000	314	0	314	40350
rs_high_6782	0.02975	0.040208	0.00000	0.000000	313	0	313	40208
rs_high_6520	0.02975	0.040154	0.00000	0.000000	313	0	313	40154
rs_high_6485	0.02975	0.040169	0.00000	0.000000	313	0	313	40169
rs_high_6946	0.02965	0.040061	0.00000	0.000000	312	0	312	40061
rs_high_7056	0.02956	0.039909	0.00000	0.000000	311	0	311	39909
rs_high_7150	0.02937	0.039657	0.00000	0.000000	309	0	309	39657
rs_high_6855	0.02937	0.039635	0.00000	0.000000	309	0	309	39635
rs_high_6974	0.02927	0.039619	0.00000	0.000000	308	0	308	39619
rs_high_6959	0.02889	0.039055	0.00000	0.000000	304	0	304	39055
rs_high_7118	0.02880	0.039030	0.00000	0.000000	303	0	303	39030
rs_high_7047	0.02870	0.038686	0.00000	0.000000	302	0	302	38686
rs_high_6747	0.02851	0.038621	0.00000	0.000000	300	0	300	38621
rs_high_6676	0.02842	0.038481	0.00000	0.000000	299	0	299	38481
rs_high_6876	0.02832	0.038322	0.00000	0.000000	298	0	298	38322
rs_high_6399	0.02832	0.038234	0.00000	0.000000	298	0	298	38234
rs_high_6940	0.02823	0.038273	0.00000	0.000000	297	0	297	38273
rs_high_6840	0.02785	0.037718	0.00000	0.000000	293	0	293	37718
rs_high_6371	0.02775	0.037514	0.00000	0.000000	292	0	292	37514
rs_high_6402	0.02756	0.037282	0.00000	0.000000	290	0	290	37282
rs_high_6350	0.02756	0.037198	0.00000	0.000000	290	0	290	37198
rs_high_6962	0.02747	0.037047	0.00000	0.000000	289	0	289	37047
rs_high_6969	0.02728	0.036929	0.00000	0.000000	287	0	287	36929
rs_high_6806	0.02728	0.036898	0.00000	0.000000	287	0	287	36898
rs_high_6682	0.02728	0.036886	0.00000	0.000000	287	0	287	36886
rs_high_6491	0.02728	0.036908	0.00000	0.000000	287	0	287	36908
rs_high_6793	0.02690	0.036465	0.00000	0.000000	283	0	283	36465
rs_high_6390	0.02690	0.036273	0.00000	0.000000	283	0	283	36273
rs_high_7139	0.02671	0.036046	0.00000	0.000000	281	0	281	36046
rs_high_6397	0.02671	0.036187	0.00000	0.000000	281	0	281	36187
rs_high_6374	0.02661	0.035997	0.00000	0.000000	280	0	280	35997
rs_high_6507	0.02652	0.035832	0.00000	0.000000	279	0	279	35832
rs_high_7103	0.02633	0.035641	0.00000	0.000000	277	0	277	35641
rs_high_6720	0.02633	0.035635	0.00000	0.000000	277	0	277	35635
rs_high_6964	0.02614	0.035289	0.00000	0.000000	275	0	275	35289
rs_high_6797	0.02614	0.035306	0.00000	0.000000	275	0	275	35306
rs_high_6523	0.02614	0.035304	0.00000	0.000000	275	0	275	35304
rs_high_6918	0.02604	0.035271	0.00000	0.000000	274	0	274	35271
rs_high_6897	0.02604	0.035301	0.00000	0.000000	274	0	274	35301
rs_high_6543	0.02566	0.034744	0.00000	0.000000	270	0	270	34744
rs_high_7105	0.02557	0.034676	0.00000	0.000000	269	0	269	34676
rs_high_6961	0.02557	0.034566	0.00000	0.000000	269	0	269	34566
rs_high_6467	0.02547	0.034422	0.00000	0.000000	268	0	268	34422
rs_high_6430	0.02547	0.034502	0.00000	0.000000	268	0	268	34502
rs_high_6591	0.02538	0.034382	0.00000	0.000000	267	0	267	34382
rs_high_6618	0.02528	0.034225	0.00000	0.000000	266	0	266	34225
rs_high_6860	0.02519	0.034128	0.00000	0.000000	265	0	265	34128
rs_high_6589	0.02481	0.033479	0.00000	0.000000	261	0	261	33479
rs_high_6436	0.02481	0.033607	0.00000	0.000000	261	0	261	33607
rs_high_6865	0.02471	0.033493	0.00000	0.000000	260	0	260	33493
rs_high_6702	0.02471	0.033398	0.00000	0.000000	260	0	260	33398
rs_high_6549	0.02471	0.033445	0.00000	0.000000	260	0	260	33445
rs_high_7129	0.02462	0.033267	0.00000	0.000000	259	0	259	33267
rs_high_6613	0.02462	0.033294	0.00000	0.000000	259	0	259	33294
rs_high_7145	0.02452	0.033165	0.00000	0.000000	258	0	258	33165
rs_high_6592	0.02414	0.032671	0.00000	0.000000	254	0	254	32671
rs_high_6384	0.02414	0.032591	0.00000	0.000000	254	0	254	32591
rs_high_6506	0.02405	0.032572	0.00000	0.000000	253	0	253	32572
