#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_max_6103	0.08773	0.118514	0.00000	0.000000	923	0	923	118514
rs_max_5518	0.07556	0.102292	0.00000	0.000000	795	0	795	102292
rs_max_5650	0.05684	0.076746	0.00000	0.000000	598	0	598	76746
rs_max_6031	0.05560	0.075246	0.00000	0.000000	585	0	585	75246
rs_max_5592	0.05132	0.069401	0.00000	0.000000	540	0	540	69401
rs_max_6098	0.05094	0.068873	0.00000	0.000000	536	0	536	68873
rs_max_5779	0.04990	0.067418	0.00000	0.000000	525	0	525	67418
rs_max_5468	0.04971	0.067282	0.00000	0.000000	523	0	523	67282
rs_max_6306	0.04752	0.064278	0.00000	0.000000	500	0	500	64278
rs_max_6202	0.04619	0.062405	0.00000	0.000000	486	0	486	62405
rs_max_5648	0.04524	0.061030	0.00000	0.000000	476	0	476	61030
rs_max_5780	0.04420	0.059931	0.00000	0.000000	465	0	465	59931
rs_max_5561	0.04410	0.059619	0.00000	0.000000	464	0	464	59619
rs_max_5860	0.04344	0.058851	0.00000	0.000000	457	0	457	58851
rs_max_6188	0.04220	0.057112	0.00000	0.000000	444	0	444	57112
rs_max_6220	0.04030	0.054485	0.00000	0.000000	424	0	424	54485
rs_max_5752	0.04020	0.054397	0.00000	0.000000	423	0	423	54397
rs_max_5761	0.03973	0.053703	0.00000	0.000000	418	0	418	53703
rs_max_5579	0.03963	0.053476	0.00000	0.000000	417	0	417	53476
rs_max_6218	0.03887	0.052713	0.00000	0.000000	409	0	409	52713
rs_max_5563	0.03783	0.051239	0.00000	0.000000	398	0	398	51239
rs_max_5715	0.03764	0.051013	0.00000	0.000000	396	0	396	51013
rs_max_5720	0.03754	0.050760	0.00000	0.000000	395	0	395	50760
rs_max_5435	0.03697	0.050004	0.00000	0.000000	389	0	389	50004
rs_max_6237	0.03659	0.049443	0.00000	0.000000	385	0	385	49443
rs_max_5671	0.03602	0.048707	0.00000	0.000000	379	0	379	48707
rs_max_6165	0.03536	0.047752	0.00000	0.000000	372	0	372	47752
