#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_medium_7987	0.06225	0.084092	0.00000	0.000000	655	0	655	84092
rs_medium_7897	0.05009	0.067749	0.00000	0.000000	527	0	527	67749
rs_medium_7731	0.04923	0.066637	0.00000	0.000000	518	0	518	66637
rs_medium_8016	0.04610	0.062295	0.00000	0.000000	485	0	485	62295
rs_medium_7219	0.04182	0.056533	0.00000	0.000000	440	0	440	56533
rs_medium_8050	0.04087	0.055291	0.00000	0.000000	430	0	430	55291
rs_medium_7209	0.04087	0.055236	0.00000	0.000000	430	0	430	55236
rs_medium_7170	0.03954	0.053399	0.00000	0.000000	416	0	416	53399
rs_medium_7920	0.03935	0.053244	0.00000	0.000000	414	0	414	53244
rs_medium_7856	0.03878	0.052321	0.00000	0.000000	408	0	408	52321
rs_medium_8059	0.03868	0.052235	0.00000	0.000000	407	0	407	52235
rs_medium_7944	0.03669	0.049487	0.00000	0.000000	386	0	386	49487
rs_medium_7805	0.03669	0.049666	0.00000	0.000000	386	0	386	49666
rs_medium_7326	0.03621	0.048931	0.00000	0.000000	381	0	381	48931
rs_medium_8089	0.03498	0.047345	0.00000	0.000000	368	0	368	47345
rs_medium_7941	0.03450	0.046706	0.00000	0.000000	363	0	363	46706
rs_medium_8152	0.03327	0.044981	0.00000	0.000000	350	0	350	44981
rs_medium_8273	0.03298	0.044630	0.00000	0.000000	347	0	347	44630
rs_medium_7722	0.03298	0.044536	0.00000	0.000000	347	0	347	44536
rs_medium_7237	0.03289	0.044454	0.00000	0.000000	346	0	346	44454
rs_medium_7783	0.03155	0.042700	0.00000	0.000000	332	0	332	42700
rs_medium_7719	0.03146	0.042574	0.00000	0.000000	331	0	331	42574
rs_medium_7530	0.03136	0.042419	0.00000	0.000000	330	0	330	42419
rs_medium_8020	0.03070	0.041594	0.00000	0.000000	323	0	323	41594
rs_medium_7849	0.03070	0.041511	0.00000	0.000000	323	0	323	41511
rs_medium_7429	0.03070	0.041534	0.00000	0.000000	323	0	323	41534
rs_medium_8005	0.03060	0.041355	0.00000	0.000000	322	0	322	41355
rs_medium_8237	0.03013	0.040775	0.00000	0.000000	317	0	317	40775
rs_medium_7916	0.02994	0.040488	0.00000	0.000000	315	0	315	40488
rs_medium_7493	0.02956	0.040080	0.00000	0.000000	311	0	311	40080
rs_medium_7179	0.02937	0.039644	0.00000	0.000000	309	0	309	39644
rs_medium_7977	0.02918	0.039551	0.00000	0.000000	307	0	307	39551
rs_medium_7981	0.02889	0.038906	0.00000	0.000000	304	0	304	38906
rs_medium_8241	0.02870	0.038879	0.00000	0.000000	302	0	302	38879
rs_medium_7794	0.02861	0.038765	0.00000	0.000000	301	0	301	38765
rs_medium_7564	0.02842	0.038362	0.00000	0.000000	299	0	299	38362
rs_medium_7546	0.02823	0.038181	0.00000	0.000000	297	0	297	38181
rs_medium_7459	0.02813	0.038019	0.00000	0.000000	296	0	296	38019
rs_medium_8102	0.02775	0.037573	0.00000	0.000000	292	0	292	37573
rs_medium_7439	0.02775	0.037400	0.00000	0.000000	292	0	292	37400
rs_medium_8271	0.02766	0.037335	0.00000	0.000000	291	0	291	37335
rs_medium_7782	0.02737	0.037065	0.00000	0.000000	288	0	288	37065
rs_medium_8240	0.02728	0.036882	0.00000	0.000000	287	0	287	36882
rs_medium_7923	0.02728	0.036889	0.00000	0.000000	287	0	287	36889
rs_medium_7523	0.02728	0.036967	0.00000	0.000000	287	0	287	36967
rs_medium_7752	0.02690	0.036343	0.00000	0.000000	283	0	283	36343
rs_medium_7314	0.02690	0.036300	0.00000	0.000000	283	0	283	36300
rs_medium_7717	0.02680	0.036254	0.00000	0.000000	282	0	282	36254
rs_medium_7681	0.02671	0.036197	0.00000	0.000000	281	0	281	36197
rs_medium_7775	0.02661	0.036071	0.00000	0.000000	280	0	280	36071
rs_medium_7883	0.02642	0.035795	0.00000	0.000000	278	0	278	35795
rs_medium_8126	0.02633	0.035592	0.00000	0.000000	277	0	277	35592
rs_medium_8249	0.02623	0.035475	0.00000	0.000000	276	0	276	35475
rs_medium_8007	0.02614	0.035368	0.00000	0.000000	275	0	275	35368
rs_medium_7336	0.02614	0.035286	0.00000	0.000000	275	0	275	35286
rs_medium_7443	0.02604	0.035284	0.00000	0.000000	274	0	274	35284
rs_medium_8148	0.02595	0.035094	0.00000	0.000000	273	0	273	35094
rs_medium_7629	0.02585	0.034945	0.00000	0.000000	272	0	272	34945
rs_medium_7543	0.02585	0.034975	0.00000	0.000000	272	0	272	34975
rs_medium_7508	0.02585	0.034808	0.00000	0.000000	272	0	272	34808
rs_medium_7996	0.02547	0.034201	0.00000	0.000000	268	0	268	34201
rs_medium_7667	0.02538	0.034325	0.00000	0.000000	267	0	267	34325
rs_medium_7875	0.02528	0.034277	0.00000	0.000000	266	0	266	34277
rs_medium_7265	0.02519	0.033983	0.00000	0.000000	265	0	265	33983
rs_medium_7866	0.02509	0.033903	0.00000	0.000000	264	0	264	33903
rs_medium_8094	0.02462	0.033241	0.00000	0.000000	259	0	259	33241
rs_medium_7809	0.02462	0.033285	0.00000	0.000000	259	0	259	33285
rs_medium_7243	0.02452	0.033149	0.00000	0.000000	258	0	258	33149
rs_medium_7280	0.02443	0.033066	0.00000	0.000000	257	0	257	33066
rs_medium_7889	0.02424	0.032732	0.00000	0.000000	255	0	255	32732
rs_medium_7231	0.02395	0.032333	0.00000	0.000000	252	0	252	32333
rs_medium_7201	0.02395	0.032395	0.00000	0.000000	252	0	252	32395
rs_medium_7768	0.02367	0.032008	0.00000	0.000000	249	0	249	32008
rs_medium_7973	0.02357	0.031846	0.00000	0.000000	248	0	248	31846
rs_medium_7549	0.02357	0.031938	0.00000	0.000000	248	0	248	31938
rs_medium_7541	0.02357	0.031842	0.00000	0.000000	248	0	248	31842
rs_medium_8268	0.02338	0.031524	0.00000	0.000000	246	0	246	31524
rs_medium_8003	0.02338	0.031612	0.00000	0.000000	246	0	246	31612
rs_medium_7689	0.02338	0.031652	0.00000	0.000000	246	0	246	31652
rs_medium_8197	0.02319	0.031394	0.00000	0.000000	244	0	244	31394
rs_medium_8063	0.02319	0.031252	0.00000	0.000000	244	0	244	31252
rs_medium_7888	0.02300	0.031068	0.00000	0.000000	242	0	242	31068
rs_medium_7795	0.02300	0.031085	0.00000	0.000000	242	0	242	31085
rs_medium_7776	0.02300	0.031091	0.00000	0.000000	242	0	242	31091
rs_medium_7766	0.02300	0.031122	0.00000	0.000000	242	0	242	31122
rs_medium_8277	0.02291	0.030875	0.00000	0.000000	241	0	241	30875
rs_medium_7934	0.02291	0.031002	0.00000	0.000000	241	0	241	31002
rs_medium_7865	0.02291	0.030912	0.00000	0.000000	241	0	241	30912
rs_medium_8189	0.02281	0.030860	0.00000	0.000000	240	0	240	30860
rs_medium_7248	0.02281	0.030861	0.00000	0.000000	240	0	240	30861
rs_medium_8067	0.02272	0.030677	0.00000	0.000000	239	0	239	30677
rs_medium_7585	0.02262	0.030511	0.00000	0.000000	238	0	238	30511
rs_medium_7397	0.02234	0.030288	0.00000	0.000000	235	0	235	30288
rs_medium_7230	0.02234	0.030271	0.00000	0.000000	235	0	235	30271
rs_medium_7939	0.02224	0.030120	0.00000	0.000000	234	0	234	30120
rs_medium_7289	0.02224	0.030032	0.00000	0.000000	234	0	234	30032
rs_medium_7620	0.02215	0.029860	0.00000	0.000000	233	0	233	29860
rs_medium_7815	0.02205	0.029799	0.00000	0.000000	232	0	232	29799
rs_medium_7816	0.02196	0.029686	0.00000	0.000000	231	0	231	29686
rs_medium_7724	0.02186	0.029518	0.00000	0.000000	230	0	230	29518
rs_medium_7505	0.02186	0.029600	0.00000	0.000000	230	0	230	29600
rs_medium_8093	0.02167	0.029308	0.00000	0.000000	228	0	228	29308
rs_medium_8058	0.02167	0.029271	0.00000	0.000000	228	0	228	29271
rs_medium_8158	0.02158	0.029064	0.00000	0.000000	227	0	227	29064
rs_medium_8111	0.02148	0.029113	0.00000	0.000000	226	0	226	29113
rs_medium_8018	0.02148	0.029099	0.00000	0.000000	226	0	226	29099
rs_medium_8257	0.02139	0.028914	0.00000	0.000000	225	0	225	28914
