#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
yinyang_11185	0.05788	0.078166	0.00000	0.000000	609	0	609	78166
yinyang_11113	0.05427	0.073349	0.00000	0.000000	571	0	571	73349
yinyang_10861	0.04961	0.067013	0.00000	0.000000	522	0	522	67013
yinyang_11001	0.04838	0.065382	0.00000	0.000000	509	0	509	65382
yinyang_10785	0.04800	0.064756	0.00000	0.000000	505	0	505	64756
yinyang_10858	0.04477	0.060652	0.00000	0.000000	471	0	471	60652
yinyang_11214	0.04410	0.059436	0.00000	0.000000	464	0	464	59436
yinyang_11182	0.04401	0.059502	0.00000	0.000000	463	0	463	59502
yinyang_11199	0.04087	0.055312	0.00000	0.000000	430	0	430	55312
yinyang_11204	0.04011	0.054147	0.00000	0.000000	422	0	422	54147
yinyang_11252	0.03935	0.053122	0.00000	0.000000	414	0	414	53122
yinyang_11269	0.03906	0.052857	0.00000	0.000000	411	0	411	52857
yinyang_10906	0.03783	0.051212	0.00000	0.000000	398	0	398	51212
yinyang_10900	0.03697	0.049922	0.00000	0.000000	389	0	389	49922
yinyang_10943	0.03574	0.048349	0.00000	0.000000	376	0	376	48349
yinyang_10952	0.03279	0.044297	0.00000	0.000000	345	0	345	44297
yinyang_10841	0.03279	0.044382	0.00000	0.000000	345	0	345	44382
yinyang_11038	0.03203	0.043312	0.00000	0.000000	337	0	337	43312
yinyang_11283	0.03194	0.043248	0.00000	0.000000	336	0	336	43248
yinyang_11194	0.03194	0.043269	0.00000	0.000000	336	0	336	43269
yinyang_11241	0.03155	0.042668	0.00000	0.000000	332	0	332	42668
yinyang_10804	0.03070	0.041445	0.00000	0.000000	323	0	323	41445
yinyang_10803	0.03032	0.041107	0.00000	0.000000	319	0	319	41107
yinyang_10597	0.02956	0.040012	0.00000	0.000000	311	0	311	40012
yinyang_11266	0.02908	0.039344	0.00000	0.000000	306	0	306	39344
yinyang_10817	0.02908	0.039350	0.00000	0.000000	306	0	306	39350
yinyang_11156	0.02889	0.039132	0.00000	0.000000	304	0	304	39132
yinyang_10678	0.02842	0.038477	0.00000	0.000000	299	0	299	38477
yinyang_10685	0.02756	0.037198	0.00000	0.000000	290	0	290	37198
yinyang_10797	0.02699	0.036429	0.00000	0.000000	284	0	284	36429
yinyang_10899	0.02671	0.036132	0.00000	0.000000	281	0	281	36132
yinyang_10676	0.02623	0.035540	0.00000	0.000000	276	0	276	35540
yinyang_11120	0.02614	0.035348	0.00000	0.000000	275	0	275	35348
yinyang_10920	0.02614	0.035422	0.00000	0.000000	275	0	275	35422
yinyang_10979	0.02566	0.034802	0.00000	0.000000	270	0	270	34802
yinyang_10980	0.02557	0.034645	0.00000	0.000000	269	0	269	34645
yinyang_10863	0.02528	0.034254	0.00000	0.000000	266	0	266	34254
yinyang_11131	0.02452	0.033196	0.00000	0.000000	258	0	258	33196
yinyang_11268	0.02433	0.032947	0.00000	0.000000	256	0	256	32947
yinyang_11215	0.02405	0.032514	0.00000	0.000000	253	0	253	32514
yinyang_10622	0.02367	0.032026	0.00000	0.000000	249	0	249	32026
yinyang_11129	0.02357	0.031820	0.00000	0.000000	248	0	248	31820
yinyang_11142	0.02348	0.031764	0.00000	0.000000	247	0	247	31764
yinyang_10859	0.02329	0.031484	0.00000	0.000000	245	0	245	31484
yinyang_11205	0.02310	0.031291	0.00000	0.000000	243	0	243	31291
yinyang_11173	0.02300	0.031110	0.00000	0.000000	242	0	242	31110
yinyang_11132	0.02291	0.031002	0.00000	0.000000	241	0	241	31002
yinyang_11052	0.02272	0.030671	0.00000	0.000000	239	0	239	30671
yinyang_11110	0.02262	0.030673	0.00000	0.000000	238	0	238	30673
yinyang_10938	0.02262	0.030647	0.00000	0.000000	238	0	238	30647
yinyang_10933	0.02243	0.030376	0.00000	0.000000	236	0	236	30376
yinyang_10989	0.02234	0.030267	0.00000	0.000000	235	0	235	30267
yinyang_10779	0.02234	0.030228	0.00000	0.000000	235	0	235	30228
yinyang_11192	0.02224	0.030072	0.00000	0.000000	234	0	234	30072
yinyang_10605	0.02224	0.030131	0.00000	0.000000	234	0	234	30131
yinyang_11046	0.02205	0.029858	0.00000	0.000000	232	0	232	29858
yinyang_11170	0.02196	0.029699	0.00000	0.000000	231	0	231	29699
yinyang_10908	0.02177	0.029514	0.00000	0.000000	229	0	229	29514
