#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
rs_max_5518	0.09373	0.131650	0.00000	0.000000	1024	0	1024	131650
fountain_max_3142	0.08531	0.120032	0.00000	0.000000	932	0	932	120032
rs_high_6380	0.08357	0.117296	0.00000	0.000000	913	0	913	117296
rs_high_6416	0.07707	0.108111	0.00000	0.000000	842	0	842	108111
hedges_8379	0.07634	0.106924	0.00000	0.000000	834	0	834	106924
rs_max_6103	0.06975	0.097774	0.00000	0.000000	762	0	762	97774
rs_max_6031	0.06636	0.093233	0.00000	0.000000	725	0	725	93233
rs_high_6963	0.06197	0.087094	0.00000	0.000000	677	0	677	87094
rs_high_6938	0.06023	0.084313	0.00000	0.000000	658	0	658	84313
rs_max_5468	0.06005	0.084389	0.00000	0.000000	656	0	656	84389
fountain_max_3027	0.05977	0.083958	0.00000	0.000000	653	0	653	83958
aeon_medium_1546	0.05822	0.081877	0.00000	0.000000	636	0	636	81877
rs_high_6594	0.05813	0.081418	0.00000	0.000000	635	0	635	81418
rs_medium_7987	0.05803	0.081528	0.00000	0.000000	634	0	634	81528
rs_medium_7731	0.05785	0.081328	0.00000	0.000000	632	0	632	81328
rs_high_7100	0.05712	0.080480	0.00000	0.000000	624	0	624	80480
rs_max_6098	0.05620	0.078898	0.00000	0.000000	614	0	614	78898
aeon_max_0207	0.05483	0.077017	0.00000	0.000000	599	0	599	77017
goldman_10131	0.05227	0.071813	0.00009	0.000107	571	1	572	71920
yinyang_11185	0.05218	0.073067	0.00000	0.000000	570	0	570	73067
aeon_max_0028	0.05108	0.071584	0.00000	0.000000	558	0	558	71584
aeon_medium_2286	0.05099	0.071787	0.00000	0.000000	557	0	557	71787
rs_max_5592	0.05062	0.071089	0.00000	0.000000	553	0	553	71089
rs_max_5650	0.05034	0.070598	0.00000	0.000000	550	0	550	70598
rs_max_5561	0.05016	0.070398	0.00000	0.000000	548	0	548	70398
fountain_max_2914	0.04925	0.068913	0.00000	0.000000	538	0	538	68913
rs_high_6635	0.04897	0.068693	0.00000	0.000000	535	0	535	68693
rs_max_6188	0.04879	0.068526	0.00000	0.000000	533	0	533	68526
hedges_8676	0.04842	0.067981	0.00000	0.000000	529	0	529	67981
rs_medium_7209	0.04806	0.067612	0.00000	0.000000	525	0	525	67612
rs_max_5648	0.04787	0.066929	0.00000	0.000000	523	0	523	66929
hedges_8532	0.04778	0.067075	0.00000	0.000000	522	0	522	67075
yinyang_11113	0.04760	0.066961	0.00000	0.000000	520	0	520	66961
rs_high_6799	0.04751	0.066758	0.00000	0.000000	519	0	519	66758
goldman_9612	0.04677	0.065585	0.00000	0.000000	511	0	511	65585
aeon_high_0944	0.04668	0.065655	0.00000	0.000000	510	0	510	65655
fountain_medium_5328	0.04650	0.065296	0.00000	0.000000	508	0	508	65296
rs_high_6732	0.04641	0.065115	0.00000	0.000000	507	0	507	65115
rs_high_6438	0.04641	0.065242	0.00000	0.000000	507	0	507	65242
hedges_9275	0.04623	0.064802	0.00000	0.000000	505	0	505	64802
fountain_medium_4470	0.04595	0.064554	0.00000	0.000000	502	0	502	64554
rs_high_6434	0.04558	0.064243	0.00000	0.000000	498	0	498	64243
yinyang_10858	0.04540	0.063913	0.00000	0.000000	496	0	496	63913
rs_high_6654	0.04540	0.063832	0.00000	0.000000	496	0	496	63832
rs_medium_7897	0.04513	0.063499	0.00000	0.000000	493	0	493	63499
hedges_8984	0.04485	0.062891	0.00000	0.000000	490	0	490	62891
rs_medium_7219	0.04421	0.061971	0.00000	0.000000	483	0	483	61971
rs_medium_7920	0.04394	0.061697	0.00000	0.000000	480	0	480	61697
fountain_medium_4399	0.04357	0.060375	0.00000	0.000000	476	0	476	60375
rs_high_6968	0.04339	0.060950	0.00000	0.000000	474	0	474	60950
rs_max_6237	0.04330	0.060585	0.00000	0.000000	473	0	473	60585
fountain_medium_5369	0.04330	0.060981	0.00000	0.000000	473	0	473	60981
rs_high_6905	0.04321	0.060465	0.00000	0.000000	472	0	472	60465
rs_medium_8016	0.04311	0.060445	0.00000	0.000000	471	0	471	60445
fountain_max_2981	0.04293	0.060289	0.00000	0.000000	469	0	469	60289
yinyang_11199	0.04266	0.059851	0.00000	0.000000	466	0	466	59851
rs_high_7117	0.04266	0.059923	0.00000	0.000000	466	0	466	59923
rs_medium_8059	0.04256	0.059658	0.00000	0.000000	465	0	465	59658
rs_high_6432	0.04229	0.059447	0.00000	0.000000	462	0	462	59447
fountain_medium_5166	0.04229	0.059400	0.00000	0.000000	462	0	462	59400
rs_max_5752	0.04220	0.059345	0.00000	0.000000	461	0	461	59345
fountain_high_3599	0.04220	0.059216	0.00000	0.000000	461	0	461	59216
fountain_max_2782	0.04192	0.058846	0.00000	0.000000	458	0	458	58846
rs_medium_7944	0.04183	0.058578	0.00000	0.000000	457	0	457	58578
rs_high_6789	0.04183	0.058471	0.00000	0.000000	457	0	457	58471
yinyang_11182	0.04174	0.058445	0.00000	0.000000	456	0	456	58445
rs_max_5761	0.04165	0.058505	0.00000	0.000000	455	0	455	58505
rs_high_6915	0.04165	0.058500	0.00000	0.000000	455	0	455	58500
rs_high_6554	0.04165	0.058600	0.00000	0.000000	455	0	455	58600
aeon_high_1291	0.04156	0.058035	0.00000	0.000000	454	0	454	58035
aeon_medium_2004	0.04147	0.057911	0.00000	0.000000	453	0	453	57911
fountain_medium_5383	0.04119	0.057886	0.00000	0.000000	450	0	450	57886
fountain_high_3562	0.04119	0.057894	0.00000	0.000000	450	0	450	57894
rs_max_5780	0.04110	0.057689	0.00000	0.000000	449	0	449	57689
yinyang_11252	0.04101	0.057504	0.00000	0.000000	448	0	448	57504
fountain_max_2886	0.04092	0.057166	0.00000	0.000000	447	0	447	57166
rs_high_6933	0.04073	0.057238	0.00000	0.000000	445	0	445	57238
fountain_high_3841	0.04064	0.057142	0.00000	0.000000	444	0	444	57142
rs_high_6840	0.04055	0.056933	0.00000	0.000000	443	0	443	56933
yinyang_11001	0.04028	0.056436	0.00000	0.000000	440	0	440	56436
rs_high_6764	0.04018	0.056444	0.00000	0.000000	439	0	439	56444
aeon_medium_1767	0.04009	0.056269	0.00000	0.000000	438	0	438	56269
rs_max_5779	0.04000	0.056128	0.00000	0.000000	437	0	437	56128
aeon_medium_1694	0.04000	0.056121	0.00000	0.000000	437	0	437	56121
rs_high_7108	0.03982	0.055871	0.00000	0.000000	435	0	435	55871
aeon_medium_2026	0.03982	0.055991	0.00000	0.000000	435	0	435	55991
yinyang_11156	0.03973	0.055792	0.00000	0.000000	434	0	434	55792
rs_max_5893	0.03973	0.055725	0.00000	0.000000	434	0	434	55725
fountain_max_3029	0.03973	0.055749	0.00000	0.000000	434	0	434	55749
fountain_max_3242	0.03964	0.055759	0.00000	0.000000	433	0	433	55759
aeon_high_1440	0.03964	0.055624	0.00000	0.000000	433	0	433	55624
rs_high_6421	0.03954	0.055534	0.00000	0.000000	432	0	432	55534
rs_high_6400	0.03954	0.055637	0.00000	0.000000	432	0	432	55637
rs_medium_7941	0.03918	0.054941	0.00000	0.000000	428	0	428	54941
hedges_8740	0.03918	0.055185	0.00000	0.000000	428	0	428	55185
hedges_8561	0.03899	0.054849	0.00000	0.000000	426	0	426	54849
rs_medium_8050	0.03890	0.054604	0.00000	0.000000	425	0	425	54604
rs_high_6406	0.03890	0.054565	0.00000	0.000000	425	0	425	54565
hedges_8690	0.03890	0.054623	0.00000	0.000000	425	0	425	54623
hedges_8886	0.03872	0.054375	0.00000	0.000000	423	0	423	54375
fountain_max_3342	0.03872	0.054335	0.00000	0.000000	423	0	423	54335
yinyang_11204	0.03863	0.054133	0.00000	0.000000	422	0	422	54133
rs_max_5563	0.03854	0.054123	0.00000	0.000000	421	0	421	54123
aeon_medium_2081	0.03854	0.054232	0.00000	0.000000	421	0	421	54232
yinyang_10804	0.03826	0.053835	0.00000	0.000000	418	0	418	53835
rs_max_5435	0.03826	0.053826	0.00000	0.000000	418	0	418	53826
rs_high_6546	0.03826	0.053679	0.00000	0.000000	418	0	418	53679
